candidate,fold,subsample,scale_pos_weight,random_strength,max_ctr_complexity,l2_leaf_reg,depth,border_count,train_auprc,validation_auprc,validation_auroc
1,1,0.6,1.0,2.0,3,20.0,5,128,0.17665970648477608,0.14397655075484134,0.6272235248249608
1,2,0.6,1.0,2.0,3,20.0,5,128,0.17797756764986303,0.14416860315733185,0.6268899622576121
1,3,0.6,1.0,2.0,3,20.0,5,128,0.17479103113226885,0.13701180427189055,0.6266053217152179
1,4,0.6,1.0,2.0,3,20.0,5,128,0.16907430197149587,0.14731362901946007,0.623188635725705
1,5,0.6,1.0,2.0,3,20.0,5,128,0.17532323527234103,0.1449595465673595,0.6363380698036121
2,1,1.0,2.0,1.0,4,5.0,4,64,0.1849777014087935,0.14404392798145357,0.6271163082854558
2,2,1.0,2.0,1.0,4,5.0,4,64,0.19099090416597708,0.14470504016873179,0.6258039886718686
2,3,1.0,2.0,1.0,4,5.0,4,64,0.1838436104511361,0.13857547075775187,0.6279756844016494
2,4,1.0,2.0,1.0,4,5.0,4,64,0.1815768563069811,0.1466685102721323,0.6189553730394091
2,5,1.0,2.0,1.0,4,5.0,4,64,0.17728162154615323,0.1436167545312977,0.6356305146385814
3,1,0.8,2.0,1.0,3,3.0,10,64,0.706158090061138,0.13204386028481999,0.6124655472104747
3,2,0.8,2.0,1.0,3,3.0,10,64,0.7638059945564698,0.12223335063913317,0.5939845023365624
3,3,0.8,2.0,1.0,3,3.0,10,64,0.751556005290483,0.1329774090174639,0.6137462049252239
3,4,0.8,2.0,1.0,3,3.0,10,64,0.725962512146021,0.1276186713650171,0.5872206153750191
3,5,0.8,2.0,1.0,3,3.0,10,64,0.7368881078714681,0.12696551882563473,0.6084521518870625
4,1,0.8,6.0,1.0,4,5.0,7,64,0.307948840647631,0.14485724100531866,0.6274845267039578
4,2,0.8,6.0,1.0,4,5.0,7,64,0.3420085635997755,0.13684781152222825,0.6201910945292489
4,3,0.8,6.0,1.0,4,5.0,7,64,0.3051137691477839,0.13662156614468007,0.6295253088604403
4,4,0.8,6.0,1.0,4,5.0,7,64,0.2997705114555322,0.13755036474257704,0.6031458949460926
4,5,0.8,6.0,1.0,4,5.0,7,64,0.3018870039478467,0.13840000509158815,0.6287016810198124
5,1,1.0,2.0,2.0,1,5.0,6,128,0.24831689365833937,0.14295283605650977,0.6245081847373465
5,2,1.0,2.0,2.0,1,5.0,6,128,0.2576041052919344,0.1370484454589924,0.6219655824078235
5,3,1.0,2.0,2.0,1,5.0,6,128,0.23812138909511169,0.13939198255602764,0.631582886873889
5,4,1.0,2.0,2.0,1,5.0,6,128,0.24127900634863553,0.14327071326436436,0.6169430850652705
5,5,1.0,2.0,2.0,1,5.0,6,128,0.24024828671731602,0.14139166553567062,0.6312891796129736
6,1,0.6,6.0,5.0,4,10.0,10,254,0.553542530012532,0.1371622986151259,0.6229589598912674
6,2,0.6,6.0,5.0,4,10.0,10,254,0.586968591404874,0.13132646716335644,0.6089246939184396
6,3,0.6,6.0,5.0,4,10.0,10,254,0.5048724609524536,0.13353337800746862,0.6194164093677157
6,4,0.6,6.0,5.0,4,10.0,10,254,0.5357038283431471,0.1332078310040576,0.5990217893904694
6,5,0.6,6.0,5.0,4,10.0,10,254,0.5374571169906435,0.1310102649889801,0.6154878374548625
7,1,1.0,1.0,5.0,1,3.0,9,128,0.41698093978388284,0.13970088560315203,0.6166218126093148
7,2,1.0,1.0,5.0,1,3.0,9,128,0.4717129078007909,0.1380727005132186,0.6118068152897284
7,3,1.0,1.0,5.0,1,3.0,9,128,0.4241282294401237,0.13857662432401485,0.6315484447481859
7,4,1.0,1.0,5.0,1,3.0,9,128,0.42672282896971847,0.13917105947892672,0.6071927091172645
7,5,1.0,1.0,5.0,1,3.0,9,128,0.41598436115936804,0.13777653214903418,0.6208003319461564
8,1,0.6,2.0,2.0,2,50.0,5,128,0.17757539797386535,0.1413574625279274,0.6263514428205531
8,2,0.6,2.0,2.0,2,50.0,5,128,0.18376889277335806,0.14586505454883372,0.6267608150622993
8,3,0.6,2.0,2.0,2,50.0,5,128,0.18006768876205737,0.1393159806929378,0.630781768453996
8,4,0.6,2.0,2.0,2,50.0,5,128,0.1744095506940333,0.1488066223508313,0.6227412948883274
8,5,0.6,2.0,2.0,2,50.0,5,128,0.17731616985859022,0.14363533336565276,0.6363093228325529
9,1,1.0,2.0,1.0,3,50.0,4,64,0.16624512843313943,0.143798876656703,0.62869342026176
9,2,1.0,2.0,1.0,3,50.0,4,64,0.1742297106211203,0.14367881838711494,0.6298890471265426
9,3,1.0,2.0,1.0,3,50.0,4,64,0.1657319608558216,0.13837812907755914,0.6265687100067936
9,4,1.0,2.0,1.0,3,50.0,4,64,0.16603601175569527,0.14858619181881005,0.6242187807216304
9,5,1.0,2.0,1.0,3,50.0,4,64,0.1643779756674413,0.14347324172988662,0.632466991832877
10,1,0.8,2.0,0.5,3,5.0,4,64,0.19105693562267595,0.1445797965992886,0.625915807941605
10,2,0.8,2.0,0.5,3,5.0,4,64,0.1967892028222995,0.14059987716248196,0.6277807259317821
10,3,0.8,2.0,0.5,3,5.0,4,64,0.188099626235971,0.13969809719318788,0.6309824548557296
10,4,0.8,2.0,0.5,3,5.0,4,64,0.18485241897901186,0.14512952339050023,0.6207810768995036
10,5,0.8,2.0,0.5,3,5.0,4,64,0.18227780398042492,0.1440392485173279,0.6361783342757458
11,1,0.6,2.0,1.0,1,5.0,5,64,0.22486075746555953,0.1441288569019065,0.6274227959690912
11,2,0.6,2.0,1.0,1,5.0,5,64,0.22484470059021458,0.1400522271969581,0.6249004998023534
11,3,0.6,2.0,1.0,1,5.0,5,64,0.2210363639479876,0.1366012274304545,0.6277972362228107
11,4,0.6,2.0,1.0,1,5.0,5,64,0.21260717293201337,0.1484732908512031,0.621333506899951
11,5,0.6,2.0,1.0,1,5.0,5,64,0.21938194654260268,0.145061727168376,0.6336711102432779
12,1,0.8,1.0,5.0,3,50.0,6,64,0.17498399061468656,0.1426363000539116,0.6294379795638778
12,2,0.8,1.0,5.0,3,50.0,6,64,0.18040951138533076,0.1440430257802299,0.6276475175039125
12,3,0.8,1.0,5.0,3,50.0,6,64,0.168790603714644,0.14001524445650593,0.6277904562768062
12,4,0.8,1.0,5.0,3,50.0,6,64,0.16955275369357609,0.1472561812233693,0.6243539728449604
12,5,0.8,1.0,5.0,3,50.0,6,64,0.1673554980153525,0.14269896689102524,0.6296199569066632
