candidate,subsample,scale_pos_weight,random_strength,max_ctr_complexity,l2_leaf_reg,depth,border_count,mean_train_auprc,std_train_auprc,mean_validation_auprc,std_validation_auprc,mean_validation_auroc,std_validation_auroc,train_validation_auprc_gap,rank_validation_auprc
21,1.0,1.0,2.0,1,10.0,5,64,0.1886245682097201,0.0053135529021328684,0.14390790690033645,0.0035229312533455164,0.6288503811303991,0.00522102535899896,0.04471666130938365,1
8,0.6,2.0,2.0,2,50.0,5,128,0.17862754001238085,0.0035044851645128017,0.1437960906972366,0.003722572188330086,0.6285889288115458,0.0051709814222532,0.03483144931514426,2
9,1.0,2.0,1.0,3,50.0,4,64,0.16732415746664359,0.0039282745779332506,0.14358305153401474,0.003612147576369087,0.6283673899899208,0.0031493920045385414,0.023741105932628848,3
2,1.0,2.0,1.0,4,5.0,4,64,0.1837341387758082,0.005012681972934059,0.14352194074227345,0.0030020680246852795,0.6270963738073929,0.005948766617417104,0.040212198033534735,4
1,0.6,1.0,2.0,3,20.0,5,128,0.174765168502149,0.0034134605504234196,0.14348602675417665,0.0038549928933967023,0.6280491028654216,0.004910213940805607,0.03127914174797233,5
12,0.8,1.0,5.0,3,50.0,6,64,0.17221847148471797,0.005414011231668435,0.1433299436810084,0.0026358267896004254,0.627769976619244,0.0021147788492161504,0.02888852780370957,6
17,0.6,1.0,1.0,3,3.0,5,254,0.1960719851898996,0.0059067108388548666,0.1433208782996461,0.0033736822699198072,0.6277234709490853,0.005164832240082319,0.0527511068902535,7
29,0.8,1.0,1.0,4,50.0,5,64,0.17342142325573695,0.004699191978191815,0.1432001702367812,0.0039444606611772634,0.6272532572679068,0.0044767280896000775,0.030221253018955757,8
26,0.8,4.0,5.0,1,20.0,4,64,0.17349076898508736,0.0014253666100459928,0.14288979595931375,0.003341013516582338,0.6282109731333728,0.005191484020163648,0.03060097302577361,9
11,0.6,2.0,1.0,1,5.0,5,64,0.22054618829567554,0.00504272771033194,0.14286346590977966,0.004610379503626169,0.627025029827497,0.004523051143197118,0.07768272238589588,10
10,0.8,2.0,0.5,3,5.0,4,64,0.18861519752807665,0.00564276795147922,0.1428093085725573,0.0024795160981978155,0.6283276799808732,0.005739078890099188,0.04580588895551935,11
15,0.8,10.134239310573417,1.0,3,50.0,5,254,0.18223770382664423,0.0034526325619066442,0.14239588193450275,0.003269447884895722,0.626931398234371,0.004370136432814222,0.03984182189214147,12
22,0.6,6.0,1.0,3,1.0,4,64,0.18586731738605153,0.0027492594981956054,0.1423534062441716,0.0020454838065675804,0.6279634519422477,0.005153025150989458,0.04351391114187994,13
30,1.0,2.0,5.0,4,1.0,6,64,0.2234990273202085,0.006934902743498283,0.1416481200549296,0.0028299770460653646,0.6264242943730787,0.007638146816247037,0.08185090726527888,14
13,0.6,2.0,0.5,3,20.0,6,128,0.23425042703771837,0.008766726573258402,0.14108909268007194,0.0021833194146434003,0.626386636846758,0.006995141626919364,0.09316133435764642,15
23,1.0,4.0,5.0,3,10.0,7,128,0.24745339243778558,0.012428540794657703,0.14093290208756043,0.002709404442729407,0.6252565554467262,0.007225018788139487,0.10652049035022515,16
5,1.0,2.0,2.0,1,5.0,6,128,0.2451139362222674,0.00796147296818177,0.14081112857431294,0.0026050552104451164,0.6252577837394606,0.006263373056085017,0.10430280764795447,17
