rank_test_score,mean_test_score,std_test_score,mean_train_score,param_model__C,param_model__l1_ratio,param_model__class_weight
1,0.14397559871621496,0.005755666374895864,0.14350405751397108,0.01,1.0,balanced
2,0.14387080344128725,0.0057776392146837215,0.14331176633759785,0.001,0.25,"{0: 1, 1: 8}"
3,0.14386001202232784,0.005759381900609875,0.1432501566063868,0.001,0.25,"{0: 1, 1: 10}"
4,0.14384590075575115,0.005762439218283805,0.14332479773524898,0.001,0.25,"{0: 1, 1: 6}"
5,0.14384177477036478,0.00571772330844888,0.14412739725457038,0.01,1.0,"{0: 1, 1: 6}"
6,0.14377107325207666,0.005383163397384477,0.14455256104451686,0.01,0.75,"{0: 1, 1: 6}"
7,0.14376397600524576,0.005729128821336844,0.14377712127568656,0.01,0.75,balanced
8,0.1437434738936266,0.006101352259206453,0.14241762077000852,0.001,1.0,"{0: 1, 1: 6}"
9,0.1437428613564508,0.006093608603428247,0.1424176683413451,0.001,0.75,"{0: 1, 1: 4}"
10,0.14368611434458364,0.005135411631511439,0.1449195134854347,0.01,0.5,"{0: 1, 1: 6}"
11,0.14367631756470317,0.005476652390872435,0.14417970659889986,0.01,1.0,"{0: 1, 1: 8}"
12,0.14365552339380752,0.005827770756958116,0.14277614893110213,0.001,0.5,"{0: 1, 1: 4}"
13,0.14360982532797903,0.006036161849199237,0.1423273394314904,0.001,1.0,"{0: 1, 1: 8}"
14,0.14359339130893384,0.005637904043228357,0.14460684650189187,0.01,0.5,"{0: 1, 1: 4}"
15,0.14357460457646937,0.006030381873508328,0.14238113921657292,0.001,0.75,"{0: 1, 1: 6}"
16,0.14356110314328913,0.005216129339817713,0.14530475643762158,0.01,0.25,"{0: 1, 1: 4}"
17,0.14356031246448125,0.005180961192399564,0.14452738129811765,0.01,0.75,"{0: 1, 1: 8}"
18,0.1435499564434639,0.00525545023821008,0.14427273412118338,0.01,0.5,balanced
19,0.14354493535474783,0.00531717037070362,0.14420069611325387,0.01,1.0,"{0: 1, 1: 10}"
20,0.14354180057633575,0.006193013656293142,0.1438419599747258,0.01,0.75,"{0: 1, 1: 4}"
21,0.14352788005955736,0.00488972093293091,0.14538442490794376,0.01,0.25,"{0: 1, 1: 6}"
22,0.14351371594635595,0.006106485561960222,0.1422688728491939,0.001,1.0,"{0: 1, 1: 10}"
23,0.143457989729222,0.0060536014653616655,0.14234738898006472,0.001,0.75,"{0: 1, 1: 8}"
24,0.1434488882177788,0.005498937793668375,0.1428470278652893,0.001,0.5,"{0: 1, 1: 6}"
25,0.14343818004760753,0.005922067758655928,0.1425361693369302,0.001,0.75,"{0: 1, 1: 10}"
26,0.14343784044704608,0.006091795902559399,0.1422793742582022,0.001,0.5,balanced
27,0.1434251592145792,0.004947832757427903,0.14489139427466913,0.01,0.5,"{0: 1, 1: 8}"
28,0.1434030742964867,0.004174392140095957,0.14672019110442008,0.1,0.25,"{0: 1, 1: 2}"
29,0.14340262074015203,0.004889552887659851,0.1448236529403209,0.01,0.25,balanced
30,0.14340257182564167,0.004511336014762359,0.14610369538976117,0.01,0.0,"{0: 1, 1: 4}"
31,0.14339862298197165,0.005090795603708964,0.1444783391033057,0.01,0.75,"{0: 1, 1: 10}"
32,0.14338173194100018,0.0048119064605448856,0.14481451300802614,0.01,0.5,"{0: 1, 1: 10}"
33,0.1433673291483812,0.004715439554317214,0.14613951246047502,0.1,0.75,"{0: 1, 1: 2}"
34,0.14336320737922378,0.004483335484539312,0.1463928031653869,0.1,0.5,"{0: 1, 1: 2}"
35,0.14336156042595852,0.005183996019159305,0.14427883787501103,0.001,0.0,balanced
36,0.1433606102694518,0.004991249940190964,0.14470706145686327,0.001,0.0,"{0: 1, 1: 10}"
37,0.14335891975912068,0.00475243308433111,0.14531431946421944,0.01,0.25,"{0: 1, 1: 8}"
38,0.14335484535318851,0.006069811086903135,0.14217873945379803,0.001,0.75,balanced
39,0.14335358046692587,0.005126897262844304,0.1447072285353602,0.001,0.0,"{0: 1, 1: 8}"
40,0.1433220181026834,0.004819912992329956,0.1459904960639184,0.1,1.0,"{0: 1, 1: 2}"
41,0.1433210678969361,0.004650309202407874,0.14519096514805488,0.01,0.25,"{0: 1, 1: 10}"
42,0.14331999710317117,0.005984855778531575,0.14277402983878257,0.001,0.25,balanced
43,0.14331222466041113,0.005239844574942612,0.14469637879530425,0.001,0.0,"{0: 1, 1: 6}"
44,0.14331096356302334,0.004104179721167176,0.1469136867013078,0.1,0.0,
45,0.1433055777086404,0.004562577896401885,0.1461318957265612,0.1,1.0,"{0: 1, 1: 4}"
46,0.14330188646271474,0.006187176792446182,0.1433692476259071,0.01,1.0,"{0: 1, 1: 4}"
47,0.14329921852015057,0.003905889367856717,0.14707853887122946,1.0,1.0,
48,0.14329260698983592,0.004356569752779176,0.14628955805996813,0.1,0.75,"{0: 1, 1: 4}"
49,0.14328682268559495,0.004162743856687088,0.14647087685922894,0.1,0.5,"{0: 1, 1: 4}"
50,0.14328399571253653,0.0056005327493772,0.1427435518165682,0.001,0.5,"{0: 1, 1: 8}"
51,0.143281876478033,0.0039374950559886305,0.1469656034775359,0.1,0.0,"{0: 1, 1: 2}"
52,0.14327425975310282,0.003855804820707833,0.14715555848004558,1.0,0.75,
53,0.14325883314791543,0.0038410490040095605,0.14711930441185106,1.0,1.0,"{0: 1, 1: 2}"
54,0.14325563420453347,0.0038390952063692644,0.14721403978323608,1.0,0.5,
55,0.14324889210190522,0.004207996229219734,0.14618251394070164,0.1,0.75,"{0: 1, 1: 6}"
56,0.14324882386150448,0.004326750092321849,0.14605866471832663,0.1,1.0,"{0: 1, 1: 6}"
57,0.14324710671551702,0.0038117378619085015,0.14713433867605433,1.0,0.75,"{0: 1, 1: 2}"
58,0.14323521148078405,0.0038018256581924515,0.1472750958813566,1.0,0.25,
59,0.1432264687139993,0.004727070948609769,0.14601474961095343,0.01,0.0,"{0: 1, 1: 2}"
60,0.14322637156879486,0.00457859360115211,0.1464015769362208,0.1,0.25,
61,0.1432260303472283,0.004439061469401804,0.1459406740951084,0.01,0.0,"{0: 1, 1: 6}"
62,0.14322310698589552,0.0037568707559361312,0.1473046357438843,1.0,0.0,
63,0.14322073129793186,0.0037983596484852055,0.14715796515851437,1.0,0.5,"{0: 1, 1: 2}"
64,0.1432039938980745,0.003723378099372992,0.1473416544656327,10.0,1.0,
65,0.1432001729367588,0.003715008684649356,0.14734659758722993,10.0,0.75,
66,0.14319537921528275,0.0056656901004449155,0.14271435987698428,0.001,0.5,"{0: 1, 1: 10}"
67,0.14319442589402373,0.0043172668759109,0.14548472890517314,0.1,1.0,balanced
68,0.14319365773679243,0.004152080522789628,0.14630281014944183,0.1,0.5,"{0: 1, 1: 6}"
69,0.14319264836064677,0.0040662597132231125,0.14661844722040385,0.1,0.25,"{0: 1, 1: 4}"
70,0.14318540927245502,0.005213726558358824,0.1454834936988091,0.1,1.0,
71,0.1431839995919913,0.0036897845813746236,0.14735743514998886,10.0,0.25,
72,0.14318218070915556,0.003695760798690058,0.14735143729845113,10.0,0.5,
73,0.1431819114005662,0.0036837676321583484,0.14735998006046733,10.0,0.0,
74,0.14318186461058374,0.004190755140632058,0.14592831005937026,0.1,1.0,"{0: 1, 1: 8}"
75,0.14316284698423004,0.005096738920050136,0.14577332465452705,0.1,0.75,
76,0.14314185708883062,0.004141063078409695,0.14602561469236422,0.1,0.75,"{0: 1, 1: 8}"
77,0.14313981274147486,0.004267537507979714,0.14559771746184047,0.1,0.75,balanced
78,0.14313870116904837,0.004350934561552928,0.1457597203427627,0.01,0.0,"{0: 1, 1: 8}"
79,0.14313584548060376,0.00571497856672379,0.14443350553951084,0.001,0.0,"{0: 1, 1: 4}"
80,0.14313437758862468,0.004448793447439923,0.14545208259252207,0.01,0.0,balanced
81,0.14312872758931067,0.004874182779476673,0.14602949186269304,0.1,0.5,
82,0.14310747923026398,0.0042164159483440745,0.14574393530724833,0.1,0.5,balanced
83,0.14310680346068913,0.003966166171399288,0.14673711500773012,0.1,0.0,"{0: 1, 1: 4}"
84,0.14310623595035202,0.004289741725804069,0.14563188571604813,0.01,0.0,"{0: 1, 1: 10}"
85,0.14310207485558854,0.0041639069929130575,0.14612015627775907,0.1,0.5,"{0: 1, 1: 8}"
86,0.1430963044467803,0.003819080818191498,0.1471824631696131,1.0,0.25,"{0: 1, 1: 2}"
87,0.14308124287038232,0.0038150646170653666,0.14720897343808667,1.0,0.0,"{0: 1, 1: 2}"
88,0.14306469081541945,0.006038896433216986,0.14452482902765704,0.01,0.25,"{0: 1, 1: 2}"
89,0.14306385444659223,0.003910187737328435,0.14685620071463967,1.0,1.0,"{0: 1, 1: 4}"
90,0.1430612327683925,0.0037969710927808647,0.14722754424953796,10.0,1.0,"{0: 1, 1: 2}"
91,0.14305983257742594,0.003798323979707538,0.14723057217216998,10.0,0.75,"{0: 1, 1: 2}"
92,0.1430590906631759,0.004109436873212676,0.1463742377891167,0.1,0.25,"{0: 1, 1: 6}"
93,0.14305122941889986,0.003798112028189555,0.1472330756659927,10.0,0.5,"{0: 1, 1: 2}"
94,0.14305097314799592,0.00379705870358376,0.14723946060135215,10.0,0.25,"{0: 1, 1: 2}"
95,0.14304729335091337,0.004224479665822246,0.14587612982942075,0.1,0.25,balanced
96,0.1430385601603988,0.003788875246305026,0.14724180966413586,10.0,0.0,"{0: 1, 1: 2}"
97,0.14303510871364672,0.004171975812904331,0.14578180823289735,0.1,1.0,"{0: 1, 1: 10}"
98,0.14303143709972105,0.00391414371696603,0.14685607086747557,1.0,0.75,"{0: 1, 1: 4}"
99,0.14302749109291493,0.004174909079198416,0.14595476332888188,0.1,0.5,"{0: 1, 1: 10}"
100,0.14302744071676515,0.005878287538094091,0.14169877883201615,0.001,1.0,"{0: 1, 1: 4}"
101,0.14302239020259075,0.004165064523410563,0.14587854408291825,0.1,0.75,"{0: 1, 1: 10}"
102,0.1430110516300998,0.003893313472375773,0.14687629673525399,1.0,0.25,"{0: 1, 1: 4}"
103,0.14300050176266077,0.004070513092831592,0.1464335518076187,0.1,0.0,"{0: 1, 1: 6}"
104,0.14299539542765666,0.003894616680741214,0.1468677979766426,1.0,0.5,"{0: 1, 1: 4}"
105,0.14298730967949794,0.0038807986322851604,0.14689054534850365,1.0,0.0,"{0: 1, 1: 4}"
106,0.14298341132053885,0.003876567820698717,0.14689626759815072,10.0,1.0,"{0: 1, 1: 4}"
107,0.1429827155955957,0.004158759797351253,0.14618456910436145,0.1,0.25,"{0: 1, 1: 8}"
108,0.14298072685974073,0.0038751201962799967,0.14689775297558189,10.0,0.75,"{0: 1, 1: 4}"
109,0.14297992336290347,0.0038737169637166405,0.14690086635171182,10.0,0.25,"{0: 1, 1: 4}"
110,0.1429798894976802,0.0038731245998260997,0.14690111804573905,10.0,0.0,"{0: 1, 1: 4}"
111,0.1429798210671535,0.003873242021625866,0.1469008801244264,10.0,0.5,"{0: 1, 1: 4}"
112,0.14295326743464645,0.004132767835356405,0.14623683754464958,0.1,0.0,"{0: 1, 1: 8}"
113,0.14293771395429422,0.004004842615525249,0.14651655545440617,1.0,1.0,"{0: 1, 1: 6}"
114,0.1429125537854158,0.004002439329135421,0.14651652881799476,1.0,0.75,"{0: 1, 1: 6}"
115,0.1429021540321851,0.0042007751425031,0.1459704639480625,0.1,0.0,balanced
