rank_test_auprc,mean_test_auprc,std_test_auprc,mean_train_auprc,std_train_auprc,mean_test_auroc,std_test_auroc,param_model__n_estimators,param_model__criterion,param_model__max_depth,param_model__min_samples_split,param_model__min_samples_leaf,param_model__max_features,param_model__max_samples,param_model__class_weight,train_validation_auprc_gap
1,0.142809011422187,0.0048417513171215894,0.24893104865658128,0.0036744692848005725,0.6285150647413094,0.010209401566814076,500,gini,8,2,5,log2,,,0.10612203723439428
2,0.14205984929761198,0.004525994407041808,0.1943611953189265,0.002983440957646838,0.6261297933438068,0.010378724182487786,700,gini,6,25,10,,0.75,,0.05230134602131453
3,0.14143116559971586,0.006088738066612551,0.2528763551649461,0.002949759733532768,0.627912236366648,0.011650533286420874,500,entropy,,2,50,0.5,0.75,,0.11144518956523025
4,0.14106117016170236,0.006680807927484015,0.22559868465915586,0.0023890757593469313,0.6280676031639921,0.011043820575244525,700,gini,8,2,25,0.5,0.75,"{0: 1, 1: 4}",0.0845375144974535
5,0.14105053515495908,0.00620311970371137,0.2614489293040877,0.0038608597724699204,0.6266730172126306,0.01140488129433224,500,entropy,,50,50,0.75,0.75,,0.12039839414912862
6,0.14103565005187302,0.006028133654869541,0.17182144729494406,0.0017386998940511025,0.6258221980003823,0.010427559700642224,200,log_loss,6,200,25,,,"{0: 1, 1: 2}",0.03078579724307104
7,0.1410204885077922,0.005546837000599111,0.23397090748764554,0.003052087752522116,0.6265969890823023,0.011192829836489681,700,log_loss,16,200,25,0.5,,balanced,0.09295041897985334
8,0.14088507441406833,0.006264715300535883,0.18959232286758504,0.001727502383068515,0.624317537336115,0.01031630190525306,300,gini,6,50,5,0.75,0.75,balanced,0.048707248453516705
9,0.1403774794924098,0.0075670244855948554,0.21789836160769846,0.003925643957454497,0.6251103201225412,0.01163002327519575,300,log_loss,8,50,25,,0.5,"{0: 1, 1: 8}",0.07752088211528865
10,0.1403661643165078,0.005789899254035041,0.17156138363491444,0.0012515216733774907,0.6265299767398822,0.011223055387218255,300,gini,6,200,50,,,balanced_subsample,0.03119521931840663
11,0.1403658475347407,0.0059374370590577034,0.19552796619482155,0.003841561306659913,0.627633820778136,0.011108160333516947,300,gini,10,25,100,0.75,,"{0: 1, 1: 2}",0.05516211866008083
12,0.14000071864072844,0.006348501011687579,0.23922231678676004,0.0026570533637962617,0.6264173703251946,0.010571960106258427,200,gini,16,50,50,0.5,0.5,"{0: 1, 1: 6}",0.0992215981460316
13,0.13992955388382494,0.0058132740344731025,0.22989722045744107,0.003399218017845893,0.6274768538888251,0.009836737063693838,200,log_loss,8,50,10,0.3,,balanced,0.08996766657361613
14,0.1398356281959058,0.004235050286046308,0.163017803067025,0.001987687301900692,0.6274828950701936,0.010408268342818295,700,log_loss,8,2,200,,0.75,balanced_subsample,0.023182174871119204
15,0.13977726611702648,0.006628749486489616,0.1978019676441744,0.0023534642598014486,0.6251319181468069,0.011227193435136541,500,log_loss,8,10,50,,,"{0: 1, 1: 6}",0.05802470152714792
16,0.13969782896585992,0.005584396843047651,0.21017034552066205,0.002367888220492347,0.6294323409242517,0.011179684620586982,500,log_loss,16,200,50,sqrt,,,0.07047251655480213
17,0.13959384014484644,0.006861970609621096,0.3173475920150855,0.003905218342074482,0.6242937817109626,0.010328464542896614,700,gini,16,2,25,,0.5,balanced_subsample,0.17775375187023906
18,0.13954307646854938,0.005003197871040964,0.17656852338473916,0.003251408905366874,0.6272297854228597,0.010584472616529577,500,gini,8,2,100,0.75,0.5,"{0: 1, 1: 4}",0.03702544691618978
19,0.1394661154409839,0.005361928189527441,0.30908136917852147,0.006101939623805433,0.6252289781058205,0.010336359953127197,300,entropy,12,100,1,0.5,0.75,"{0: 1, 1: 6}",0.16961525373753758
20,0.13936495588804812,0.0064809970900116904,0.4053076528372424,0.004776934761912646,0.6223780623429548,0.011023368890926822,200,gini,20,10,25,0.75,0.75,"{0: 1, 1: 2}",0.26594269694919426
21,0.13927844555806185,0.0054929359060578485,0.18621885917450182,0.0018932357301322746,0.6282554247479377,0.011502708572236689,700,entropy,12,50,100,0.3,0.75,,0.04694041361643997
22,0.13922628353542751,0.0059239715872668585,0.20061641481016435,0.002984223532875302,0.6265989800280082,0.010397681013460065,200,gini,20,2,100,0.5,0.75,"{0: 1, 1: 4}",0.06139013127473683
