rank_test_auprc,mean_test_auprc,std_test_auprc,mean_train_auprc,std_train_auprc,mean_test_auroc,std_test_auroc,param_model__max_depth,param_model__min_child_weight,param_model__gamma,param_model__subsample,param_model__colsample_bytree,param_model__reg_alpha,param_model__reg_lambda,param_model__scale_pos_weight,param_model__max_delta_step,train_validation_auprc_gap
1,0.1433506011820005,0.00297429698644513,0.16601959702744065,0.00057058614521132,0.6263967146303394,0.004828053672698899,2,10,1.0,0.6,1.0,1.0,20.0,6.0,1,0.02266899584544016
2,0.14326661244690397,0.0014414402148322434,0.16842537975057623,0.0016811388314817417,0.6269100883252751,0.006000688204326178,2,5,0.25,0.9,1.0,5.0,1.0,6.0,0,0.025158767303672253
3,0.14307866150177845,0.0015511352107143407,0.167023698459454,0.0014772225297537461,0.6274774464647157,0.00470851617065532,2,20,0.0,0.75,0.7,0.01,5.0,4.0,0,0.023945036957675553
4,0.142806628514586,0.0020268965319465986,0.19103120824797623,0.0021128932416864307,0.6265985608069425,0.007662913186981836,3,20,0.5,0.9,0.5,5.0,10.0,10.134239310573417,3,0.04822457973339023
5,0.14278633316713568,0.004432388759126945,0.20463105827888764,0.001937312176917767,0.6253325354728795,0.00967108346397398,3,10,1.0,0.6,1.0,5.0,0.5,6.0,3,0.06184472511175196
6,0.1421813796333254,0.0031484045879879804,0.16531854154320214,0.0009668648938295997,0.626188051958884,0.004688527888862336,2,1,0.25,0.6,0.7,0.01,20.0,6.0,0,0.023137161909876747
7,0.14191711278654245,0.002085973548523173,0.20682124916560438,0.002106847099729341,0.6264492533299346,0.009237697448433483,3,5,0.0,0.9,0.5,0.0,2.0,4.0,3,0.06490413637906192
8,0.14165013657368317,0.003077410410991524,0.20399560501714978,0.0027795526684527855,0.6268958447812273,0.006559059692394613,3,5,0.0,0.75,0.7,0.1,10.0,2.0,0,0.06234546844346661
9,0.1414795601430842,0.00400150890907821,0.20035170259573093,0.0015549250553107455,0.6232066665206508,0.009172673596579252,3,10,0.1,0.6,0.5,0.01,2.0,6.0,1,0.05887214245264674
10,0.1414508946844036,0.0023362135515877227,0.16400523231818626,0.0007905837530818328,0.625572850883511,0.004137475079975288,2,10,0.1,0.6,0.5,0.0,20.0,4.0,0,0.022554337633782645
11,0.141216040212565,0.002069831469462004,0.20565375921738985,0.00295303300779001,0.6255513100970485,0.007224575689473011,3,5,0.1,0.9,1.0,0.5,5.0,1.0,1,0.06443771900482484
12,0.14117511945257535,0.0025964870492654335,0.19208635645924493,0.0024699225426692236,0.6250512702659883,0.0076574871697274215,3,2,0.25,1.0,0.5,0.5,10.0,10.134239310573417,1,0.05091123700666958
13,0.1409005101882725,0.003617244518017352,0.1905617308737842,0.003463502281508851,0.6256173102222845,0.008499251889491004,3,5,0.0,1.0,0.85,0.0,20.0,6.0,1,0.04966122068551171
14,0.1399949257134681,0.0016366244065982765,0.2188770324164307,0.005050255054589721,0.6270988994944307,0.007132434082474796,4,2,1.0,1.0,0.5,0.1,0.5,2.0,0,0.07888210670296258
15,0.13985721038767512,0.0030526689798785448,0.2051800282849617,0.00257013702610008,0.6227337756139064,0.007958785107528907,3,5,1.0,0.75,1.0,1.0,10.0,10.134239310573417,0,0.06532281789728658
16,0.13969068742341584,0.0022694874048450582,0.23476399654723856,0.006508724786699778,0.6254870788193149,0.006453901915068465,5,10,0.25,1.0,0.5,0.1,0.5,1.0,0,0.09507330912382272
