model,metric,bootstrap_mean,bootstrap_sd,ci_2_5,ci_97_5
Regularised Logistic Regression,auprc,0.1550691866804092,0.007399687618138851,0.14111045266183436,0.17067981047170122
Regularised Logistic Regression,auroc,0.6489472507618164,0.00795021665186871,0.6338752858056543,0.6646332152635779
Regularised Logistic Regression,brier_score,0.23538034513009803,0.0008345918665259204,0.23375748668561092,0.23708597477399238
Regularised Logistic Regression,recall_80,0.8113258354754543,0.010914914074183516,0.7894312540628188,0.8326630725689358
Regularised Logistic Regression,precision_80,0.11168446967288438,0.0032388521987267997,0.10542389693206325,0.11816048635657425
Regularised Logistic Regression,fpr_80,0.63709623403144,0.004219343878794978,0.6290348240501105,0.6453465660421246
Regularised Logistic Regression,f2_80,0.3600687787865172,0.00760126154620642,0.3450709248772141,0.37514109719510447
Decision Tree,auprc,0.13761714346947154,0.0060980181977548925,0.12600453954999352,0.15024000296081766
Decision Tree,auroc,0.6181213917954494,0.00826818139347813,0.6023272885750309,0.6339709341138549
Decision Tree,brier_score,0.11853933881294042,0.001140227378419728,0.1163013299260738,0.12080002669760959
Decision Tree,recall_80,0.8137170508288436,0.01092161304930007,0.7915012811504689,0.8349372135217724
Decision Tree,precision_80,0.10438877773222435,0.003084433423856674,0.09832729262429683,0.11035710604552092
Decision Tree,fpr_80,0.6892554652396777,0.004123105286262024,0.6810683438383948,0.6973456046048425
Decision Tree,f2_80,0.3448849371357277,0.007553324557216254,0.33042982149125466,0.35951285081072093
Random Forest,auprc,0.15954401095478815,0.007806683301987161,0.145213603112536,0.1756863397140688
Random Forest,auroc,0.650406640594448,0.008043411937007661,0.6349786722771014,0.6661366271513478
Random Forest,brier_score,0.0799819853927678,0.001894934613894075,0.07617666005277142,0.08364346911682188
Random Forest,recall_80,0.8072364793699344,0.011139243258999346,0.7850739552704268,0.828100426718764
Random Forest,precision_80,0.11269335591231634,0.0032916354660299393,0.10622661635700753,0.11910068572468395
Random Forest,fpr_80,0.6274978783737938,0.00418979900583418,0.6194898698682786,0.6359726408009998
Random Forest,f2_80,0.3615054498297726,0.007706190378028947,0.34590725404759226,0.3761164317548915
XGBoost,auprc,0.15668654127392115,0.007543986019387349,0.142396279985121,0.17205235191456275
XGBoost,auroc,0.6490093244919655,0.008124579790563875,0.6327983908168772,0.6653743164358263
XGBoost,brier_score,0.15350296107273784,0.0009013077107578001,0.1517689100772183,0.1552789399633773
XGBoost,recall_80,0.7977954773235476,0.01139389165717157,0.77617473219602,0.8199857686215046
XGBoost,precision_80,0.11267424433676054,0.0032993286160101355,0.10628743440934288,0.11896812632846152
XGBoost,fpr_80,0.6202749513280749,0.004177585877117345,0.612330462166398,0.6286211615715718
XGBoost,f2_80,0.3599397842977452,0.007717891421877123,0.34470001804391415,0.37440985264214893
CatBoost,auprc,0.15561979057631162,0.0075381506628830145,0.1413830828164128,0.17105603645700915
CatBoost,auroc,0.6445205095092659,0.008113374772621336,0.628624030655141,0.6605679445049633
CatBoost,brier_score,0.08005985887041177,0.0018859888886252679,0.07630950350279207,0.08368060750838824
CatBoost,recall_80,0.8003919728557158,0.011270731356525322,0.7785421173998592,0.8224678887362291
CatBoost,precision_80,0.11127739629870989,0.0032642886195395388,0.10504070273031074,0.11768018570150526
CatBoost,fpr_80,0.6310997949358431,0.004249983547304886,0.6228344018821601,0.6397475903907667
CatBoost,f2_80,0.35749080727679716,0.007681538760526779,0.3422073540960893,0.3725133243633511
FT-Transformer,auprc,0.16011180151735177,0.007824558767038818,0.14542905542286125,0.1760917018915001
FT-Transformer,auroc,0.6498808933269291,0.008035635821421373,0.634127026354458,0.6655949454118747
FT-Transformer,brier_score,0.08506412567697816,0.001534395879576973,0.08207790581630744,0.0880032541278606
FT-Transformer,recall_80,0.8161429560452386,0.01066386438551558,0.7952435472927776,0.8367561427577017
FT-Transformer,precision_80,0.1125314634800943,0.003239274295090062,0.10602463845017603,0.11891736593775361
FT-Transformer,fpr_80,0.6354482446468191,0.004249385518606314,0.6272917718311248,0.644189408946279
FT-Transformer,f2_80,0.36258919653130006,0.007562222666702941,0.34759147018664244,0.3775634259637717
