,value
structure_search_candidates,30.0
structure_search_cv_folds,5.0
structure_search_cross_validation_auprc,0.15223097964631493
structure_search_train_validation_auprc_gap,0.03989196986152729
selected_learning_rate,0.1
selected_iterations,155.0
selected_validation_threshold,0.12473816909208556
validation_recall,0.8003182179793158
validation_precision,0.11031911393793178
validation_false_positive_rate,0.6367632053998901
test_auprc,0.15157971040473636
test_auroc,0.6420729887045855
test_brier_score,0.08569951420988793
test_accuracy,0.4097013859122732
test_recall,0.817024661893397
test_precision,0.11335540838852097
test_specificity,0.36951573659838316
test_false_positive_rate,0.6304842634016168
test_f2,0.3644946053378762
test_predicted_positive_rate,0.647235319331333
test_patients_flagged_per_true_readmission,8.821811100292113
