candidate,fold,subsample,scale_pos_weight,random_strength,max_ctr_complexity,l2_leaf_reg,depth,border_count,train_auprc,validation_auprc,validation_auroc
1,1,0.6,1.0,2.0,3,20.0,5,128,0.17925481822325617,0.1547262475918539,0.6358238616365143
1,2,0.6,1.0,2.0,3,20.0,5,128,0.17821461239863592,0.15067202042380978,0.627859513843388
1,3,0.6,1.0,2.0,3,20.0,5,128,0.17805507921005345,0.16655563794937767,0.6390655064823064
1,4,0.6,1.0,2.0,3,20.0,5,128,0.18664343257399654,0.1363596066340275,0.6150604296587382
1,5,0.6,1.0,2.0,3,20.0,5,128,0.18606373464700024,0.14301284816977017,0.6376730411719002
2,1,1.0,2.0,1.0,4,5.0,4,64,0.1844745050513021,0.1563994788468833,0.634989413720468
2,2,1.0,2.0,1.0,4,5.0,4,64,0.18798336581349706,0.15780706472685457,0.6294975443080472
2,3,1.0,2.0,1.0,4,5.0,4,64,0.19242834041755713,0.1672405041992709,0.6422387924102572
2,4,1.0,2.0,1.0,4,5.0,4,64,0.19848084846855116,0.13451255773383292,0.6133318146254283
2,5,1.0,2.0,1.0,4,5.0,4,64,0.19724768778830368,0.145195292724733,0.6395902743030555
3,1,0.8,2.0,1.0,3,3.0,10,64,0.7223825697143311,0.13874960864621616,0.5996916170745048
3,2,0.8,2.0,1.0,3,3.0,10,64,0.7180896585610926,0.13979928575056186,0.6101089493320626
3,3,0.8,2.0,1.0,3,3.0,10,64,0.6986966063425516,0.14833901964094884,0.6113412224785042
3,4,0.8,2.0,1.0,3,3.0,10,64,0.6657674262939139,0.12756501131635015,0.6012046608060813
3,5,0.8,2.0,1.0,3,3.0,10,64,0.7175825390783525,0.13248221705063007,0.6037243599391975
4,1,0.8,6.0,1.0,4,5.0,7,64,0.29381274320462114,0.14944187736272482,0.6193783065201734
4,2,0.8,6.0,1.0,4,5.0,7,64,0.31256729213932327,0.15368323791424465,0.6233171606027952
4,3,0.8,6.0,1.0,4,5.0,7,64,0.31638457210493265,0.15584834102875086,0.6273359286966639
4,4,0.8,6.0,1.0,4,5.0,7,64,0.3099982140791563,0.13506102627885394,0.6123734014582307
4,5,0.8,6.0,1.0,4,5.0,7,64,0.31096230932996477,0.14029927360302163,0.6244720795043588
5,1,1.0,2.0,2.0,1,5.0,6,128,0.24764993175654293,0.15193776290016303,0.6340515397486368
5,2,1.0,2.0,2.0,1,5.0,6,128,0.24760875718161926,0.15166429867018535,0.6228330616820001
5,3,1.0,2.0,2.0,1,5.0,6,128,0.2512428173183671,0.1615025460154429,0.6356478713003528
5,4,1.0,2.0,2.0,1,5.0,6,128,0.2586408400000147,0.1335274888056836,0.6145047452842085
5,5,1.0,2.0,2.0,1,5.0,6,128,0.2527159998966022,0.1417349569132223,0.6304758572902724
6,1,0.6,6.0,5.0,4,10.0,10,254,0.5140848857942503,0.1512389608275072,0.6211067670964353
6,2,0.6,6.0,5.0,4,10.0,10,254,0.5136709877040808,0.15501109306585004,0.625837290778836
6,3,0.6,6.0,5.0,4,10.0,10,254,0.5033258317008897,0.1488108665427005,0.6160421658401913
6,4,0.6,6.0,5.0,4,10.0,10,254,0.4967653105205729,0.1341308007664729,0.6083480119164332
6,5,0.6,6.0,5.0,4,10.0,10,254,0.516237656982108,0.1380470122970594,0.6202869544346948
7,1,1.0,1.0,5.0,1,3.0,9,128,0.45854419056382306,0.14717278166664766,0.6186911459715281
7,2,1.0,1.0,5.0,1,3.0,9,128,0.43077465994959013,0.1402394313558973,0.6092336183416093
7,3,1.0,1.0,5.0,1,3.0,9,128,0.45056506691959647,0.1519499514511307,0.6177816287871083
7,4,1.0,1.0,5.0,1,3.0,9,128,0.4483561319377654,0.13066498516492886,0.6032844770424249
7,5,1.0,1.0,5.0,1,3.0,9,128,0.4072470974959636,0.13651993423495906,0.6209505755496163
8,1,0.6,2.0,2.0,2,50.0,5,128,0.17960487657753027,0.154497582458049,0.6348973591158427
8,2,0.6,2.0,2.0,2,50.0,5,128,0.1820346639287843,0.15560102045553098,0.6280763836619322
8,3,0.6,2.0,2.0,2,50.0,5,128,0.18121558684617825,0.16993626563317515,0.6405484162724129
8,4,0.6,2.0,2.0,2,50.0,5,128,0.1908654703886973,0.13240117164673768,0.6116029283942782
8,5,0.6,2.0,2.0,2,50.0,5,128,0.1895581402966332,0.14454082627687734,0.6383194412239701
9,1,1.0,2.0,1.0,3,50.0,4,64,0.16991118577770611,0.15569475481386222,0.6350706383716083
9,2,1.0,2.0,1.0,3,50.0,4,64,0.17210720866700582,0.1513205679900186,0.6261445907089829
9,3,1.0,2.0,1.0,3,50.0,4,64,0.17047298584690898,0.16756291747763752,0.6382818803231052
9,4,1.0,2.0,1.0,3,50.0,4,64,0.1793775637356638,0.13557367711022414,0.6136314882388277
9,5,1.0,2.0,1.0,3,50.0,4,64,0.18045040986264826,0.1436887417354928,0.6384813463345579
10,1,0.8,2.0,0.5,3,5.0,4,64,0.19448703945234957,0.1530114892029621,0.6348120732321454
10,2,0.8,2.0,0.5,3,5.0,4,64,0.19749276533642157,0.15456203421324582,0.6278752172759418
10,3,0.8,2.0,0.5,3,5.0,4,64,0.19346101937348664,0.16625223212412527,0.6399696800814679
10,4,0.8,2.0,0.5,3,5.0,4,64,0.20310703232378097,0.1341927569930445,0.6103196202145447
10,5,0.8,2.0,0.5,3,5.0,4,64,0.1990464515506447,0.1443970580636188,0.6376867366628293
11,1,0.6,2.0,1.0,1,5.0,5,64,0.22654722544120068,0.15364601771888842,0.6346401477205655
11,2,0.6,2.0,1.0,1,5.0,5,64,0.2186397119502053,0.15133218030026602,0.6268650533645959
11,3,0.6,2.0,1.0,1,5.0,5,64,0.22510890290155874,0.1634547196732934,0.6337893525015966
11,4,0.6,2.0,1.0,1,5.0,5,64,0.23277821941269286,0.13225612088659056,0.6136241658971427
11,5,0.6,2.0,1.0,1,5.0,5,64,0.23545228995256515,0.14445792080845973,0.6340971620502015
12,1,0.8,1.0,5.0,3,50.0,6,64,0.17338851452061074,0.15553465261826976,0.6356578925993513
12,2,0.8,1.0,5.0,3,50.0,6,64,0.17245769576322142,0.15310439769869869,0.6270088209971139
12,3,0.8,1.0,5.0,3,50.0,6,64,0.1657855625237828,0.16677448204362186,0.6378156912358349
12,4,0.8,1.0,5.0,3,50.0,6,64,0.1815897395930544,0.1353294322228907,0.6132492348830934
12,5,0.8,1.0,5.0,3,50.0,6,64,0.18052514606515252,0.14425532330850196,0.6397962490626724
13,1,0.6,2.0,0.5,3,20.0,6,128,0.22872241751286426,0.14970789356755612,0.6348572882879467
13,2,0.6,2.0,0.5,3,20.0,6,128,0.23301739645618236,0.15441515652581708,0.6290459352477081
13,3,0.6,2.0,0.5,3,20.0,6,128,0.23414242096991156,0.16272016742405748,0.6359147299750905
13,4,0.6,2.0,0.5,3,20.0,6,128,0.2390661124378404,0.13692320426477714,0.6175063629793252
13,5,0.6,2.0,0.5,3,20.0,6,128,0.24546387881899448,0.14382774189229608,0.6340591943525762
14,1,1.0,10.134239310573417,1.0,4,50.0,7,128,0.21489382735540907,0.15026359764755548,0.6328597033675741
14,2,1.0,10.134239310573417,1.0,4,50.0,7,128,0.21773898929786986,0.15538805658785804,0.6260652612997027
14,3,1.0,10.134239310573417,1.0,4,50.0,7,128,0.2154487508502746,0.15829267808492312,0.6355738342899837
14,4,1.0,10.134239310573417,1.0,4,50.0,7,128,0.21551384370959362,0.1361840260856822,0.615458548088123
14,5,1.0,10.134239310573417,1.0,4,50.0,7,128,0.22210284381324497,0.1425066893814233,0.633803454789286
15,1,0.8,10.134239310573417,1.0,3,50.0,5,254,0.1853871591212352,0.154184594899442,0.6349961824413964
15,2,0.8,10.134239310573417,1.0,3,50.0,5,254,0.18203928673655512,0.1584677148449332,0.6286335847687534
15,3,0.8,10.134239310573417,1.0,3,50.0,5,254,0.18805031563215863,0.16021683636227552,0.6401882655406531
15,4,0.8,10.134239310573417,1.0,3,50.0,5,254,0.196296704184862,0.13877539691888285,0.6159445346177262
15,5,0.8,10.134239310573417,1.0,3,50.0,5,254,0.19246489468311395,0.14568405802274276,0.6388626504978514
16,1,0.6,4.0,0.5,2,10.0,7,64,0.34040516082287586,0.1480736318106115,0.6225420066820813
16,2,0.6,4.0,0.5,2,10.0,7,64,0.3310413615487508,0.15424082966772945,0.6271663968203256
16,3,0.6,4.0,0.5,2,10.0,7,64,0.35306828385733313,0.15285083180993905,0.6284898755066315
16,4,0.6,4.0,0.5,2,10.0,7,64,0.3366715233827326,0.13235869146008394,0.610261583876746
16,5,0.6,4.0,0.5,2,10.0,7,64,0.3468328760617645,0.13990985029475905,0.6248357558080407
17,1,0.6,1.0,1.0,3,3.0,5,254,0.20172647433607335,0.15548501232073206,0.6370492708733815
17,2,0.6,1.0,1.0,3,3.0,5,254,0.20065603684857924,0.1515514634041617,0.6286655331315352
17,3,0.6,1.0,1.0,3,3.0,5,254,0.20292283567267277,0.16321928377883027,0.6391819859546638
17,4,0.6,1.0,1.0,3,3.0,5,254,0.20819353702511884,0.13592756602076445,0.6124121827493766
17,5,0.6,1.0,1.0,3,3.0,5,254,0.2130969994047744,0.14154283543075477,0.6334877805033161
18,1,1.0,4.0,0.0,3,3.0,4,254,0.2080755439679636,0.14509436538749132,0.6317875379725244
18,2,1.0,4.0,0.0,3,3.0,4,254,0.21276616907052603,0.15192570620100396,0.6201954265106431
18,3,1.0,4.0,0.0,3,3.0,4,254,0.2124065442546212,0.1603301769202654,0.6377230771734134
18,4,1.0,4.0,0.0,3,3.0,4,254,0.21583264383056563,0.13511359754435134,0.611099042807223
18,5,1.0,4.0,0.0,3,3.0,4,254,0.21528863800363085,0.13996101622279988,0.6337305025702776
19,1,0.6,10.134239310573417,1.0,1,10.0,7,128,0.31609398969188673,0.14832576278538365,0.6227886588727102
19,2,0.6,10.134239310573417,1.0,1,10.0,7,128,0.31435929612003627,0.15238062711649344,0.6204499304175489
19,3,0.6,10.134239310573417,1.0,1,10.0,7,128,0.3294704867576936,0.1526539140169766,0.625163905194659
19,4,0.6,10.134239310573417,1.0,1,10.0,7,128,0.3277560894630701,0.13559162339138034,0.6126001228526217
19,5,0.6,10.134239310573417,1.0,1,10.0,7,128,0.3269528364950465,0.14017199458152885,0.6186424107318409
20,1,1.0,6.0,2.0,2,3.0,7,128,0.2851251881234353,0.14864333705004562,0.629748257731233
20,2,1.0,6.0,2.0,2,3.0,7,128,0.2903728248456147,0.157438907560245,0.619000611892372
20,3,1.0,6.0,2.0,2,3.0,7,128,0.29257171385040176,0.1534958147403076,0.6275385134832786
20,4,1.0,6.0,2.0,2,3.0,7,128,0.2972257133960527,0.1330726272330695,0.6081524782736629
20,5,1.0,6.0,2.0,2,3.0,7,128,0.28304512655666475,0.14067731729472324,0.6265836258880033
21,1,1.0,1.0,2.0,1,10.0,5,64,0.1912261162407159,0.15567809061559035,0.6344018887438879
21,2,1.0,1.0,2.0,1,10.0,5,64,0.19085873115886215,0.153407806688916,0.6263763517135694
21,3,1.0,1.0,2.0,1,10.0,5,64,0.1968039219592718,0.1656881178371032,0.6378944742084074
21,4,1.0,1.0,2.0,1,10.0,5,64,0.20845765171214994,0.13411152451228303,0.614231649059147
21,5,1.0,1.0,2.0,1,10.0,5,64,0.20108492975056344,0.14396382609022046,0.6339075947599153
