candidate,subsample,scale_pos_weight,random_strength,max_ctr_complexity,l2_leaf_reg,depth,border_count,mean_train_auprc,std_train_auprc,mean_validation_auprc,std_validation_auprc,mean_validation_auroc,std_validation_auroc,train_validation_auprc_gap,rank_validation_auprc
2,1.0,2.0,1.0,4,5.0,4,64,0.19212294950784223,0.005966865613804596,0.15223097964631493,0.012621393576420012,0.6319295678734511,0.011468656794230479,0.03989196986152729,1
29,0.8,1.0,1.0,4,50.0,5,64,0.17833619274009233,0.005843207404047674,0.15177809412797152,0.01238531574786748,0.6313072448913534,0.009809401032350338,0.0265580986121208,2
15,0.8,10.134239310573417,1.0,3,50.0,5,254,0.18884767207158498,0.005646623258356972,0.15146572020965526,0.009048123634706941,0.6317250435732762,0.009897644778047145,0.03738195186192972,3
8,0.6,2.0,2.0,2,50.0,5,128,0.18465574760756467,0.005167450894148453,0.15139537329407404,0.013953855824686013,0.6306889057336873,0.011664539236263536,0.03326037431349063,4
26,0.8,4.0,5.0,1,20.0,4,64,0.1806695662027884,0.00465045083133358,0.15120334512582861,0.010823480916002359,0.6290960182149401,0.00873813314211936,0.029466221076959787,5
12,0.8,1.0,5.0,3,50.0,6,64,0.17474933169316437,0.006473094086891928,0.15099965757839662,0.011883635863349734,0.6307055777556132,0.010909965144772629,0.02374967411476775,6
22,0.6,6.0,1.0,3,1.0,4,64,0.19605466844885605,0.0038954760954789482,0.1508939532586599,0.01085735766275886,0.6291678954308543,0.011701030578499536,0.045160715190196155,7
9,1.0,2.0,1.0,3,50.0,4,64,0.17446387077798658,0.005054477921722527,0.15076813182544707,0.012120549111195752,0.6303219887954163,0.010589005205679246,0.023695738952539513,8
21,1.0,1.0,2.0,1,10.0,5,64,0.19768627016431264,0.007360383199514029,0.1505698731488226,0.01201276583996013,0.6293623916969854,0.009443352700521422,0.04711639701549003,9
10,0.8,2.0,0.5,3,5.0,4,64,0.19751886160733667,0.0038477231313032607,0.1504831141193993,0.011980308488937375,0.6301326654933858,0.011972682862464149,0.047035747487937374,10
30,1.0,2.0,5.0,4,1.0,6,64,0.23117286169477466,0.006031447351719762,0.150362901456573,0.010847306705417536,0.6284885365795464,0.008783603440652944,0.08080996023820167,11
1,0.6,1.0,2.0,3,20.0,5,128,0.18164633541058844,0.004326592032429911,0.15026527215376778,0.011526132818076107,0.6310964705585693,0.009959135724383754,0.03138106325682066,12
17,0.6,1.0,1.0,3,3.0,5,254,0.20531917665744373,0.005223775147688821,0.14954523219104865,0.01090601696689984,0.6301593506424545,0.010690543170079843,0.05577394446639508,13
23,1.0,4.0,5.0,3,10.0,7,128,0.24932638783149166,0.001171369918178446,0.1495250632702171,0.010353601547835775,0.6269661417309187,0.007657156566795395,0.09980132456127455,14
13,0.6,2.0,0.5,3,20.0,6,128,0.2360824452391586,0.0064078427006379265,0.1495188327349008,0.009865639104680924,0.6302767021685293,0.007610399531037172,0.08656361250425781,15
27,0.6,4.0,2.0,1,10.0,7,254,0.29968615623231887,0.0033934893716425366,0.14922171072609847,0.008311411778031465,0.6262216521140738,0.007019258122236128,0.1504644455062204,16
11,0.6,2.0,1.0,1,5.0,5,64,0.22770526993164455,0.00663358247769284,0.14902939187749964,0.011586059707306086,0.6286031763068205,0.008957080313048905,0.07867587805414492,17
14,1.0,10.134239310573417,1.0,4,50.0,7,128,0.2171396510052784,0.002980713245232743,0.14852700955748843,0.009138537661229686,0.6287521603669339,0.008259271668444089,0.06861264144778997,18
24,0.8,10.134239310573417,5.0,1,50.0,9,254,0.29149643033174943,0.009023308801337605,0.14809550617621375,0.008462174191579621,0.6252867685025333,0.009132132894433239,0.14340092415553568,19
5,1.0,2.0,2.0,1,5.0,6,128,0.25157166923062924,0.0045408013704592845,0.14807341066093943,0.010722980110776947,0.6275026150610941,0.008786682118648978,0.1034982585696898,20
4,0.8,6.0,1.0,4,5.0,7,64,0.3087450261715996,0.008695290080518522,0.1468667512375192,0.008892013616610224,0.6213753753564444,0.005786020235126699,0.1618782749340804,21
20,1.0,6.0,2.0,2,3.0,7,128,0.2896681133544338,0.005712857347530474,0.1466656007756782,0.009839408918048614,0.62220469745371,0.008835453263684694,0.14300251257875563,22
25,0.6,6.0,0.5,2,1.0,5,64,0.24300134394101938,0.0014711838495313995,0.1465580875724397,0.008895665668973428,0.6252236639081447,0.007956061374132694,0.09644325636857967,23
18,1.0,4.0,0.0,3,3.0,4,254,0.21287390782546148,0.003075685803071696,0.14648497245518238,0.00993850127879336,0.6269071174068163,0.010980711416978605,0.0663889353702791,24
19,0.6,10.134239310573417,1.0,1,10.0,7,128,0.32292653970554663,0.0071140751693643724,0.14582478437835258,0.007624673679790631,0.6199290056138761,0.004775484319716034,0.17710175532719405,25
16,0.6,4.0,0.5,2,10.0,7,64,0.3416038411346914,0.00860387733973639,0.14548676700862462,0.00923313734034693,0.622659123738765,0.00729320942744953,0.19611707412606677,26
6,0.6,6.0,5.0,4,10.0,10,254,0.5088169345403804,0.008393064339009363,0.145447746699918,0.00893239140467806,0.6183242380133182,0.006572169091063435,0.36336918784046235,27
7,1.0,1.0,5.0,1,3.0,9,128,0.4390974293733477,0.020488526889752296,0.1413094167747127,0.008440793240959006,0.6139882891384574,0.0074524862953071844,0.297788012598635,28
28,0.6,6.0,5.0,4,3.0,10,64,0.6566995449194571,0.02558174105111476,0.1404458183472846,0.007159969256991298,0.6071200698533795,0.006740107639164857,0.5162537265721725,29
3,0.8,2.0,1.0,3,3.0,10,64,0.7045037599980483,0.02350271006333304,0.1373870284809414,0.00787640331240973,0.60521416192607,0.005251045743275539,0.5671167315171068,30
