model,weight_label,weight_type,positive_to_negative_ratio,cv_mean_auprc,cv_std_auprc,cv_mean_auroc,cv_std_auroc,cv_mean_brier,val_threshold,val_auprc,val_auroc,val_brier_score,val_recall,val_precision,val_specificity,val_false_positive_rate,val_f2,val_balanced_accuracy,val_predicted_positive_rate
Decision Tree,manual_1,manual,1.0,0.1401436472578654,0.003232847428887666,0.6169962090404562,0.00378505063588245,0.08047263123576273,0.06022659511031604,0.12950564678669454,0.6076998086283877,0.08091080055084748,0.817024661893397,0.10351779054530794,0.30193862334196686,0.6980613766580331,0.3435012375409726,0.5594816426176819,0.7087441063009001
Decision Tree,manual_2,manual,2.0,0.13910748128743528,0.002954688810397941,0.61644241991798,0.006930053470374107,0.08712411248168732,0.12265331664580725,0.12717580988583516,0.6009276237669943,0.08805797585821971,0.801909307875895,0.10576015108593012,0.3310572168589593,0.6689427831410407,0.3461776220894292,0.5664832623674272,0.6808829832833262
Decision Tree,manual_4,manual,4.0,0.1396411388726642,0.002518842049743373,0.6209711127924932,0.0049360859694516455,0.11836935965423342,0.2064516129032258,0.12988157352558546,0.6068250588479102,0.11922198318971053,0.8042959427207638,0.10742747848262671,0.34071109018130447,0.6592889098186956,0.35009349677955537,0.5725035164510341,0.6723103300471496
Decision Tree,manual_6,manual,6.0,0.13809427282037195,0.003605260696194788,0.6173063524708174,0.005650413417448009,0.15764864661800773,0.28336755646817247,0.12693154615106755,0.5987421386004015,0.15834456891642595,0.807478122513922,0.10377262038646355,0.3119849305392041,0.6880150694607958,0.34269700857586605,0.5597315265265631,0.6987426775253608
Decision Tree,manual_8,manual,8.0,0.13874932532564171,0.003378596248114191,0.6178590410532195,0.0036095806830796296,0.19618285653069006,0.3452157598499062,0.1284362558073524,0.6004320706328524,0.1974457514767116,0.8146380270485283,0.10282156843056532,0.2987206655678518,0.7012793344321482,0.3416294121572029,0.55667934630819,0.7114587798256894
Decision Tree,manual_10,manual,10.0,0.13782758782447072,0.002296962456833557,0.6134111435158767,0.0065623904521710805,0.23318117861631976,0.40502793296089384,0.12640129848438542,0.6034469118763353,0.234909184949322,0.801909307875895,0.10385328662682877,0.31732203123773645,0.6826779687622636,0.34206596986561694,0.5596156695568157,0.6933847692527504
Decision Tree,balanced,automatic_reference,10.135242641209228,0.13980382722583462,0.0009040965390525906,0.618650789874318,0.0058960075451294355,0.23561515983607575,0.40045755644631614,0.12666202556078943,0.5997787010120298,0.2370775065651397,0.8082736674622116,0.103789968331801,0.31143552311435524,0.6885644768856448,0.3428494297091179,0.5598545952882834,0.6993141877411059
Random Forest,manual_1,manual,1.0,0.1520746516245111,0.006280669032403402,0.6362898400217812,0.007688272929435346,0.08010558402788874,0.07043807295588024,0.13961034661368937,0.6227441062020349,0.08044716024446195,0.8003182179793158,0.10905149051490515,0.3549171964523978,0.6450828035476023,0.35290815968568023,0.5776177072158568,0.6590227175310759
Random Forest,manual_2,manual,2.0,0.15135885840874425,0.004759496863480189,0.6361807381918163,0.007528853299208591,0.08523504841130744,0.13127893027078566,0.14001036678092324,0.6234764621158948,0.08574509943923732,0.8003182179793158,0.10955025590765545,0.3582136410014912,0.6417863589985088,0.35395116459080994,0.5792659294904035,0.6560222888984141
Random Forest,manual_4,manual,4.0,0.15070673260498998,0.005437350502911785,0.6361171552186737,0.006638865212913364,0.1140418734288539,0.2291314471681701,0.13927841596302676,0.6231146861618575,0.11502739854312993,0.8003182179793158,0.10930030421555845,0.3565654187269445,0.6434345812730555,0.35342889263631255,0.5784418183531301,0.6575225032147449
