rank_test_score,mean_test_score,std_test_score,mean_train_score,std_train_score,param_model__criterion,param_model__max_depth,param_model__min_samples_split,param_model__min_samples_leaf,param_model__max_features,param_model__max_leaf_nodes,param_model__class_weight,param_model__ccp_alpha,train_validation_auprc_gap
1,0.13980382722583462,0.0009040965390525906,0.1528837241408124,0.0007654684845720754,gini,12,100,400,0.75,127,balanced,0.0,0.013079896914977768
2,0.13854314513799398,0.002557567398256274,0.15301286148247464,0.0008466917946860462,log_loss,,20,400,0.75,127,"{0: 1, 1: 4}",5e-05,0.01446971634448066
3,0.13814243201589754,0.0031927218012142854,0.1501583859053499,0.0007710249051264117,gini,,100,200,0.75,31,"{0: 1, 1: 2}",1e-05,0.012015953889452369
4,0.1381400765371515,0.0032212034229009024,0.1593632738671537,0.002577946428933112,gini,12,20,200,0.5,127,"{0: 1, 1: 2}",0.0,0.02122319733000222
5,0.1377718671211628,0.0033652485855648717,0.15169167955596574,0.0006127288717140676,gini,,20,400,,63,"{0: 1, 1: 4}",0.0001,0.013919812434802947
6,0.1375851217329846,0.0025554677081973637,0.14768999735855529,0.0012894986081065033,entropy,,20,400,,31,,5e-05,0.010104875625570692
7,0.1373861163234417,0.0024894519779280902,0.1474742181635176,0.0013077374715569578,entropy,,100,400,,31,"{0: 1, 1: 2}",1e-05,0.010088101840075914
8,0.1373445884331234,0.0025228406971610443,0.14737018746665936,0.001441304638105666,gini,10,200,400,,31,"{0: 1, 1: 6}",1e-05,0.010025599033535976
9,0.13666147663281356,0.004063783132675235,0.15359670604376632,0.0021149188876406016,entropy,8,500,100,,127,"{0: 1, 1: 2}",0.0001,0.016935229410952768
10,0.13658481567849712,0.0025234347268178895,0.14399149940746941,0.0013700705681664296,log_loss,6,200,400,,31,"{0: 1, 1: 4}",1e-05,0.007406683728972296
11,0.136518238092642,0.0032786025123266653,0.147114015845947,0.002533532029827,entropy,8,500,25,sqrt,127,"{0: 1, 1: 6}",0.0001,0.010595777753305002
12,0.1356625523023165,0.0041604230277778416,0.14778279673935915,0.0003636203297904506,entropy,10,500,200,sqrt,127,"{0: 1, 1: 4}",0.0,0.012120244437042654
13,0.1353230452416892,0.002104324426036983,0.14178651764779598,0.00147959514471596,gini,6,500,400,0.75,63,"{0: 1, 1: 2}",5e-05,0.006463472406106785
14,0.13526087071368786,0.0033997663848346787,0.14968394772017624,0.001768969020323207,gini,8,500,25,,31,"{0: 1, 1: 4}",0.0001,0.014423077006488372
15,0.13522467471139726,0.0031128115309899357,0.14929696237591078,0.0015179363608281333,gini,,50,200,0.75,31,"{0: 1, 1: 4}",5e-05,0.014072287664513516
16,0.1350212422570008,0.003803183265789023,0.16973585697005736,0.0024108014297025723,gini,10,50,100,,,"{0: 1, 1: 6}",0.0,0.03471461471305656
17,0.13500079041209906,0.0032570589066143255,0.14893306150996377,0.0030125790431424545,entropy,,200,400,0.5,127,"{0: 1, 1: 2}",1e-05,0.013932271097864712
18,0.13475179896871176,0.001871251616044252,0.14509565174424513,0.001979040500511254,entropy,10,500,100,,31,"{0: 1, 1: 6}",1e-05,0.010343852775533374
19,0.13466174506627454,0.005296186752858192,0.14241812151450087,0.002262015576594667,gini,10,200,200,0.5,31,balanced,5e-05,0.0077563764482263264
20,0.13455852556660533,0.001438212296790796,0.1384996785555241,0.0017211687323260157,gini,5,50,400,,15,balanced,1e-05,0.003941152988918756
21,0.13450288782984066,0.0021411871017399803,0.14042541705498962,0.0012932745578117747,log_loss,5,200,400,,127,balanced,0.0001,0.005922529225148965
22,0.13439416753205377,0.0021372635665933004,0.14046474330602285,0.0012556487156675337,entropy,5,20,400,,31,"{0: 1, 1: 2}",0.0,0.006070575773969078
22,0.13439416753205377,0.0021372635665933004,0.14046474330602285,0.0012556487156675337,gini,5,200,400,,63,"{0: 1, 1: 6}",5e-05,0.006070575773969078
24,0.1343883572650178,0.0031694307559757516,0.16281054072648712,0.003286047517721457,log_loss,10,500,25,,127,"{0: 1, 1: 2}",0.0001,0.028422183461469325
25,0.13438115406829018,0.0027359349703477867,0.15096046666671217,0.002025778418438742,gini,6,200,100,,,balanced,1e-05,0.01657931259842199
26,0.1342410691651771,0.002052161445187733,0.13793497983568376,0.0010326912323029836,entropy,6,50,400,0.75,15,"{0: 1, 1: 4}",1e-05,0.003693910670506645
27,0.1340745755866198,0.0030627521566235906,0.14424286641863365,0.003263656150811684,log_loss,12,100,400,0.5,127,"{0: 1, 1: 4}",0.0001,0.010168290832013843
28,0.13406004025829704,0.0035864947995455265,0.15673952017179602,0.0045542113901231905,entropy,,50,50,sqrt,127,"{0: 1, 1: 6}",0.0001,0.022679479913498973
29,0.1337485108045105,0.0032860277028859677,0.13946092147780004,0.0012719765735153363,gini,5,50,400,0.75,,"{0: 1, 1: 2}",5e-05,0.005712410673289536
30,0.13349093525096647,0.0028072826618329694,0.14560822255551398,0.001742950439720368,entropy,5,100,25,0.75,31,,0.0001,0.012117287304547503
31,0.13346872816096486,0.0021557759959102392,0.1442801104167317,0.002971009379595092,gini,5,20,100,0.75,127,balanced,5e-05,0.010811382255766833
32,0.13331800841143976,0.0026942879315515066,0.14504070871268668,0.0024326658568837585,gini,8,500,10,0.75,31,balanced,5e-05,0.011722700301246919
33,0.1328264356867895,0.0036900796191616375,0.1447955965555264,0.002421319348208709,log_loss,6,200,25,0.75,31,balanced,0.0001,0.011969160868736894
34,0.1326654879016999,0.0049024402870382535,0.14108462701779773,0.0018600222064897444,gini,10,50,200,sqrt,31,"{0: 1, 1: 2}",1e-05,0.008419139116097818
35,0.1326403314958535,0.0029215741552327435,0.14448659654762888,0.0038172801738489944,log_loss,6,50,100,0.5,63,,0.0001,0.011846265051775384
36,0.13243462481811033,0.002197638211230211,0.1437743352271607,0.0032240178850111135,entropy,12,50,100,0.75,31,balanced,1e-05,0.01133971040905038
37,0.13236562604891786,0.002590751251194481,0.13759323179014035,0.0017562115053107953,log_loss,5,200,100,0.75,15,"{0: 1, 1: 4}",0.0,0.005227605741222496
38,0.1322012017953494,0.00423951318043163,0.13908981793174952,0.0017848709862172078,gini,4,50,100,,127,"{0: 1, 1: 4}",0.0,0.0068886161364001275
39,0.1321579388136074,0.0011332779262657074,0.13890791337198005,0.0021937245120342208,gini,6,500,100,0.75,15,"{0: 1, 1: 6}",1e-05,0.006749974558372646
40,0.13203819696326952,0.0034097657353786407,0.15860005329173216,0.0056898974989051465,log_loss,10,20,10,sqrt,127,balanced,5e-05,0.02656185632846264
41,0.132007986631962,0.0037375792073879683,0.13813098421695566,0.0011164607822246324,gini,4,100,100,,,"{0: 1, 1: 4}",0.0001,0.006122997584993656
42,0.13200073525384443,0.0038166530739732986,0.13963977952044865,0.003265727530009263,log_loss,12,500,400,sqrt,63,,5e-05,0.007639044266604222
43,0.13183150701167196,0.002775706102404337,0.1360591100107107,0.0012498713569123446,gini,12,500,25,sqrt,127,,5e-05,0.004227602999038738
44,0.1317948230315732,0.0031010467139726307,0.1427848159478623,0.003215628573716914,entropy,10,50,25,0.5,63,"{0: 1, 1: 6}",0.0005,0.010989992916289104
45,0.13154797603745413,0.0018840103527632303,0.14418116397194436,0.001660345302519179,entropy,12,20,10,0.75,31,"{0: 1, 1: 6}",5e-05,0.012633187934490225
46,0.13142490421186417,0.00370075238385903,0.13885391002964612,0.0019493024295430704,entropy,4,20,100,,15,"{0: 1, 1: 6}",5e-05,0.007429005817781942
47,0.13139416750640087,0.004237312457412303,0.13600133499006622,0.0029372043238941833,log_loss,5,50,400,0.5,127,balanced,1e-05,0.004607167483665353
48,0.1313664116727148,0.002809570527400899,0.13696089072441903,0.002247003803750699,log_loss,4,500,200,,15,balanced,0.0001,0.0055944790517042375
49,0.1313292087862165,0.002613156428058751,0.1759463304818994,0.003282492652161909,log_loss,10,200,25,,127,,1e-05,0.04461712169568288
50,0.13129645066054946,0.004847724708780049,0.1464259272241341,0.002650913903989048,entropy,,20,400,0.5,,"{0: 1, 1: 4}",0.0,0.015129476563584654
51,0.1311613914262622,0.0027628512731752214,0.13959461753231764,0.0021799321353115023,log_loss,12,20,10,,15,,1e-05,0.00843322610605543
52,0.13108649811434167,0.0025776503587649382,0.13931794067848413,0.0016013207287120922,log_loss,4,20,25,0.75,,,1e-05,0.00823144256414246
53,0.13097047797286507,0.005462880596692819,0.17283717026448833,0.004319401805574085,entropy,10,20,50,0.5,127,"{0: 1, 1: 2}",1e-05,0.041866692291623264
54,0.1305033500989991,0.0033370632776992307,0.15126638426568462,0.004175685515287797,gini,,200,50,sqrt,63,"{0: 1, 1: 4}",1e-05,0.020763034166685512
55,0.13026023221866037,0.0032837917038896565,0.1371458439781107,0.0020367534745603915,entropy,4,100,100,0.75,63,"{0: 1, 1: 6}",0.0001,0.006885611759450322
56,0.13005039541524627,0.0063510296868051685,0.1398679433853431,0.003644409723263495,log_loss,5,200,25,0.5,,balanced,1e-05,0.009817547970096846
57,0.129467857993118,0.0032624304586807034,0.13142876885363028,0.0005792623478773482,gini,10,500,400,sqrt,15,balanced,0.0,0.0019609108605122827
58,0.129053383432616,0.003394006827089476,0.13321856711260396,0.00379874077054838,gini,,500,100,sqrt,15,"{0: 1, 1: 6}",0.0001,0.0041651836799879716
59,0.12902449306929928,0.006909669413480699,0.140495108772646,0.004168849008532776,log_loss,6,500,25,sqrt,,balanced,1e-05,0.011470615703346732
60,0.12897183542098045,0.0016770827934608954,0.13207621453171842,0.002233420863114193,gini,10,500,25,0.5,127,,0.0001,0.003104379110737965
61,0.1289448244867304,0.0032781563633201313,0.13228728959479355,0.003015743363759281,gini,5,20,100,,,"{0: 1, 1: 4}",0.0005,0.0033424651080631584
61,0.1289448244867304,0.0032781563633201313,0.13228728959479355,0.003015743363759281,gini,8,200,200,,63,"{0: 1, 1: 4}",0.0005,0.0033424651080631584
63,0.12870502906078504,0.002329077497161134,0.16884270756671566,0.00530422514826251,gini,,20,10,,63,,5e-05,0.04013767850593061
64,0.12856726387907888,0.006719265218373442,0.14719682059271463,0.0038405081322945016,gini,8,100,50,log2,,"{0: 1, 1: 2}",1e-05,0.018629556713635753
65,0.12854625323102914,0.0029661685560045704,0.1312534211803693,0.0010153538180847437,entropy,8,50,200,sqrt,63,balanced,0.0005,0.0027071679493401724
66,0.12841406815384185,0.003220390256513706,0.1884793095598039,0.003987301221761569,gini,12,200,25,,,"{0: 1, 1: 6}",5e-05,0.06006524140596206
67,0.12819541855877725,0.005028903948512109,0.13099083580275578,0.004163713142103703,log_loss,4,500,200,sqrt,31,"{0: 1, 1: 2}",0.0,0.0027954172439785263
68,0.12797056349667585,0.005945328359101011,0.1321960200343557,0.002836888142503835,entropy,4,50,200,sqrt,127,balanced,5e-05,0.004225456537679861
69,0.12793307373832077,0.004203172759951847,0.13167759017127412,0.0009479133710138807,entropy,5,100,400,sqrt,63,"{0: 1, 1: 2}",1e-05,0.003744516432953343
70,0.12790825471195816,0.005954158296381112,0.13214628088911606,0.002819112861092594,entropy,4,50,200,sqrt,15,"{0: 1, 1: 6}",0.0001,0.004238026177157905
71,0.1278985023382661,0.0023410198267501555,0.13015031425464166,0.0020217298371170422,log_loss,3,500,200,0.75,15,"{0: 1, 1: 6}",0.0,0.0022518119163755512
72,0.12771595051732296,0.002346964815202613,0.13078845805863595,0.001644568397850992,log_loss,3,50,25,0.75,31,,0.0,0.0030725075413129965
72,0.12771595051732296,0.002346964815202613,0.13078845805863595,0.001644568397850992,log_loss,3,20,50,0.75,127,"{0: 1, 1: 4}",1e-05,0.0030725075413129965
74,0.12767582670117975,0.0028064947249380984,0.13072334552748519,0.0016270947775852156,log_loss,3,100,200,0.75,63,"{0: 1, 1: 6}",5e-05,0.00304751882630544
75,0.12764096040334516,0.002791012331166003,0.12997486612177922,0.001976966299692507,entropy,3,50,200,0.75,31,balanced,0.0005,0.0023339057184340595
76,0.1276286521882827,0.0029380340298499185,0.12967482176049666,0.002446474093417994,gini,8,500,100,,63,,0.0001,0.0020461695722139572
77,0.1276178892951108,0.00463895774698956,0.13257489127350208,0.0033566169185198524,gini,4,200,25,sqrt,63,balanced,0.0001,0.004957001978391273
78,0.1274028279076284,0.0036772169136086,0.13402914123077944,0.004981114851544346,log_loss,5,50,25,0.5,15,,0.0,0.0066263133231510285
79,0.12713734915057967,0.0043842928345579485,0.13194633464350297,0.003419571059498917,gini,5,50,400,sqrt,127,"{0: 1, 1: 4}",5e-05,0.004808985492923301
80,0.12694363556771932,0.00392288670873815,0.12838834720897951,0.0029113214907497314,log_loss,,20,10,sqrt,15,"{0: 1, 1: 4}",0.001,0.001444711641260199
81,0.12694126305473502,0.003683048159016158,0.14233964172936014,0.004560673250364333,log_loss,5,20,25,0.5,31,"{0: 1, 1: 2}",0.0,0.015398378674625124
82,0.12693079007744715,0.005629604650497576,0.1350045144596459,0.003251937348729693,entropy,4,50,25,0.5,15,"{0: 1, 1: 4}",0.0001,0.00807372438219875
83,0.1268752493517217,0.006299232479947173,0.13289603883102535,0.003509418861850156,log_loss,4,200,10,0.5,,"{0: 1, 1: 6}",1e-05,0.006020789479303651
84,0.1266775377639427,0.00459716987271163,0.1293772015855188,0.00226867675741133,entropy,3,20,10,0.75,63,"{0: 1, 1: 2}",0.0005,0.0026996638215761037
85,0.12663032040897074,0.005928315315312218,0.1316038732111028,0.003011057175309573,gini,4,50,200,sqrt,127,balanced,5e-05,0.004973552802132075
86,0.12640698197099587,0.003836648360789915,0.1278310662464664,0.0019309637620871338,entropy,4,500,50,sqrt,31,"{0: 1, 1: 6}",0.0005,0.0014240842754705274
87,0.1262451316187883,0.006471570205976352,0.13697056353449416,0.007972452557357948,entropy,10,50,10,0.5,31,balanced,5e-05,0.010725431915705852
88,0.12615150990094867,0.0037583907921533407,0.12926585880247263,0.0015177138393922273,log_loss,4,500,10,,,balanced,0.001,0.0031143489015239556
89,0.12609449796711597,0.004228690616465524,0.1290616093128972,0.0009273813989401476,log_loss,10,200,200,,31,"{0: 1, 1: 6}",0.001,0.0029671113457812315
90,0.12582570752913677,0.0035614826871604786,0.128174273987364,0.0008368236151690094,entropy,,500,400,,63,,0.0005,0.0023485664582272303
91,0.12553290772683776,0.005948128503281583,0.130139978828335,0.004023799913393056,gini,5,500,25,0.5,15,balanced,0.0005,0.004607071101497245
92,0.12537197332077948,0.0032270123389784126,0.12722582745731376,0.0008200395940228814,gini,12,20,400,,,balanced,0.001,0.001853854136534272
93,0.1252527002826413,0.005075942000431579,0.12732278662901705,0.004303888144862477,gini,8,200,400,0.5,31,,0.0001,0.00207008634637576
94,0.12510688922907015,0.003639446498741196,0.12746474765909283,0.0010343770612003481,gini,,500,10,,,balanced,0.001,0.0023578584300226746
95,0.12471031647344746,0.0029874058348979137,0.12745409872962338,0.0024620955927777957,log_loss,4,20,50,sqrt,127,"{0: 1, 1: 2}",0.0001,0.002743782256175914
96,0.12418933685027915,0.003931613685243626,0.12668297463375033,0.0005176991999942482,log_loss,8,200,200,0.75,63,,0.0005,0.0024936377834711837
97,0.12335551714216172,0.0041671501792843344,0.1281958018245945,0.005341414354117202,gini,10,500,50,log2,,,5e-05,0.004840284682432777
98,0.12335046196766919,0.005424959155037137,0.15362622849671323,0.005420749808920291,entropy,,500,10,log2,127,"{0: 1, 1: 4}",0.0001,0.03027576652904404
99,0.12271292064061227,0.004213202315892687,0.12423799313373199,0.0018456124868842445,log_loss,5,50,400,0.75,31,"{0: 1, 1: 2}",0.001,0.001525072493119714
100,0.12214330266701864,0.0035794725475564895,0.12770549056033692,0.004411963883772561,log_loss,8,200,100,0.5,15,"{0: 1, 1: 6}",0.0,0.005562187893318277
101,0.12179637763194699,0.0030875022957302456,0.12896821381000284,0.0030634310132499213,gini,12,100,400,log2,127,"{0: 1, 1: 4}",0.0001,0.007171836178055849
102,0.12172015305767378,0.006510601127384519,0.13832894991474448,0.005066877876072986,entropy,12,20,200,log2,,"{0: 1, 1: 4}",0.0,0.0166087968570707
103,0.1213005932704857,0.0030629128467745733,0.12172678199459756,0.0008943154586753309,gini,12,500,50,0.75,127,"{0: 1, 1: 2}",0.001,0.0004261887241118617
104,0.12095662426510254,0.0029749742910452045,0.12178828244830309,0.0008655353154893884,entropy,10,200,200,,,,0.001,0.000831658183200551
104,0.12095662426510254,0.0029749742910452045,0.12178828244830309,0.0008655353154893884,log_loss,,50,10,,15,,0.001,0.000831658183200551
106,0.12069343228595572,0.0028962731931131886,0.12569510738338202,0.0049054694878952225,gini,5,200,400,log2,127,"{0: 1, 1: 2}",1e-05,0.0050016750974263
107,0.12059702356085841,0.008889417683721246,0.14831051179083604,0.006995871541342965,log_loss,10,50,25,log2,127,balanced,5e-05,0.02771348822997763
108,0.12059669168342682,0.00226413832057304,0.12283436290866975,0.0020088275913645944,gini,3,500,25,sqrt,63,balanced,0.0001,0.002237671225242932
108,0.12059669168342682,0.00226413832057304,0.12283436290866975,0.0020088275913645944,gini,3,50,100,sqrt,127,balanced,5e-05,0.002237671225242932
110,0.12049510021642869,0.003366113569783837,0.12987126136742233,0.004245973450709258,gini,6,100,100,log2,127,balanced,1e-05,0.009376161150993642
111,0.12027933457515823,0.005534835165187299,0.1294553794536885,0.003991550311061212,gini,12,500,200,log2,31,"{0: 1, 1: 2}",5e-05,0.009176044878530284
112,0.12013393829889427,0.0025882448451673952,0.1231265374372336,0.005054501651021786,gini,12,20,400,0.5,31,"{0: 1, 1: 6}",0.001,0.0029925991383393385
113,0.11987400896264595,0.003136000937183654,0.1208925728425128,0.0020113880363665767,log_loss,4,200,200,sqrt,,"{0: 1, 1: 2}",0.0005,0.0010185638798668462
114,0.1196050577942415,0.0015430701167679483,0.12260302101570471,0.000748274407297184,log_loss,3,20,400,0.5,31,balanced,0.0,0.0029979632214632013
114,0.1196050577942415,0.0015430701167679483,0.12260302101570471,0.000748274407297184,entropy,3,200,400,0.5,31,balanced,0.0,0.0029979632214632013
116,0.11869095971287606,0.0020370366603583785,0.12278593856512535,0.0014717832430306535,log_loss,3,50,25,0.5,127,"{0: 1, 1: 2}",5e-05,0.004094978852249284
117,0.11841134086021565,0.0010919223941374988,0.12073015965386602,0.0019010049915383575,gini,4,50,25,sqrt,15,,0.0001,0.002318818793650368
118,0.1179935286598082,0.005713977376544626,0.1286580366278133,0.0027613908360699766,gini,,500,100,log2,31,"{0: 1, 1: 4}",5e-05,0.01066450796800511
119,0.11783462665939301,0.005631305510819153,0.11899466317043397,0.004343230136940992,gini,12,50,10,0.5,15,"{0: 1, 1: 6}",0.001,0.0011600365110409627
120,0.1178345533572884,0.0041639789746855714,0.11877971774792073,0.001506315129606899,log_loss,3,50,10,sqrt,,balanced,1e-05,0.0009451643906323304
121,0.11755490067906016,0.0026847398222318783,0.1185529685120219,0.0008017543590478149,log_loss,3,200,100,0.5,127,"{0: 1, 1: 4}",0.001,0.0009980678329617465
122,0.1173745276857949,0.0010952976052543857,0.1197042762320814,0.0012149196620120696,log_loss,4,50,400,sqrt,127,"{0: 1, 1: 2}",0.001,0.0023297485462864947
123,0.11670461676303275,0.0056450186732545805,0.12411146176439411,0.0036114490324378177,entropy,6,200,200,log2,31,"{0: 1, 1: 2}",1e-05,0.007406845001361365
124,0.11507881375046909,0.004996241459836458,0.12154323472629373,0.0036079145353913886,gini,12,20,50,log2,15,"{0: 1, 1: 6}",5e-05,0.006464420975824642
125,0.11457278686084271,0.003172763481099319,0.11793696303220766,0.004004032004954984,log_loss,8,100,400,log2,15,"{0: 1, 1: 2}",0.0005,0.0033641761713649465
126,0.11390083308374281,0.004372071800349571,0.11565193600428503,0.004086348194005939,gini,3,100,200,sqrt,31,"{0: 1, 1: 2}",0.001,0.0017511029205422163
127,0.11330969897998353,0.001519332019580489,0.11392936280617316,0.0006983998481063995,gini,,200,100,0.5,127,,0.0005,0.000619663826189637
128,0.11310764937075998,0.006529827097466447,0.1187644877934583,0.003589616955115609,gini,6,500,10,log2,15,"{0: 1, 1: 4}",5e-05,0.005656838422698318
129,0.11306500886198592,0.00412497117725677,0.11500352085946049,0.002963809652926668,entropy,3,200,400,sqrt,,"{0: 1, 1: 6}",0.001,0.0019385119974745652
130,0.11303016799328644,0.005854259848804831,0.12049288566862819,0.0027215815077385086,entropy,5,500,100,log2,127,balanced,0.0,0.0074627176753417485
131,0.1127592938712531,0.0012669292144335113,0.11332943450952027,0.000963630181630434,gini,8,20,10,0.5,127,"{0: 1, 1: 2}",0.001,0.000570140638267172
131,0.1127592938712531,0.0012669292144335113,0.11332943450952027,0.000963630181630434,gini,8,100,50,0.5,15,"{0: 1, 1: 2}",0.001,0.000570140638267172
133,0.11267933125935425,0.0013166591501751672,0.11261051962547489,0.0003380038884153534,entropy,10,100,100,0.5,127,,0.001,-6.881163387936762e-05
133,0.11267933125935425,0.0013166591501751672,0.11261051962547489,0.0003380038884153534,entropy,3,50,50,0.5,63,,0.001,-6.881163387936762e-05
135,0.11260660476310144,0.003961169236829208,0.11562334219574348,0.004577194170412723,log_loss,5,100,200,log2,,"{0: 1, 1: 6}",0.001,0.0030167374326420388
136,0.11174244337506549,0.002138984508171193,0.11820459136937052,0.0036783073877560573,entropy,4,200,25,log2,127,"{0: 1, 1: 6}",5e-05,0.006462147994305029
137,0.11170441411188674,0.0016182240404831504,0.1165590808279969,0.004496246460516009,entropy,4,20,400,log2,63,"{0: 1, 1: 2}",5e-05,0.004854666716110165
138,0.11158474610548393,0.0022913164814334867,0.11813161768340807,0.003760030986003184,log_loss,4,100,50,log2,127,"{0: 1, 1: 2}",1e-05,0.006546871577924149
139,0.11124951072698333,0.0026029912408897836,0.11517888726362975,0.004616512708773845,entropy,,50,25,log2,,"{0: 1, 1: 6}",0.001,0.00392937653664642
140,0.11104415347097649,0.002170091643166242,0.11278333860139031,0.0025628640292944343,entropy,3,20,10,log2,,balanced,0.0,0.0017391851304138228
141,0.11087907972818414,0.005396597529248644,0.11549792734712042,0.0033329723324392853,entropy,5,500,100,log2,63,"{0: 1, 1: 4}",0.0005,0.004618847618936273
142,0.11078243551965831,0.002438365084869946,0.11305507819268834,0.001772158933691044,gini,3,20,100,log2,,"{0: 1, 1: 6}",0.0005,0.002272642673030026
143,0.10835017770590213,0.006283826769607678,0.11159525439837652,0.005662743239156362,log_loss,12,50,25,log2,63,,0.0005,0.003245076692474383
144,0.10814347928656425,0.002177690525343313,0.10810346699382496,0.0005458575049152977,gini,12,500,400,,31,,0.001,-4.0012292739283195e-05
144,0.10814347928656425,0.002177690525343313,0.10810346699382496,0.0005458575049152977,gini,4,500,25,0.5,31,,0.001,-4.0012292739283195e-05
144,0.10814347928656425,0.002177690525343313,0.10810346699382496,0.0005458575049152977,gini,6,50,400,,63,,0.001,-4.0012292739283195e-05
144,0.10814347928656425,0.002177690525343313,0.10810346699382496,0.0005458575049152977,gini,,200,100,0.5,63,,0.001,-4.0012292739283195e-05
148,0.10566123249629086,0.004189440845508863,0.10772193667054389,0.004174236433641737,gini,5,50,25,log2,15,,0.0001,0.002060704174253025
