feature,importance
categorical__discharge_group_Other,0.34354476374602133
numeric__number_inpatient,0.2490209089469671
numeric__num_lab_procedures,0.06592872103396302
numeric__time_in_hospital,0.05565983271612447
categorical__age_group_>60,0.04013771557855678
categorical__primary_diagnosis_Circulatory,0.0305650657029963
numeric__num_medications,0.02693565311334257
numeric__number_diagnoses,0.025325386159878317
categorical__diabetesMed_No,0.019173557712762322
numeric__num_procedures,0.017640155391269792
numeric__number_emergency,0.016005018856645906
categorical__medical_specialty_group_Missing,0.01508212780580203
categorical__gender_Male,0.011568146649414487
categorical__admission_source_group_Other,0.010940163360635606
categorical__diabetesMed_Yes,0.009582825597186616
categorical__primary_diagnosis_Respiratory,0.009140770076759683
categorical__primary_diagnosis_Injury,0.009067225803639624
categorical__medical_specialty_group_Cardiology,0.007649643072136853
categorical__admission_source_group_Emergency room,0.0062253549622890425
categorical__admission_source_group_Physician/clinic referral,0.006119869389106655
"categorical__hba1c_group_High, medication changed",0.006108811335956544
categorical__race_group_Caucasian,0.005403678295912825
categorical__gender_Female,0.004811042128702518
categorical__primary_diagnosis_Other,0.004098320852739889
categorical__medical_specialty_group_Other,0.0023527873830606894
categorical__race_group_AfricanAmerican,0.0019124543281290182
categorical__primary_diagnosis_Digestive,0.0
categorical__medical_specialty_group_Internal Medicine,0.0
categorical__race_group_Missing,0.0
numeric__number_outpatient,0.0
categorical__race_group_Other,0.0
categorical__age_group_30-60,0.0
categorical__age_group_<=30,0.0
categorical__discharge_group_Home,0.0
categorical__medical_specialty_group_Family/General Practice,0.0
categorical__max_glu_serum_>300,0.0
categorical__max_glu_serum_Norm,0.0
categorical__primary_diagnosis_Diabetes,0.0
categorical__max_glu_serum_>200,0.0
categorical__hba1c_group_Normal result of the test,0.0
categorical__hba1c_group_No test was performed,0.0
"categorical__hba1c_group_High, medication not changed",0.0
categorical__medical_specialty_group_Surgery,0.0
categorical__primary_diagnosis_Neoplasms,0.0
categorical__primary_diagnosis_Musculoskeletal,0.0
categorical__primary_diagnosis_Genitourinary,0.0
