original_feature,importance
discharge_group,0.34354476374602133
number_inpatient,0.2490209089469671
num_lab_procedures,0.06592872103396302
time_in_hospital,0.05565983271612447
primary_diagnosis,0.0528713824361355
age_group,0.04013771557855678
diabetesMed,0.028756383309948938
num_medications,0.02693565311334257
number_diagnoses,0.025325386159878317
medical_specialty_group,0.025084558260999573
admission_source_group,0.023285387712031303
num_procedures,0.017640155391269792
gender,0.016379188778117004
number_emergency,0.016005018856645906
race_group,0.007316132624041843
hba1c_group,0.006108811335956544
max_glu_serum,0.0
number_outpatient,0.0
