candidate,fold,residual_dropout,n_blocks,ffn_dropout,ffn_d_hidden_multiplier,d_block,attention_n_heads,attention_dropout,validation_auprc,validation_auroc,validation_brier_score,best_epoch
1,1,0.0,2,0.0,2.0,96,8,0.1,0.1532985815023839,0.6305299096240382,0.08022760347829401,5
1,2,0.0,2,0.0,2.0,96,8,0.1,0.15835353605621474,0.6253923150650069,0.08009354060488316,15
1,3,0.0,2,0.0,2.0,96,8,0.1,0.17268864420563856,0.6403238644607435,0.07941127021353442,3
1,4,0.0,2,0.0,2.0,96,8,0.1,0.13595718734003864,0.6120341329601651,0.08067420378469324,4
1,5,0.0,2,0.0,2.0,96,8,0.1,0.1461777264377865,0.6418801332666186,0.08017474907424298,4
2,1,0.0,2,0.0,1.3333333333333333,64,8,0.3,0.1544338780289906,0.6301765823915786,0.08015915373650342,2
2,2,0.0,2,0.0,1.3333333333333333,64,8,0.3,0.1559569042862546,0.6331974625418983,0.07995590498082532,9
2,3,0.0,2,0.0,1.3333333333333333,64,8,0.3,0.17351495098765682,0.6409933163292288,0.07944069280267209,9
2,4,0.0,2,0.0,1.3333333333333333,64,8,0.3,0.13419305510425683,0.6091712329603007,0.08071778079617094,8
2,5,0.0,2,0.0,1.3333333333333333,64,8,0.3,0.14921242693642695,0.640855276628577,0.08019244775628612,22
3,1,0.1,4,0.0,2.0,96,4,0.3,0.15329026579235974,0.6282319288688656,0.08036583053439354,3
3,2,0.1,4,0.0,2.0,96,4,0.3,0.15505650903551882,0.6321897353700865,0.08024023797242955,6
3,3,0.1,4,0.0,2.0,96,4,0.3,0.17233689522076578,0.6428839720720464,0.07942449842377505,4
3,4,0.1,4,0.0,2.0,96,4,0.3,0.1363288758173049,0.6096680674035112,0.08121322283995755,6
3,5,0.1,4,0.0,2.0,96,4,0.3,0.14585797838099002,0.6405985878728462,0.08027481168282383,8
4,1,0.1,3,0.0,2.0,64,4,0.2,0.15377790450099832,0.6313364704098596,0.08015127827618004,3
4,2,0.1,3,0.0,2.0,64,4,0.2,0.15701308919119705,0.6318534653143664,0.08002314995549319,8
4,3,0.1,3,0.0,2.0,64,4,0.2,0.17194340466920438,0.6404754640534043,0.07958087875882118,6
4,4,0.1,3,0.0,2.0,64,4,0.2,0.1352593368966037,0.6121740710456983,0.0808138237888651,16
4,5,0.1,3,0.0,2.0,64,4,0.2,0.1460647543788442,0.6349119759610234,0.0802816686042506,4
5,1,0.1,4,0.0,2.0,64,4,0.1,0.15225597246925585,0.6260227537322728,0.08064141482117743,2
5,2,0.1,4,0.0,2.0,64,4,0.1,0.15438810596050404,0.6331133950279684,0.07998454336328996,11
5,3,0.1,4,0.0,2.0,64,4,0.1,0.17258269611384286,0.6419456275450223,0.07972776207290148,8
5,4,0.1,4,0.0,2.0,64,4,0.1,0.1358845090546103,0.6134709391174409,0.08158413855732045,3
5,5,0.1,4,0.0,2.0,64,4,0.1,0.14747161421831934,0.6422055706748352,0.08051973836060551,13
6,1,0.1,4,0.1,1.3333333333333333,64,4,0.2,0.15300593077888378,0.6225189930309248,0.08012493851567838,3
