candidate,residual_dropout,n_blocks,ffn_dropout,ffn_d_hidden_multiplier,d_block,attention_n_heads,attention_dropout,mean_validation_auprc,std_validation_auprc,mean_validation_auroc,mean_validation_brier_score,median_best_epoch,mean_best_epoch,elapsed_seconds
10,0.1,2,0.2,1.3333333333333333,96,4,0.3,0.1537831165456906,0.011617853860901256,0.6320657257125339,0.08019124730375507,8,12.6,161.8121018409729
8,0.0,4,0.1,1.3333333333333333,64,4,0.2,0.15371566042799562,0.013091463564447417,0.6321958925937656,0.08006337739003497,7,6.8,127.34938597679138
2,0.0,2,0.0,1.3333333333333333,64,8,0.3,0.15346224306871714,0.012638362599139126,0.6308787741703167,0.08009319601449157,9,10.0,117.56248188018799
1,0.0,2,0.0,2.0,96,8,0.1,0.15329513510841247,0.012271573380248436,0.6300320710753144,0.08011627343112956,4,6.2,142.74667811393738
7,0.1,4,0.2,1.3333333333333333,64,4,0.3,0.15308669191549562,0.012125333880599333,0.6314335005968463,0.08012156755888371,11,10.6,175.89300298690796
6,0.1,4,0.1,1.3333333333333333,64,4,0.2,0.15303490780345727,0.012218481243692715,0.6301985158761056,0.08028768455175064,7,7.2,138.83327889442444
4,0.1,3,0.0,2.0,64,4,0.2,0.15281169792736954,0.012150835951090722,0.6301502893568703,0.08017015987672202,6,7.4,112.92223477363586
9,0.1,4,0.2,1.3333333333333333,96,8,0.2,0.15271531244809047,0.011984610101189721,0.6326438258906634,0.08013411618203262,5,5.0,219.61428380012512
3,0.1,4,0.0,2.0,96,4,0.3,0.15257410484938785,0.011884922560512809,0.6307144583174712,0.0803037202906759,6,5.4,190.0463411808014
5,0.1,4,0.0,2.0,64,4,0.1,0.1525165795633065,0.011902075493551106,0.6313516572195079,0.08049151943505897,8,7.4,145.22958993911743
