,value
architecture_search_candidates,10.0
architecture_search_cv_folds,5.0
architecture_cv_auprc,0.1537831165456906
training_search_candidates,12.0
selected_learning_rate,0.0005
selected_weight_decay,1e-06
selected_batch_size,1024.0
selected_pos_weight,2.0
selected_epochs,5.0
selected_validation_threshold,0.10686009377241135
validation_recall,0.8003182179793158
validation_precision,0.10974146394676557
validation_false_positive_rate,0.6405305705988541
test_auprc,0.15276893802401015
test_auroc,0.6372707781873203
test_brier_score,0.08517537941693067
test_accuracy,0.4033433347621089
test_recall,0.7995226730310262
test_precision,0.11037891268533773
test_specificity,0.3642571226748293
test_false_positive_rate,0.6357428773251708
test_f2,0.3555508384631713
test_predicted_positive_rate,0.6504500642948993
test_patients_flagged_per_true_readmission,9.059701492537313
