candidate,weight_decay,pos_weight,learning_rate,batch_size,best_epoch,early_stop_auprc,early_stop_auroc,early_stop_brier_score,elapsed_seconds
3,1e-06,2.0,0.0005,1024,5,0.16166984131018525,0.6444917275728488,0.08292216881933591,32.30651521682739
9,0.0001,4.0,0.001,512,12,0.16148091530252376,0.6425273188731387,0.10940644618589064,50.9505078792572
2,1e-06,10.135242641209228,0.0005,256,14,0.16127104890179778,0.6437545213407283,0.22299189328066782,64.12499570846558
6,1e-06,1.0,0.0003,256,11,0.1610782725557053,0.6471455485719936,0.07966607654033538,53.52041292190552
7,1e-06,6.0,0.0003,256,6,0.16086534084865706,0.6452032586614577,0.11766434422643582,41.149169921875
10,1e-05,10.135242641209228,0.001,512,5,0.16062392748263815,0.6430389134556835,0.24031397597185145,34.84928512573242
4,1e-06,2.0,0.0003,512,13,0.1601020050050876,0.6439972208391955,0.08235453292760989,53.39725708961487
12,1e-06,6.0,0.0005,1024,6,0.15999251942453188,0.6436522544684291,0.1616206591605978,34.56676197052002
1,1e-05,2.0,0.0003,256,16,0.1596464170135599,0.6428287415883546,0.08436283903333289,68.23381781578064
8,0.0001,4.0,0.0001,512,9,0.1595974953311619,0.6426497962469186,0.10232875587372771,43.895731925964355
11,1e-06,2.0,0.0005,512,3,0.15934955778670523,0.6418046850197682,0.08313348213361448,30.21981692314148
5,1e-05,6.0,0.0003,1024,7,0.15877707848377143,0.6440966252799545,0.14580202029859893,35.77476406097412
