feature,importance
num__num_lab_procedures,0.10042905611160399
num__num_medications,0.08010479509145171
num__time_in_hospital,0.04946574637663885
num__discharge_disposition_id,0.03847047861328993
num__number_diagnoses,0.034133364777755325
num__num_procedures,0.030993139545365315
num__number_inpatient,0.030914777317170263
num__admission_type_id,0.021140333810940264
num__admission_source_id,0.014462726362004578
num__number_outpatient,0.014148297978469811
cat__discharge_group_Other,0.014099515514631164
cat__discharge_group_Home,0.012300013006181547
num__number_emergency,0.009641796766226226
cat__primary_diagnosis_Circulatory,0.009215105877613752
cat__age_[70-80),0.00822859077496929
cat__diag_3_250,0.007797527920100643
cat__primary_diagnosis_Other,0.0077850069842775385
cat__primary_diagnosis_Respiratory,0.007742206691080224
cat__insulin_Steady,0.007579534197222279
cat__insulin_No,0.007507680404494451
cat__age_[60-70),0.007408568870088112
cat__age_[80-90),0.0071102763321795074
cat__medical_specialty_group_Other,0.00706454892968143
cat__gender_Female,0.0069850859841917145
cat__gender_Male,0.0069499679953669204
cat__hba1c_group_No test was performed,0.006338801188455052
cat__insulin_Down,0.006295029273495645
cat__metformin_No,0.006212265343029112
cat__diag_3_401,0.006157576762166952
cat__age_group_>60,0.006136258259613694
cat__medical_specialty_Missing,0.006088687604739933
cat__medical_specialty_group_Missing,0.005991365200936985
cat__insulin_Up,0.005883983670695839
cat__age_[50-60),0.005842622658543159
cat__admission_source_group_Other,0.005814111948476324
cat__primary_diagnosis_Digestive,0.005737469405198837
cat__metformin_Steady,0.005632809470659864
cat__diag_2_428,0.005597011591065808
cat__glipizide_No,0.005459641638923554
cat__diabetesMed_Yes,0.005434529420638321
cat__diabetesMed_No,0.005383797249994204
cat__glipizide_Steady,0.005381712436613577
cat__change_No,0.005190928855160918
cat__diag_2_427,0.005172965096997141
cat__diag_2_276,0.00515854373202792
cat__change_Ch,0.005116612556124127
cat__diag_1_428,0.00510398897154036
cat__admission_source_group_Emergency room,0.0050923339104312
cat__diag_3_276,0.005076361485926666
cat__medical_specialty_group_Internal Medicine,0.0050572345689118385
cat__medical_specialty_InternalMedicine,0.005016404303197107
cat__race_group_Caucasian,0.004971627689080663
cat__race_Caucasian,0.0049463900584198195
cat__glyburide_No,0.004911808288339707
cat__primary_diagnosis_Injury,0.004910231754948034
cat__primary_diagnosis_Diabetes,0.004819684439364855
cat__diag_2_250,0.004729219370845392
cat__primary_diagnosis_Musculoskeletal,0.004440320790651019
cat__primary_diagnosis_Genitourinary,0.004396650812916806
cat__age_group_30-60,0.004381083134042949
cat__primary_diagnosis_Neoplasms,0.004340614215886739
cat__race_group_AfricanAmerican,0.004310718656674132
cat__age_[40-50),0.004293650247982913
cat__glyburide_Steady,0.004281041421118483
cat__race_AfricanAmerican,0.00427590352776
cat__diag_3_428,0.004269650871608144
cat__diag_1_414,0.0041607399534017275
cat__medical_specialty_Emergency/Trauma,0.004016913983982459
cat__diag_1_427,0.0038081424884852545
cat__diag_3_414,0.0037466033239066795
cat__pioglitazone_No,0.003720235750617176
cat__diag_3_427,0.0037008589928473863
cat__diag_2_599,0.0036729186198197037
cat__A1Cresult_Norm,0.0035935443872129897
cat__admission_source_group_Physician/clinic referral,0.003591379335109952
cat__rosiglitazone_No,0.003574656120994148
cat__rosiglitazone_Steady,0.0034832462744276904
cat__diag_1_410,0.003445437974421318
cat__diag_1_434,0.0033452657152933224
"cat__hba1c_group_High, medication changed",0.0033419777473726103
