rank_test_auprc,mean_test_auprc,std_test_auprc,mean_train_auprc,std_train_auprc,mean_test_auroc,std_test_auroc,param_model__n_estimators,param_model__criterion,param_model__max_depth,param_model__min_samples_split,param_model__min_samples_leaf,param_model__max_features,param_model__max_samples,param_model__class_weight,train_validation_auprc_gap
1,0.1520746516245111,0.006280669032403402,0.2564614107530657,0.0032514561463649954,0.6362898400217812,0.007688272929435346,500,gini,8,2,5,log2,,,0.10438675912855463
2,0.15144801817247708,0.004635359617110574,0.2127709830601492,0.001070347071059375,0.6376702735655366,0.00570528624839718,500,log_loss,16,200,50,sqrt,,,0.06132296488767211
3,0.15100550563926302,0.005499158429142588,0.17911184049598722,0.0012783423749138365,0.6324713957018424,0.006343857698932776,300,gini,6,200,50,,,balanced_subsample,0.028106334856724202
4,0.15079654630495906,0.005348155018379194,0.5077668728885836,0.00563434946085439,0.63564399135408,0.005326440607680621,700,entropy,,25,5,log2,0.5,balanced,0.3569703265836245
5,0.15063937572343428,0.005272069063104427,0.23002708304598457,0.0026653752765404986,0.6327888024439059,0.00574766006263217,700,log_loss,16,200,25,0.5,,balanced,0.0793877073225503
6,0.15046074488482827,0.005119685137235806,0.25143976706681936,0.0027979101047219666,0.6336888855665095,0.005342015733919335,500,entropy,,2,50,0.5,0.75,,0.10097902218199109
7,0.15020394449585675,0.004625955838405306,0.226193857586067,0.0028264367735344725,0.6331566704535907,0.005711197364317154,700,gini,8,2,25,0.5,0.75,"{0: 1, 1: 4}",0.07598991309021025
8,0.15014612090202722,0.00514019524533488,0.23561308356646204,0.0030097148633493097,0.6325852048052912,0.0052707066337588605,200,gini,16,50,50,0.5,0.5,"{0: 1, 1: 6}",0.08546696266443482
9,0.15003139636796245,0.0051291150531454464,0.25909209652295156,0.0036526918995065725,0.6326616150797182,0.005321643165476173,500,entropy,,50,50,0.75,0.75,,0.10906070015498912
10,0.15001495176243865,0.004175513043046226,0.18993673935820035,0.0018984261961353661,0.6358496986790679,0.005902753692281276,700,entropy,12,50,100,0.3,0.75,,0.039921787595761704
11,0.14963368521915438,0.005816161140308244,0.20237378983807902,0.001233232315070753,0.6328126568855609,0.006857619021472884,700,gini,6,25,10,,0.75,,0.052740104618924644
12,0.14940462377995997,0.005607795805086483,0.19345870791735326,0.0019815787447074436,0.6327461289738103,0.004783784556602166,300,gini,10,25,100,0.75,,"{0: 1, 1: 2}",0.044054084137393285
13,0.14926491590884655,0.004588706303348035,0.3027352184276057,0.001548236305080794,0.6319416580335514,0.00625675869639785,700,gini,16,2,25,,0.5,balanced_subsample,0.15347030251875915
14,0.14920420779205287,0.005882232137333194,0.2330921178976595,0.0019630837454609022,0.6334534368411839,0.006296275076292645,200,log_loss,8,50,10,0.3,,balanced,0.08388791010560662
15,0.1491268466574481,0.005790119696898651,0.17928983255330475,0.001033713587121258,0.6305508753225566,0.006493132396235035,200,log_loss,6,200,25,,,"{0: 1, 1: 2}",0.030162985895856642
16,0.14910212638153464,0.006419623666877729,0.19406159868892722,0.0018960419922921933,0.6291975172018159,0.0060030529326807885,300,gini,6,50,5,0.75,0.75,balanced,0.044959472307392584
17,0.14887409295757972,0.004119198680216427,0.3263844875617541,0.00315675921354175,0.6326706031070831,0.005247347223911824,200,gini,10,10,10,0.3,,"{0: 1, 1: 8}",0.17751039460417437
18,0.14884710581222457,0.004411372078434082,0.2202764948862081,0.0017389680930635094,0.6299415903235646,0.005979326335441965,300,log_loss,8,50,25,,0.5,"{0: 1, 1: 8}",0.07142938907398352
19,0.14883549312643826,0.00376260271819629,0.2751475179411022,0.0019992093377379813,0.6343541737383662,0.0045213531014669794,300,gini,12,25,25,0.3,0.75,balanced_subsample,0.12631202481466394
20,0.14871089301048632,0.0039053166356789906,0.20173065955003602,0.002067564569723085,0.6319381849781873,0.004712205365996829,200,gini,20,2,100,0.5,0.75,"{0: 1, 1: 4}",0.053019766539549706
21,0.14864052021972465,0.004114509735926495,0.20296472295303958,0.0023460006948050967,0.635033477583366,0.006726295676424578,700,gini,8,100,10,log2,,balanced,0.054324202733314925
22,0.14851051966927215,0.003910564737938673,0.1767381720915117,0.001797675038528425,0.632147464289945,0.00515450503828553,500,gini,8,2,100,0.75,0.5,"{0: 1, 1: 4}",0.02822765242223957
23,0.14842835851513667,0.005442624225022594,0.20031916875117287,0.0027721284599512646,0.6296801762752203,0.005923437371546078,500,log_loss,8,10,50,,,"{0: 1, 1: 6}",0.0518908102360362
24,0.14803598621581823,0.004931508600068839,0.3802729162811885,0.005647708776065806,0.6291587450302307,0.006028017718013232,200,gini,20,10,25,0.75,0.75,"{0: 1, 1: 2}",0.23223693006537025
25,0.1480116338874226,0.0033461727988541514,0.16931943252291717,0.0011066850135833595,0.6326142222483526,0.004546081649962815,700,log_loss,8,2,200,,0.75,balanced_subsample,0.021307798635494563
26,0.14785500699238047,0.00572684478661722,0.2985528942782887,0.0030164427670842796,0.6277790034088201,0.007335004080754665,300,entropy,12,100,1,0.5,0.75,"{0: 1, 1: 6}",0.15069788728590822
27,0.14781463755244473,0.002752949980066099,0.17475999641681464,0.0008157448729898446,0.6333111478564489,0.004942768700231654,500,entropy,10,25,200,0.75,,balanced_subsample,0.02694535886436991
28,0.147810729635478,0.0049952077211390415,0.1680432095773583,0.0019471608207228838,0.6299247858648684,0.004647147609289977,500,entropy,6,100,100,,0.75,balanced,0.020232479941880294
29,0.14766164607949497,0.004636254249547412,0.1708697666763009,0.0017566444436225444,0.6288504564775492,0.005051282244022234,700,entropy,6,10,100,,,"{0: 1, 1: 4}",0.023208120596805937
30,0.1476515641429308,0.005210568262887809,0.29226614535354434,0.0022149182838578046,0.62896752732991,0.0070985470249103335,500,entropy,10,50,5,0.5,,"{0: 1, 1: 6}",0.14461458121061355
31,0.14763910754694376,0.0027025047898522974,0.16217135759295923,0.0006195197236369322,0.6317152856729483,0.005463464024436425,200,entropy,6,2,200,0.75,,"{0: 1, 1: 2}",0.014532250046015466
32,0.14762597880147546,0.005638031273868818,0.19110504732852557,0.0021546149364884406,0.6294229444859826,0.005289729290077822,200,gini,12,100,100,,0.5,"{0: 1, 1: 8}",0.04347906852705011
33,0.14747762257523817,0.005142592174821306,0.17053769448445877,0.0016851644277936422,0.6290051716604896,0.005562701807232723,200,gini,6,100,100,,0.75,"{0: 1, 1: 4}",0.023060071909220603
34,0.14727683568611383,0.0037918806744777264,0.17145417381482211,0.00123032614824585,0.6331032762662054,0.0059999417725099,700,gini,16,200,200,0.3,0.75,"{0: 1, 1: 4}",0.024177338128708287
35,0.14724659234126458,0.0049625889993070256,0.16560851179375202,0.00102951636332984,0.6322883524473405,0.007121732404230832,200,gini,6,200,100,0.3,0.75,balanced,0.01836191945248744
36,0.14713216349496044,0.004294228192852695,0.1831752212472489,0.0013337045182140194,0.6343258451152709,0.007331900616592335,300,gini,12,200,100,sqrt,,"{0: 1, 1: 6}",0.03604305775228844
37,0.14711048373248742,0.004542682638240113,0.5928883112116321,0.011334510214945212,0.6264832827939777,0.006645085187792,300,log_loss,,50,5,0.5,0.75,"{0: 1, 1: 2}",0.4457778274791447
38,0.14702180382231636,0.0039936697971331815,0.1664960084522737,0.0011547956958520677,0.6330736105639051,0.005995245863396224,700,gini,8,50,200,0.3,0.75,"{0: 1, 1: 6}",0.01947420462995733
39,0.14694230289491478,0.004246045669602346,0.16423875187293804,0.0013332133708888058,0.6335164400831834,0.007367629021437066,700,gini,8,25,200,sqrt,,"{0: 1, 1: 2}",0.017296448978023266
40,0.14690226450415125,0.00494908666563477,0.5033841021314108,0.010003148048555219,0.6266491917954505,0.006213805024669714,300,entropy,,50,10,0.5,0.5,"{0: 1, 1: 8}",0.3564818376272596
41,0.14655802077403152,0.004168718386361589,0.1612159207032408,0.001223257650320155,0.6320363158553046,0.006786212342318458,500,gini,6,200,200,0.3,,"{0: 1, 1: 6}",0.014657899929209295
42,0.14652491984531674,0.004276582746588153,0.16090757584617127,0.0010266233419039248,0.6325891840998971,0.006663583614081853,700,entropy,6,10,200,0.3,0.75,balanced_subsample,0.014382656000854532
43,0.14646696959035627,0.005336023811592791,0.2512908102979079,0.002712516516013789,0.6293465332004099,0.005708063545658075,200,gini,8,10,10,0.5,,balanced_subsample,0.10482384070755163
44,0.14642621479228787,0.0038547166191385163,0.15767534344920955,0.0011088230606113602,0.6321715350707995,0.00767713847112336,700,gini,6,10,200,log2,0.75,"{0: 1, 1: 2}",0.01124912865692168
45,0.14593169942677234,0.0029225688556521845,0.1682769898667016,0.0009622699840281116,0.6295513218306696,0.004598965259354423,500,gini,,10,200,,,balanced,0.02234529043992925
46,0.14564870295487847,0.003998721462166294,0.9052012814440349,0.004869459093074779,0.6284430680255472,0.0027542228379617965,200,log_loss,,2,5,sqrt,,"{0: 1, 1: 6}",0.7595525784891564
47,0.14558606873122965,0.004693529549311711,0.8370609499271723,0.0056314874952107,0.6232280582528708,0.004581176075532828,500,gini,,25,5,0.3,,"{0: 1, 1: 4}",0.6914748811959426
48,0.145490424226366,0.003030652190581939,0.16970342270157657,0.0006255576611627897,0.6299091848303119,0.004875601252742615,300,gini,10,100,200,,0.75,"{0: 1, 1: 4}",0.02421299847521058
49,0.14546683638671323,0.003548162697496849,0.16284425054968665,0.0015617865500426591,0.6317970147341473,0.007319923247718573,500,gini,6,25,100,sqrt,,"{0: 1, 1: 8}",0.01737741416297342
50,0.1452069546375882,0.0050056296728251196,0.3136117363184516,0.005576392242480631,0.6251175479062636,0.0077869912466427,300,gini,12,50,25,,0.75,"{0: 1, 1: 6}",0.16840478168086337
51,0.14498317292386384,0.004341920922618371,0.1672385070895713,0.0011875042637032923,0.632979173217856,0.007236064044569231,300,gini,8,25,100,log2,0.5,"{0: 1, 1: 8}",0.022255334165707463
