,value
cross_validation_auprc,0.1520746516245111
selected_validation_threshold,0.07043807295588024
validation_recall,0.8003182179793158
validation_precision,0.10905149051490515
validation_false_positive_rate,0.6450828035476023
test_auprc,0.15259070300684824
test_auroc,0.6445177861834178
test_recall,0.8114558472553699
test_precision,0.11132940406024885
test_false_positive_rate,0.6390393218742642
test_f2,0.3594080338266385
test_predicted_positive_rate,0.6545220745820831
test_patients_flagged_per_true_readmission,8.98235294117647
number_of_trees,500.0
mean_tree_depth,8.0
mean_leaf_count,138.124
