feature,importance
numeric__number_inpatient,0.16793634146696437
categorical__discharge_group_Home,0.10441228751736127
categorical__discharge_group_Other,0.09051328425868446
numeric__num_lab_procedures,0.07505919911289262
numeric__num_medications,0.06962477088027956
numeric__time_in_hospital,0.06628580774767337
numeric__number_diagnoses,0.04102805071917216
numeric__number_emergency,0.03267222256677799
numeric__num_procedures,0.030499974052776404
categorical__age_group_>60,0.02331961390736385
categorical__age_group_30-60,0.020060493165311596
numeric__number_outpatient,0.01972157868164363
categorical__admission_source_group_Emergency room,0.01294737294393558
categorical__diabetesMed_No,0.012667944670968873
categorical__diabetesMed_Yes,0.012507557921311243
categorical__primary_diagnosis_Circulatory,0.012294234710192425
categorical__primary_diagnosis_Diabetes,0.01141980366952226
categorical__gender_Female,0.011060124227119435
categorical__gender_Male,0.010147319300268949
categorical__race_group_Caucasian,0.010097974982755864
categorical__medical_specialty_group_Internal Medicine,0.009810394804001667
categorical__medical_specialty_group_Missing,0.009763843466162905
categorical__admission_source_group_Physician/clinic referral,0.009421845233484232
categorical__hba1c_group_No test was performed,0.008959942501721687
categorical__primary_diagnosis_Injury,0.008932836955500144
categorical__primary_diagnosis_Respiratory,0.00886175911752308
categorical__admission_source_group_Other,0.008567293177957624
categorical__race_group_AfricanAmerican,0.0084829581580761
categorical__primary_diagnosis_Other,0.007836088392583901
categorical__medical_specialty_group_Family/General Practice,0.00736125814968152
categorical__medical_specialty_group_Other,0.007048457543226129
categorical__medical_specialty_group_Cardiology,0.006297247564451167
categorical__primary_diagnosis_Neoplasms,0.006012343557170498
categorical__race_group_Other,0.005979433389592119
categorical__hba1c_group_Normal result of the test,0.005868853194271627
categorical__primary_diagnosis_Digestive,0.005547250065928726
categorical__medical_specialty_group_Surgery,0.004972404314662663
"categorical__hba1c_group_High, medication not changed",0.004631260312386127
categorical__primary_diagnosis_Genitourinary,0.004548693812134234
"categorical__hba1c_group_High, medication changed",0.004530718754780569
categorical__age_group_<=30,0.0042819601595548915
categorical__max_glu_serum_Norm,0.0042250392158921
categorical__race_group_Missing,0.004044225659656625
categorical__primary_diagnosis_Musculoskeletal,0.003767358896135181
categorical__max_glu_serum_>200,0.0035343972823321293
categorical__max_glu_serum_>300,0.002436179818156404
