original_feature,importance
discharge_group,0.19492557177604575
number_inpatient,0.16793634146696437
num_lab_procedures,0.07505919911289262
num_medications,0.06962477088027956
primary_diagnosis,0.06922036917669044
time_in_hospital,0.06628580774767337
age_group,0.047662067232230335
medical_specialty_group,0.04525360584218605
number_diagnoses,0.04102805071917216
number_emergency,0.03267222256677799
admission_source_group,0.030936511355377436
num_procedures,0.030499974052776404
race_group,0.028604592190080706
diabetesMed,0.025175502592280116
hba1c_group,0.02399077476316001
gender,0.021207443527388382
number_outpatient,0.01972157868164363
max_glu_serum,0.010195616316380633
