feature,importance
cat__discharge_group_Home,0.042332996
cat__discharge_group_Other,0.020137
num__number_inpatient,0.014257896
cat__age_group_>60,0.010876851
cat__primary_diagnosis_Musculoskeletal,0.009308167
cat__diag_1_434,0.007217345
cat__diag_2_411,0.0066829673
num__discharge_disposition_id,0.006433726
cat__primary_diagnosis_Circulatory,0.0063776
cat__diag_1_V58,0.0062973425
cat__diabetesMed_No,0.0060733682
cat__diag_1_428,0.005360581
cat__diag_3_518,0.0052594244
num__time_in_hospital,0.005114777
cat__diag_1_786,0.0048527196
num__number_emergency,0.004789153
cat__diabetesMed_Yes,0.004774258
cat__insulin_No,0.0046578445
num__number_diagnoses,0.0046058632
cat__diag_3_250,0.0045527043
cat__medical_specialty_Orthopedics-Reconstructive,0.004301356
cat__diag_3_401,0.004280432
cat__diag_2_518,0.004245049
cat__diag_2_403,0.004174539
cat__medical_specialty_Oncology,0.004170367
cat__primary_diagnosis_Respiratory,0.004150496
cat__diag_3_413,0.004135951
cat__primary_diagnosis_Neoplasms,0.0040743845
cat__diag_2_440,0.004048045
cat__diag_3_250.6,0.004039463
cat__diag_2_250,0.0040091355
cat__medical_specialty_group_Cardiology,0.0040083085
cat__diag_1_722,0.003967354
cat__diag_1_250.6,0.0039549205
cat__medical_specialty_ObstetricsandGynecology,0.003951289
cat__medical_specialty_Cardiology,0.003946194
cat__diag_2_401,0.003942896
cat__diag_3_492,0.003922298
cat__insulin_Down,0.0038609225
cat__diag_1_250.12,0.0037997502
cat__diag_1_618,0.003760553
cat__diag_2_571,0.0037542165
cat__glyburide-metformin_No,0.0037501275
cat__diag_1_435,0.00370058
cat__acarbose_Steady,0.0036841664
cat__diag_3_287,0.003683351
cat__diag_1_250.2,0.003682675
cat__diag_2_198,0.0036666656
cat__diag_1_427,0.0036630323
cat__diag_1_682,0.0036517384
cat__age_[40-50),0.003637035
cat__diag_1_386,0.0036322423
cat__diag_2_578,0.0036245065
cat__diag_1_403,0.0035609836
cat__admission_source_group_Other,0.0035489528
cat__race_group_Other,0.0035349089
cat__diag_2_730,0.0035330544
cat__diag_3_426,0.0035268175
cat__diag_2_648,0.003525113
cat__diag_3_724,0.0035238345
cat__diag_2_272,0.0035093622
cat__diag_1_443,0.003507503
cat__diag_1_715,0.0034845418
cat__diag_3_443,0.0034812968
"cat__hba1c_group_High, medication changed",0.003480591
cat__diag_1_784,0.0034684413
cat__diag_3_V10,0.0034380085
cat__diag_1_558,0.0034339963
cat__repaglinide_No,0.0034259018
cat__diag_1_431,0.003424258
cat__diag_2_305,0.0034109903
cat__medical_specialty_group_Internal Medicine,0.003410546
cat__diag_1_493,0.0034047856
cat__race_Other,0.003393004
cat__diag_3_536,0.0033828735
cat__diag_1_440,0.0033703553
cat__medical_specialty_Psychiatry,0.0033654633
cat__diag_2_250.6,0.0033602384
cat__medical_specialty_Hematology/Oncology,0.0033480658
cat__medical_specialty_Surgery-Cardiovascular/Thoracic,0.0033395286
cat__diag_1_197,0.0033112592
cat__age_group_30-60,0.0033073926
cat__diag_1_530,0.0033073132
cat__diag_2_707,0.003305183
cat__diag_3_403,0.0032818925
cat__diag_3_402,0.0032616346
cat__diag_1_250,0.0032372484
cat__medical_specialty_Surgery-Cardiovascular,0.003229772
cat__age_group_<=30,0.00322475
cat__diag_2_V10,0.0032233894
cat__diag_3_290,0.0032080552
cat__diag_1_642,0.0032039105
cat__diag_2_396,0.0032003412
cat__diag_1_V57,0.0031993047
cat__diag_3_581,0.0031965608
cat__primary_diagnosis_Diabetes,0.0031944418
cat__race_Missing,0.0031939312
cat__diag_2_482,0.0031833483
num__num_lab_procedures,0.0031722244
cat__diag_1_507,0.003167317
cat__diag_2_493,0.0031653915
cat__diag_2_287,0.0031405594
cat__diag_3_288,0.0031294269
cat__diag_1_572,0.00312676
num__admission_type_id,0.0031058372
cat__medical_specialty_Surgery-Neuro,0.0031019752
cat__diag_1_511,0.003095705
cat__pioglitazone_Steady,0.0030930846
cat__diag_1_415,0.0030924238
cat__diag_1_997,0.0030871364
cat__diag_2_250.01,0.0030833194
cat__metformin_Down,0.0030794723
cat__diag_1_345,0.003006778
cat__medical_specialty_Pediatrics-Endocrinology,0.0030059277
cat__diag_3_250.41,0.0030030245
cat__diag_1_648,0.0029969178
cat__diag_1_414,0.0029938715
cat__diag_3_466,0.002993277
cat__diag_1_426,0.0029928016
cat__diag_1_730,0.002990141
cat__diag_3_996,0.0029779146
cat__diag_2_70,0.0029764064
cat__diag_1_250.02,0.0029550977
cat__diag_1_540,0.0029523259
cat__race_Caucasian,0.002947074
cat__diag_2_427,0.0029469652
cat__diag_1_569,0.0029463135
cat__metformin_Up,0.002930372
cat__diag_2_342,0.0029289806
cat__diag_1_250.7,0.0029276488
cat__diag_2_250.8,0.002921547
cat__diag_2_413,0.0029113914
cat__diag_3_293,0.0029110792
cat__medical_specialty_Emergency/Trauma,0.0029073718
cat__diag_2_728,0.0029055085
cat__diag_3_244,0.0029035166
cat__diag_3_272,0.002898719
cat__medical_specialty_Otolaryngology,0.002890437
cat__diag_1_567,0.0028889505
cat__race_AfricanAmerican,0.002888575
cat__diag_3_424,0.0028828934
cat__diag_3_780,0.0028824522
cat__diag_1_721,0.002866743
cat__diag_3_250.01,0.0028553389
cat__diag_3_425,0.0028530704
cat__age_[50-60),0.0028508373
cat__medical_specialty_Nephrology,0.002827426
cat__diag_1_211,0.0028268879
cat__diag_2_710,0.002814083
cat__age_[0-10),0.0028127963
cat__diag_2_507,0.0028119702
cat__diag_1_584,0.002807789
cat__diag_1_820,0.0028058754
cat__diag_2_304,0.0028032272
cat__max_glu_serum_Norm,0.0027989536
cat__diag_2_599,0.002796795
cat__diag_2_781,0.0027938152
cat__diag_3_357,0.0027923842
cat__diag_3_437,0.0027810617
cat__diag_2_V43,0.0027723522
cat__medical_specialty_Endocrinology,0.0027669186
cat__diag_3_491,0.0027632967
cat__diag_3_286,0.002759879
cat__diag_2_786,0.0027594045
cat__diag_3_493,0.0027486056
cat__diag_2_437,0.0027311058
cat__diag_1_218,0.0027253458
num__admission_source_id,0.0027152647
cat__diag_3_41,0.002713887
cat__diag_1_466,0.002707421
cat__diag_1_813,0.0026964238
cat__diag_3_38,0.0026962557
cat__diag_3_521,0.0026920915
cat__hba1c_group_No test was performed,0.002682422
cat__diag_2_584,0.0026775477
num__num_medications,0.002670879
cat__diag_1_457,0.0026693123
cat__nateglinide_No,0.0026673856
cat__diag_1_250.03,0.0026628776
cat__diag_1_455,0.0026627285
cat__diag_1_198,0.0026574465
cat__diag_1_707,0.002656223
cat__diag_1_729,0.0026507387
cat__diag_3_V43,0.0026407412
cat__diag_2_292,0.002639809
cat__diag_1_410,0.0026293728
cat__diag_2_414,0.0026273788
cat__diag_1_154,0.0026243275
cat__diag_3_E888,0.0026185222
cat__medical_specialty_group_Surgery,0.0025968421
cat__diag_3_715,0.0025960223
cat__diag_3_255,0.0025921015
cat__diag_2_250.03,0.0025778064
cat__diag_2_331,0.0025757493
cat__chlorpropamide_No,0.0025614654
cat__admission_source_group_Emergency room,0.0025597082
cat__race_group_AfricanAmerican,0.0025581985
cat__diag_1_162,0.0025519137
cat__diag_2_250.81,0.0025507861
cat__race_group_Caucasian,0.0025491072
cat__diag_1_756,0.0025466932
cat__medical_specialty_InternalMedicine,0.0025431586
cat__medical_specialty_Surgery-Vascular,0.0025424552
cat__diag_3_414,0.002534853
cat__diag_1_358,0.0025347667
cat__primary_diagnosis_Genitourinary,0.0025273568
cat__diag_2_397,0.00251655
cat__diag_2_250.1,0.0025133581
cat__diag_2_150,0.002512873
cat__diag_1_295,0.0025030365
cat__age_[30-40),0.0024972295
num__number_outpatient,0.0024753236
cat__diag_1_478,0.002474938
cat__diag_3_V64,0.0024745322
cat__diag_1_486,0.002466342
cat__medical_specialty_group_Family/General Practice,0.0024614155
cat__metformin_Steady,0.002459763
cat__diag_3_496,0.002459097
cat__diag_2_280,0.0024481944
cat__medical_specialty_Family/GeneralPractice,0.0024373124
cat__diag_1_644,0.002430449
cat__age_[80-90),0.0024264732
cat__diag_1_566,0.0024165171
cat__diag_1_276,0.0024162526
cat__diag_2_465,0.0023892925
cat__diag_1_348,0.0023829502
cat__diag_2_428,0.0023752686
cat__diag_2_285,0.0023738283
cat__diag_1_852,0.0023728271
cat__diag_3_250.02,0.0023654185
cat__diag_1_157,0.0023644883
cat__diag_1_191,0.0023568424
cat__diag_3_250.42,0.002353497
cat__diag_1_346,0.002345333
cat__race_Hispanic,0.0023447436
cat__diag_1_562,0.002344331
cat__race_Asian,0.002340238
"cat__hba1c_group_High, medication not changed",0.0023277611
cat__glimepiride_No,0.002323869
cat__diag_3_728,0.0023231283
cat__diag_1_203,0.002291573
cat__diag_2_780,0.0022885154
cat__diag_3_305,0.0022539382
cat__age_[70-80),0.0022500202
cat__nateglinide_Steady,0.002231021
cat__diag_3_995,0.0022266677
cat__diag_2_412,0.002217369
cat__glyburide_Down,0.0022158467
cat__diag_2_553,0.002214365
cat__diag_3_250.4,0.0022019593
cat__diag_3_427,0.0021969744
cat__diag_1_V55,0.0021939036
cat__primary_diagnosis_Injury,0.0021909913
cat__diag_1_600,0.0021780021
cat__diag_2_560,0.0021771966
cat__diag_2_404,0.0021634295
cat__diag_2_785,0.0021462454
cat__A1Cresult_>8,0.0021347892
cat__diag_2_486,0.0021205
cat__diag_3_428,0.0021100724
cat__diag_1_402,0.002089015
cat__diag_2_996,0.0020749595
cat__diag_2_536,0.0020709937
cat__diag_1_599,0.002066856
cat__diag_3_707,0.0020652753
cat__diag_1_850,0.0020389475
cat__insulin_Steady,0.0020047463
cat__metformin_No,0.0019975798
cat__diag_2_38,0.001995865
cat__age_[20-30),0.0019874494
cat__diag_2_263,0.001986166
cat__glipizide_Steady,0.0019854133
num__num_procedures,0.0019744046
cat__diag_2_530,0.0019737883
cat__diag_2_250.82,0.0019623707
cat__medical_specialty_Pulmonology,0.0018923032
cat__diag_2_682,0.001875703
cat__diag_2_511,0.0018430424
cat__diag_1_53,0.001828927
cat__gender_Female,0.0018267819
cat__diag_3_682,0.0018218505
cat__diag_1_250.83,0.0018074615
cat__diag_1_250.93,0.0018054678
cat__diag_2_286,0.0017872918
cat__diag_3_660,0.0017727639
cat__diag_2_736,0.0017560046
cat__diag_1_424,0.0017359109
cat__diag_1_996,0.0017318658
cat__glipizide_Down,0.0017296174
cat__diag_3_571,0.0017282229
cat__diag_3_535,0.0017127559
cat__medical_specialty_group_Other,0.0017043644
cat__rosiglitazone_No,0.001698428
cat__medical_specialty_Missing,0.0016734417
cat__diag_1_250.8,0.0016663413
cat__diag_1_285,0.001630006
cat__diag_3_784,0.0016225084
cat__diag_3_276,0.0015986752
cat__diag_2_276,0.0015889042
cat__primary_diagnosis_Other,0.0015655091
cat__diag_3_296,0.0015606799
cat__diag_1_278,0.0015587825
cat__age_[10-20),0.0015398976
cat__admission_source_group_Physician/clinic referral,0.0015349599
cat__diag_1_824,0.0015260952
cat__glipizide_No,0.0015144575
cat__A1Cresult_Norm,0.0014932042
cat__age_[90-100),0.001457007
cat__diag_3_783,0.0014467952
cat__glyburide_No,0.0014137042
cat__diag_3_599,0.0013807866
cat__diag_3_297,0.0013582559
cat__glyburide_Steady,0.0013512797
cat__pioglitazone_No,0.0013496608
cat__medical_specialty_Urology,0.0013483107
cat__diag_2_V42,0.0013481894
cat__medical_specialty_Ophthalmology,0.0013029529
cat__diag_2_295,0.0012599619
cat__diag_1_185,0.0012059568
cat__rosiglitazone_Steady,0.0011723693
cat__gender_Male,0.0011712728
cat__A1Cresult_>7,0.0011008804
cat__medical_specialty_Surgery-General,0.0011000973
cat__diag_1_250.82,0.0010696149
cat__diag_3_530,0.0010064755
cat__age_[60-70),0.00089013745
cat__medical_specialty_group_Missing,0.000820682
cat__insulin_Up,0.0006740589
cat__diag_3_280,0.0
cat__diag_3_250.2,0.0
cat__diag_3_250.1,0.0
cat__diag_3_285,0.0
cat__diag_3_246,0.0
cat__diag_3_250.22,0.0
cat__diag_3_275,0.0
cat__diag_3_250.11,0.0
cat__medical_specialty_Psychology,0.0
cat__diag_3_284,0.0
cat__diag_3_283,0.0
cat__diag_3_250.12,0.0
cat__diag_3_281,0.0
cat__diag_3_282,0.0
cat__diag_3_250.21,0.0
cat__diag_3_278,0.0
cat__diag_3_228,0.0
cat__diag_3_279,0.0
cat__diag_3_250.13,0.0
cat__diag_3_277,0.0
cat__diag_3_243,0.0
cat__diag_3_274,0.0
cat__diag_3_250.51,0.0
cat__diag_3_253,0.0
cat__diag_3_252,0.0
cat__diag_3_251,0.0
cat__diag_3_250.93,0.0
cat__diag_3_250.92,0.0
cat__diag_3_250.91,0.0
cat__diag_3_250.9,0.0
cat__diag_3_235,0.0
cat__diag_3_250.53,0.0
cat__diag_3_238,0.0
cat__diag_3_239,0.0
cat__diag_3_250.83,0.0
cat__diag_3_250.82,0.0
cat__diag_3_250.81,0.0
cat__diag_3_240,0.0
cat__diag_3_241,0.0
cat__medical_specialty_Psychiatry-Addictive,0.0
cat__diag_3_250.8,0.0
cat__diag_3_250.7,0.0
cat__diag_3_250.52,0.0
cat__diag_3_256,0.0
cat__diag_3_273,0.0
cat__diag_3_259,0.0
cat__diag_3_245,0.0
cat__medical_specialty_Proctology,0.0
cat__diag_3_271,0.0
cat__diag_3_242,0.0
cat__diag_3_270,0.0
cat__diag_3_27,0.0
cat__diag_3_268,0.0
cat__diag_3_250.23,0.0
cat__diag_3_266,0.0
cat__diag_3_265,0.0
cat__diag_3_263,0.0
cat__diag_3_262,0.0
cat__diag_3_250.3,0.0
cat__diag_3_261,0.0
cat__medical_specialty_Psychiatry-Child/Adolescent,0.0
cat__diag_3_233,0.0
cat__diag_3_250.43,0.0
cat__diag_3_250.03,0.0
cat__diag_3_250.5,0.0
cat__diag_3_260,0.0
cat__diag_1_196,0.0
cat__medical_specialty_Podiatry,0.0
cat__diag_3_380,0.0
cat__diag_3_395,0.0
cat__diag_3_394,0.0
cat__diag_3_391,0.0
cat__diag_3_389,0.0
cat__diag_3_388,0.0
cat__diag_3_387,0.0
cat__diag_3_386,0.0
cat__diag_3_385,0.0
cat__diag_3_384,0.0
cat__diag_3_383,0.0
cat__diag_3_382,0.0
cat__diag_3_381,0.0
cat__diag_3_379,0.0
cat__diag_3_397,0.0
cat__diag_3_378,0.0
cat__diag_3_377,0.0
cat__diag_3_376,0.0
cat__diag_3_374,0.0
cat__diag_3_373,0.0
cat__diag_3_372,0.0
cat__diag_3_370,0.0
cat__diag_3_369,0.0
cat__diag_3_368,0.0
cat__diag_3_366,0.0
cat__diag_3_365.44,0.0
cat__diag_3_365,0.0
cat__diag_3_396,0.0
cat__diag_3_398,0.0
cat__diag_3_361,0.0
cat__diag_3_421,0.0
cat__diag_3_441,0.0
cat__diag_3_440,0.0
cat__diag_3_438,0.0
cat__diag_3_436,0.0
cat__diag_3_435,0.0
cat__diag_3_434,0.0
cat__diag_3_433,0.0
cat__diag_3_432,0.0
cat__diag_3_431,0.0
cat__diag_3_429,0.0
cat__medical_specialty_Pediatrics-CriticalCare,0.0
cat__diag_3_423,0.0
cat__diag_3_420,0.0
cat__medical_specialty_Pediatrics-Pulmonology,0.0
cat__diag_3_42,0.0
cat__diag_3_417,0.0
cat__diag_3_416,0.0
cat__diag_3_415,0.0
cat__medical_specialty_Pediatrics-EmergencyMedicine,0.0
cat__diag_3_412,0.0
