,value
structure_search_cross_validation_auprc,0.15083828361630439
selected_learning_rate,0.1
selected_n_estimators,196.0
selected_validation_threshold,0.2904823422431946
validation_recall,0.8003182179793158
validation_precision,0.10955025590765545
validation_false_positive_rate,0.6417863589985088
test_auprc,0.15128826635094722
test_auroc,0.645560061832843
test_brier_score,0.15476450324058533
test_recall,0.8162291169451074
test_precision,0.11222927149420259
test_specificity,0.3630013342751746
test_false_positive_rate,0.6369986657248253
test_f2,0.36203246294989416
test_predicted_positive_rate,0.6530932990427204
test_patients_flagged_per_true_readmission,8.910331384015594
