feature,importance
categorical__discharge_group_Home,0.15158093
numeric__number_inpatient,0.080373235
categorical__age_group_>60,0.050893355
categorical__diabetesMed_No,0.035747804
categorical__primary_diagnosis_Circulatory,0.029002532
categorical__admission_source_group_Other,0.027582586
categorical__age_group_<=30,0.02651027
categorical__primary_diagnosis_Respiratory,0.026289323
categorical__admission_source_group_Emergency room,0.026268026
numeric__time_in_hospital,0.025740989
numeric__number_diagnoses,0.025619794
categorical__primary_diagnosis_Diabetes,0.025553767
numeric__number_emergency,0.023461752
categorical__primary_diagnosis_Other,0.021036852
"categorical__hba1c_group_High, medication changed",0.020328786
categorical__hba1c_group_No test was performed,0.020241566
categorical__medical_specialty_group_Other,0.019493546
categorical__medical_specialty_group_Cardiology,0.019438062
categorical__primary_diagnosis_Musculoskeletal,0.019333394
categorical__race_group_AfricanAmerican,0.019011898
numeric__num_lab_procedures,0.018980216
numeric__number_outpatient,0.018686134
categorical__medical_specialty_group_Family/General Practice,0.018581029
categorical__primary_diagnosis_Neoplasms,0.01845597
categorical__gender_Female,0.01833691
"categorical__hba1c_group_High, medication not changed",0.01815088
numeric__num_medications,0.018139837
categorical__hba1c_group_Normal result of the test,0.017974792
numeric__num_procedures,0.016789148
categorical__medical_specialty_group_Surgery,0.016510375
categorical__medical_specialty_group_Internal Medicine,0.016462062
categorical__admission_source_group_Physician/clinic referral,0.016048815
categorical__primary_diagnosis_Genitourinary,0.015598331
categorical__race_group_Caucasian,0.014386788
categorical__age_group_30-60,0.014346522
categorical__race_group_Other,0.013287518
categorical__primary_diagnosis_Injury,0.013099822
categorical__primary_diagnosis_Digestive,0.0123994
categorical__race_group_Missing,0.010256898
categorical__diabetesMed_Yes,0.0
categorical__discharge_group_Other,0.0
categorical__gender_Male,0.0
categorical__max_glu_serum_>300,0.0
categorical__max_glu_serum_>200,0.0
categorical__medical_specialty_group_Missing,0.0
categorical__max_glu_serum_Norm,0.0
