original_feature,importance
primary_diagnosis,0.18076938
discharge_group,0.15158093
age_group,0.091750145
medical_specialty_group,0.09048507
number_inpatient,0.080373235
hba1c_group,0.07669602
admission_source_group,0.069899425
race_group,0.056943104
diabetesMed,0.035747804
time_in_hospital,0.025740989
number_diagnoses,0.025619794
number_emergency,0.023461752
num_lab_procedures,0.018980216
number_outpatient,0.018686134
gender,0.01833691
num_medications,0.018139837
num_procedures,0.016789148
max_glu_serum,0.0
