rank_test_auprc,mean_test_auprc,std_test_auprc,mean_train_auprc,std_train_auprc,mean_test_auroc,std_test_auroc,param_model__max_depth,param_model__min_child_weight,param_model__gamma,param_model__subsample,param_model__colsample_bytree,param_model__reg_alpha,param_model__reg_lambda,param_model__scale_pos_weight,param_model__max_delta_step,train_validation_auprc_gap
1,0.15083828361630439,0.008865515954823577,0.17201849400822303,0.003034797112536775,0.6296333725339934,0.01166170914671503,2,10,1.0,0.6,1.0,1.0,20.0,6.0,1,0.02118021039191864
2,0.15020461263135446,0.009184882349776054,0.17198991336548056,0.0036296226181045626,0.6298861763357632,0.01142664003785488,2,1,0.25,0.6,0.7,0.01,20.0,6.0,0,0.0217853007341261
3,0.15012820048949466,0.008792374727226746,0.17406304886189652,0.004171781224495783,0.6286358965956399,0.011949602283102136,2,20,0.0,0.75,0.7,0.01,5.0,4.0,0,0.023934848372401868
4,0.1499687187931306,0.009091848001884669,0.17139874492059412,0.0038932143983702225,0.630023466336028,0.0117529436876725,2,10,0.1,0.6,0.5,0.0,20.0,4.0,0,0.02143002612746353
5,0.14931799677578922,0.009217882046420248,0.1741800045225534,0.0037383172066754356,0.6277949158648661,0.012527260243778772,2,5,0.25,0.9,1.0,5.0,1.0,6.0,0,0.02486200774676417
6,0.1489665473761749,0.009512538499551255,0.2104869849738246,0.0035397443410304314,0.6282258690339473,0.010406806322999652,3,5,0.0,0.75,0.7,0.1,10.0,2.0,0,0.06152043759764969
7,0.14894793889375688,0.008561773849024663,0.19874754644163262,0.004393238299955318,0.625489974619564,0.01177499830122917,3,20,0.5,0.9,0.5,5.0,10.0,10.134239310573417,3,0.04979960754787574
8,0.14879231948230648,0.009523976036177462,0.21152540978459905,0.003873312334464945,0.6260367252702749,0.01119379424550042,3,5,0.1,0.9,1.0,0.5,5.0,1.0,1,0.06273309030229257
9,0.14847428869174129,0.009792587817390046,0.2120577831267024,0.0045500895954591995,0.6255169192474935,0.011921101980865304,3,5,1.0,0.75,1.0,1.0,10.0,10.134239310573417,0,0.06358349443496111
10,0.14789721835252317,0.009200904565886143,0.20767708312531097,0.003497304133074057,0.627841191645465,0.01047241691321169,3,10,0.1,0.6,0.5,0.01,2.0,6.0,1,0.059779864772787794
11,0.14777510622976364,0.008996854997398857,0.21467505302076564,0.004275333138057674,0.6265588207146909,0.01237614306722032,3,5,0.0,0.9,0.5,0.0,2.0,4.0,3,0.066899946791002
12,0.1475333839611165,0.008338075422262765,0.21064031573405728,0.00375558783147822,0.6254078742328817,0.01067417673788513,3,10,1.0,0.6,1.0,5.0,0.5,6.0,3,0.06310693177294077
13,0.14727586141430327,0.00842048064920928,0.1993210929510239,0.004123307740310892,0.6266766468818862,0.011321695433907916,3,2,0.25,1.0,0.5,0.5,10.0,10.134239310573417,1,0.05204523153672064
