,coef,odds_ratio,ci_lower,ci_upper,p_value
Intercept,-2.864200325827067,0.05702871729490245,0.04794021988271818,0.06784021025056475,2.1047002207579434e-229
"C(discharge_group, Treatment(reference=""Home""))[T.Other]",0.5392868268345141,1.7147834884294777,1.6192277232130687,1.815978302517885,6.958080554480534e-76
"C(race_group, Treatment(reference=""African American""))[T.Caucasian]",0.019252979276139604,1.019439513068936,0.9499506814391065,1.0940114482910104,0.5929915952879361
"C(race_group, Treatment(reference=""African American""))[T.Missing]",-0.18261687310852084,0.8330872727391704,0.6929133046470026,1.0016179503921596,0.05204451428248501
"C(race_group, Treatment(reference=""African American""))[T.Other]",-0.0806378553202767,0.9225277194632234,0.7970676812710638,1.0677354171741802,0.27960869315325954
"C(admission_source_group, Treatment(reference=""Emergency""))[T.Other]",-0.1403634203361341,0.8690423503396801,0.8017329694965388,0.942002680965181,0.0006435746375415171
"C(admission_source_group, Treatment(reference=""Emergency""))[T.Referral]",-0.02285922260343986,0.9774000699257815,0.9183140751637622,1.0402877648592752,0.4724486535429274
"C(specialty_group, Treatment(reference=""Cardiology""))[T.Family/General Practice]",0.27109781184754045,1.311403334894648,1.1240286436366689,1.5300132398838637,0.000568369302763502
"C(specialty_group, Treatment(reference=""Cardiology""))[T.Internal Medicine]",0.2778329207874314,1.3202655898450235,1.1494274530735618,1.5164952107832348,8.50313893706479e-05
"C(specialty_group, Treatment(reference=""Cardiology""))[T.Missing]",0.15997693507466976,1.1734838043633427,1.032669823931485,1.3334990596127156,0.01417213272930027
"C(specialty_group, Treatment(reference=""Cardiology""))[T.Other]",0.09078365016771096,1.095032069624283,0.9525336688714184,1.2588481359680999,0.2018513487751843
"C(specialty_group, Treatment(reference=""Cardiology""))[T.Surgery]",0.031543616956720706,1.0320463893366552,0.8694648049943097,1.2250291715370785,0.7183551968691733
"C(age_group, Treatment(reference=""30-60""))[T.60+]",0.1985242634299488,1.2196016187736982,1.1453945048991836,1.2986164174467965,5.706901823350566e-10
"C(age_group, Treatment(reference=""30-60""))[T.<30]",-0.08052477867304057,0.9226320417028161,0.7526118676898892,1.1310609371462386,0.43841798019258704
"C(diag1_group, Treatment(reference=""Diabetes""))[T.Circulatory]",0.006592575527969327,1.0066143543873023,0.904977429565806,1.1196659997860032,0.9033767803064465
"C(diag1_group, Treatment(reference=""Diabetes""))[T.Digestive]",-0.1512207493425328,0.8596579087938129,0.7539361339680823,0.9802046710007367,0.023909123324908552
"C(diag1_group, Treatment(reference=""Diabetes""))[T.Genitourinary]",-0.10020677607085869,0.9046503386523287,0.7777805719158367,1.0522148081018547,0.1936772050099289
"C(diag1_group, Treatment(reference=""Diabetes""))[T.Injury]",-0.005169116017948168,0.9948442208723821,0.870313251700224,1.1371940182109055,0.9396119887795934
"C(diag1_group, Treatment(reference=""Diabetes""))[T.Musculoskeletal]",-0.23443895902774048,0.7910145167129198,0.6795654711706282,0.9207412562806178,0.0024805382331200593
"C(diag1_group, Treatment(reference=""Diabetes""))[T.Neoplasms]",-0.08287660903627433,0.9204647172417594,0.7775749425319863,1.0896123953378285,0.3356118500872962
"C(diag1_group, Treatment(reference=""Diabetes""))[T.Other]",-0.08778305521857459,0.9159595678182831,0.818409235811031,1.0251374167917813,0.12654788845379916
"C(diag1_group, Treatment(reference=""Diabetes""))[T.Respiratory]",-0.29412796334358843,0.7451811294730941,0.659044990532489,0.8425751256740973,2.6908653588372377e-06
"C(a1c_group, Treatment(reference=""Not measured""))[T.High, medication changed]",-0.06185966526426988,0.9400147942630076,0.8364696649805776,1.0563775955387957,0.2988611328133107
"C(a1c_group, Treatment(reference=""Not measured""))[T.High, medication not changed]",-0.16086047865746453,0.8514108528059001,0.7213089908452435,1.004979072042646,0.05726786309882032
"C(a1c_group, Treatment(reference=""Not measured""))[T.Normal/near-normal measured]",-0.10235965186128297,0.9027048338060176,0.8236146275742414,0.989389927880192,0.02867183920912443
time_in_hospital,0.03180145338649931,1.0323125228010244,1.0232024207993544,1.0415037367672417,2.0404905720197085e-12
