,coef,odds_ratio,ci_lower,ci_upper,p_value
Intercept,-2.894817584826373,0.05530911339605709,0.04658248350216283,0.06567056529984855,2.029368442124011e-239
"C(discharge_group, Treatment(reference=""Home""))[T.Other]",0.5406253487468158,1.7170803005273325,1.6214419060019463,1.8183597867708592,2.5236291573702988e-76
"C(race_group, Treatment(reference=""African American""))[T.Caucasian]",0.018823692141753785,1.0190019747232015,0.9495537597717341,1.0935294750866975,0.6012025021520252
"C(race_group, Treatment(reference=""African American""))[T.Missing]",-0.18528979372396134,0.8308634699415732,0.6911129285616948,0.9988730888308454,0.048613715724841314
"C(race_group, Treatment(reference=""African American""))[T.Other]",-0.08583991976927792,0.9177411316740095,0.792977592193174,1.062134407148689,0.24956735250512596
"C(admission_source_group, Treatment(reference=""Emergency""))[T.Other]",-0.1325334832845787,0.8758736064899924,0.8082481020682292,0.9491572854705272,0.0012260173594432072
"C(admission_source_group, Treatment(reference=""Emergency""))[T.Referral]",-0.016455946960329464,0.983678712473532,0.9243771860649139,1.0467846069338569,0.6039615855136955
"C(specialty_group, Treatment(reference=""Cardiology""))[T.Family/General Practice]",0.26919943515324124,1.308916158912265,1.1219203166241314,1.5270794954643996,0.0006202346369096359
"C(specialty_group, Treatment(reference=""Cardiology""))[T.Internal Medicine]",0.27323133571920194,1.3142042320430305,1.1442070808419793,1.5094582024862835,0.00011061070169041523
"C(specialty_group, Treatment(reference=""Cardiology""))[T.Missing]",0.1597240626481405,1.1731871001819747,1.032429708297907,1.3331347993680949,0.014310126185814984
"C(specialty_group, Treatment(reference=""Cardiology""))[T.Other]",0.08984543106270461,1.094005171419052,0.9516425987702045,1.2576647121916356,0.20654405850807334
"C(specialty_group, Treatment(reference=""Cardiology""))[T.Surgery]",0.0344279504351571,1.0350274524120169,0.8719846267025537,1.228555864909691,0.6938332952779913
"C(age_group, Treatment(reference=""30-60""))[T.60+]",0.20440577078566396,1.2267958503900058,1.1524919157501066,1.3058903389830556,1.4346086732335693e-10
"C(age_group, Treatment(reference=""30-60""))[T.<30]",-0.09509990588670102,0.9092820872970306,0.742074768445271,1.1141652424208814,0.3590058098478681
"C(diag1_group, Treatment(reference=""Diabetes""))[T.Circulatory]",0.01540632915020159,1.0155256184552721,0.9135342989961215,1.128903734509197,0.7754179137970547
"C(diag1_group, Treatment(reference=""Diabetes""))[T.Digestive]",-0.13419875868801406,0.8744162495037462,0.7676719845454746,0.9960032315741031,0.043357189963551736
"C(diag1_group, Treatment(reference=""Diabetes""))[T.Genitourinary]",-0.08666135063077747,0.9169875803231241,0.7888748040611658,1.065905791562917,0.25902653245807516
"C(diag1_group, Treatment(reference=""Diabetes""))[T.Injury]",0.010871279519962097,1.0109305865989329,0.8852120619590266,1.1545037566021854,0.8725285938765981
"C(diag1_group, Treatment(reference=""Diabetes""))[T.Musculoskeletal]",-0.2194842413232948,0.8029328107519134,0.6903361266103998,0.9338944808632526,0.004411401303222388
"C(diag1_group, Treatment(reference=""Diabetes""))[T.Neoplasms]",-0.06600885063611035,0.9361225789746526,0.7913955020747938,1.10731673426081,0.44110720870157616
"C(diag1_group, Treatment(reference=""Diabetes""))[T.Other]",-0.07559822759195557,0.9271886505523561,0.8291292098581947,1.036845383676845,0.18499342945562214
"C(diag1_group, Treatment(reference=""Diabetes""))[T.Respiratory]",-0.28301939146976524,0.7535051761452052,0.6669017087891482,0.8513549193155936,5.537667169049007e-06
time_in_hospital,0.030929247442225544,1.0314125262305238,1.0223489488682351,1.0405564562304253,6.5074320236685165e-12
