,coef,odds_ratio,ci_lower,ci_upper,p_value
Intercept,-2.8031327701605497,0.06061985676674403,0.050566905537004506,0.07267138448350162,1.1683962391322108e-201
"C(discharge_group, Treatment(reference=""Home""))[T.Other]",0.5398823637420692,1.7158050094318416,1.620168550973615,1.817086764597584,5.2105739420954736e-76
"C(race_group, Treatment(reference=""African American""))[T.Caucasian]",0.020624802025735973,1.020838963064003,0.9512204667419364,1.0955527398174782,0.5671196553303826
"C(race_group, Treatment(reference=""African American""))[T.Missing]",-0.18726356469315847,0.8292251531082139,0.6896097004962021,0.997106557597108,0.04650636774301666
"C(race_group, Treatment(reference=""African American""))[T.Other]",-0.07693750152380419,0.925947722119799,0.7999477940068715,1.0717939227062605,0.30257604841546726
"C(admission_source_group, Treatment(reference=""Emergency""))[T.Other]",-0.13980835786173262,0.8695248570353113,0.80215211491747,0.9425562345865882,0.0006795678013968931
"C(admission_source_group, Treatment(reference=""Emergency""))[T.Referral]",-0.020935406254029048,0.979282218033374,0.9200548315046078,1.0423222939746737,0.5107209074088759
"C(specialty_group, Treatment(reference=""Cardiology""))[T.Family/General Practice]",0.27143929894191504,1.3118512386813632,1.124349338872496,1.5306218565091245,0.0005619181848686303
"C(specialty_group, Treatment(reference=""Cardiology""))[T.Internal Medicine]",0.2796454494486646,1.3226607790858966,1.151466591224939,1.5193072468312367,7.677445049226873e-05
"C(specialty_group, Treatment(reference=""Cardiology""))[T.Missing]",0.15964341597627046,1.173092490361899,1.03227598279703,1.3331182880131631,0.014411508857867555
"C(specialty_group, Treatment(reference=""Cardiology""))[T.Other]",0.09360721281207302,1.0981283304565845,0.955151878378747,1.2625068928286136,0.1884265147828167
"C(specialty_group, Treatment(reference=""Cardiology""))[T.Surgery]",0.03212052896209899,1.0326419610684932,0.8699031320241384,1.2258254747033075,0.7135459377392499
"C(age_group, Treatment(reference=""30-60""))[T.60+]",0.19799645982676375,1.2189580784912386,1.1448045920451475,1.2979147772849386,6.286045069955335e-10
"C(age_group, Treatment(reference=""30-60""))[T.<30]",-0.03912126948900174,0.9616340852009275,0.7836980516882261,1.179969902729972,0.7078514694488418
"C(diag1_group, Treatment(reference=""Diabetes""))[T.Circulatory]",-0.07755611325911671,0.925375097127141,0.8190482914979191,1.0455049833715957,0.2129892763723833
"C(diag1_group, Treatment(reference=""Diabetes""))[T.Digestive]",-0.21697820975889776,0.8049475091142007,0.6956978000650232,0.9313533726405296,0.0035504347502484774
"C(diag1_group, Treatment(reference=""Diabetes""))[T.Genitourinary]",-0.1969549443231719,0.8212276334459735,0.6931608136422734,0.9729557884143842,0.022791203069379474
