Variable,Group,encounters,population_percent,readmitted,readmission_percent
HbA1c,Not measured,57141,81.64516267306784,5206,9.110796100873278
HbA1c,"High, medication changed",4058,5.798219669367168,348,8.575653031049777
HbA1c,"High, medication not changed",2181,3.1162930258476575,161,7.3819348922512615
HbA1c,Normal/near-normal measured,6607,9.440324631717319,570,8.6272135613743
Gender,Female,37239,53.20845299841399,3365,9.0362254625527
Gender,Male,32748,46.79154700158601,2920,8.916575058018811
Discharge disposition,Home,44320,63.32604626573507,3079,6.947202166064982
Discharge disposition,Other,25667,36.673953734264934,3206,12.490746873417228
Admission source,Emergency,37271,53.25417577550117,3452,9.261892624292345
Admission source,Referral,22792,32.566047980339206,1973,8.656546156546156
Admission source,Other,9924,14.179776244159632,860,8.665860540104795
Specialty of admitting physician,Internal Medicine,10641,15.204252218269106,1039,9.764119913541961
Specialty of admitting physician,Cardiology,4207,6.01111635017932,303,7.202281911100547
Specialty of admitting physician,Surgery,3685,5.265263548944804,293,7.951153324287652
Specialty of admitting physician,Family/General Practice,4978,7.112749510623402,485,9.742868621936521
Specialty of admitting physician,Missing,33652,48.08321545429865,3110,9.241649827647688
Specialty of admitting physician,Other,12824,18.323402917684714,1055,8.226762320648785
Primary diagnosis,Circulatory,21389,30.561389972423452,2070,9.67787180326336
Primary diagnosis,Diabetes,5748,8.21295383428351,524,9.116214335421017
Primary diagnosis,Respiratory,9491,13.561089916698815,693,7.301654198714572
Primary diagnosis,Digestive,6488,9.270293054424393,520,8.014796547472256
Primary diagnosis,Injury,4694,6.706959863974739,507,10.8010225820196
Primary diagnosis,Musculoskeletal,4064,5.806792690071013,341,8.390748031496063
Primary diagnosis,Genitourinary,3441,4.916627373655107,309,8.979947689625108
Primary diagnosis,Neoplasms,2538,3.6263877577264347,230,9.062253743104808
Primary diagnosis,Other,12134,17.337505536742537,1091,8.991264216251855
Race,African American,12627,18.041922071241803,1095,8.671893561416013
Race,Caucasian,52305,74.73530798576878,4807,9.190325972660357
Race,Other,3138,4.483689828110935,242,7.711918419375398
Race,Missing,1917,2.7390801148784774,141,7.355242566510173
Age group,<30,1808,2.5833369054252935,112,6.1946902654867255
Age group,30-60,21871,31.250089302299,1574,7.196744547574413
Age group,60+,46308,66.16657379227571,4599,9.931329359937807
