Group name,ICD-9 codes,Number of encounters,% of encounters,Description
Circulatory,"390-459, 785",21389,30.6,Diseases of the circulatory system
Respiratory,"460-519, 786",9491,13.6,Diseases of the respiratory system
Digestive,"520-579, 787",6488,9.3,Diseases of the digestive system
Diabetes,250.xx,5748,8.2,Diabetes mellitus
Injury,800-999,4694,6.7,Injury and poisoning
Musculoskeletal,710-739,4064,5.8,Diseases of the musculoskeletal system and connective tissue
Genitourinary,"580-629, 788",3441,4.9,Diseases of the genitourinary system
Neoplasms,140-239,2538,3.6,Neoplasms
"Other
(17.3%)","780, 781, 783, 784, 789, 790-799",2144,3.1,"Other symptoms, signs, and ill-defined conditions"
,"240-279, without 250",1851,2.6,"Endocrine, nutritional, and metabolic diseases and immunity disorders, without diabetes"
,"680-709, 782",1843,2.6,Diseases of the skin and subcutaneous tissue
,001-139,1685,2.4,Infectious and parasitic diseases
,290-319,1545,2.2,Mental disorders
,E-V,919,1.3,External causes of injury and supplemental classification
,280-289,652,0.9,Diseases of the blood and blood-forming organs
,320-359,639,0.9,Diseases of the nervous system
,630-679,586,0.8,"Complications of pregnancy, childbirth, and the puerperium"
,360-389,219,0.3,Diseases of the sense organs
,740-759,41,0.1,Congenital anomalies
