term,estimate,std_error,z_value,p_value,significant_0_01
Intercept,-3.1557181753458243,0.17564434853641966,-17.966522701363715,3.5636378071902553e-72,True
C(discharge_group)[T.Other],0.2817964266775879,0.19498137956089542,1.4452478862966447,0.14838827014012487,False
C(race_group)[T.Caucasian],0.01343956650204636,0.04840706893723845,0.2776364443687192,0.7812914529890176,False
C(race_group)[T.Missing],-0.3171286737470611,0.1340482660197128,-2.3657797535435856,0.017992144356885568,False
C(race_group)[T.Other],-0.2984420493532371,0.1048346617613297,-2.8467879262364657,0.004416277209847029,True
C(admission_source_group)[T.Other],-0.13227175213167036,0.041273088204280696,-3.2047941621667073,0.0013515910049834354,True
C(admission_source_group)[T.Physician/clinic referral],-0.017884859536170642,0.03205959386724869,-0.5578629476788658,0.5769379745540125,False
C(medical_specialty_group)[T.Family/General Practice],0.3968312133502281,0.18382003779646616,2.158802805761674,0.03086546873082448,False
C(medical_specialty_group)[T.Internal Medicine],0.38826606676932185,0.16434782647406085,2.3624654800688965,0.01815383203954649,False
C(medical_specialty_group)[T.Missing],0.40901621854668707,0.14941381498496595,2.7374725596012817,0.006191328502017542,True
C(medical_specialty_group)[T.Other],0.2882426356863976,0.16321214681601903,1.7660611744254502,0.07738558627143467,False
C(medical_specialty_group)[T.Surgery],0.38293830408867746,0.20660829847211798,1.8534507419137156,0.0638177801600812,False
C(age_group)[T.>60],0.25323254006763923,0.14033742831953414,1.8044547566530458,0.07116004568797685,False
C(age_group)[T.<=30],1.8344316059614318,0.8478387012792182,2.1636563690636477,0.030490731897664602,False
C(primary_diagnosis)[T.Circulatory],0.10219333991219469,0.10506804936919575,0.9726395467103448,0.33073248048284754,False
C(primary_diagnosis)[T.Respiratory],-0.3212227079037507,0.1205158889811848,-2.6653971573316833,0.007689744781008869,True
C(primary_diagnosis)[T.Digestive],-0.06832504372481316,0.12852255062000548,-0.531619108049182,0.5949898278065535,False
C(primary_diagnosis)[T.Injury],-0.007480527367310698,0.14502442590351292,-0.05158115483448018,0.9588624356113404,False
C(primary_diagnosis)[T.Musculoskeletal],-0.7281723558791416,0.17813891984674451,-4.087665719010752,4.3573540165960177e-05,True
C(primary_diagnosis)[T.Genitourinary],-0.2845464661782429,0.15097462898576872,-1.8847303556219703,0.059466251850929484,False
C(primary_diagnosis)[T.Neoplasms],0.150988792976499,0.16582715799450837,0.910519089891773,0.36254881884843093,False
C(primary_diagnosis)[T.Other],0.02567455659294631,0.11213213852360499,0.22896697531137827,0.8188945841837912,False
"C(hba1c_group)[T.High, medication changed]",-0.39485753218347935,0.14007333774591507,-2.81893427070131,0.004818338369225416,True
"C(hba1c_group)[T.High, medication not changed]",-0.5301556347239551,0.21671764241433134,-2.446296613500334,0.014433220507164233,False
C(hba1c_group)[T.Normal result of the test],0.011158827050049823,0.15077979981145706,0.0740074404131283,0.9410044649052164,False
time_in_hospital,0.12956590091032208,0.02580712678681074,5.020547307751414,5.152445904817634e-07,True
