term,estimate,std_error,z_value,p_value,significant_0_01
C(discharge_group)[T.Other]:C(race_group)[T.Caucasian],0.018844140525793425,0.07186123942501552,0.2622295506808865,0.7931444721575259,False
C(discharge_group)[T.Other]:C(race_group)[T.Missing],0.28579470458844974,0.18839241178466093,1.5170181318933535,0.12926210621224307,False
C(discharge_group)[T.Other]:C(race_group)[T.Other],0.4971531705735254,0.1506544328078456,3.299957135729466,0.0009669959685343848,True
C(discharge_group)[T.Other]:C(medical_specialty_group)[T.Family/General Practice],0.3252795084446369,0.1801211578084826,1.8058928357017159,0.0709350803959136,False
C(discharge_group)[T.Other]:C(medical_specialty_group)[T.Internal Medicine],0.1973298877686558,0.1647274954321676,1.197917125194885,0.2309492821236162,False
C(discharge_group)[T.Other]:C(medical_specialty_group)[T.Missing],0.24568962729801735,0.15395823823086544,1.595819945208763,0.11052899890913345,False
C(discharge_group)[T.Other]:C(medical_specialty_group)[T.Other],0.3962570763668468,0.1657146706715536,2.3912009405143624,0.01679335900670067,False
C(discharge_group)[T.Other]:C(medical_specialty_group)[T.Surgery],0.6838918609077296,0.1986955544175239,3.441908214366239,0.0005776262068079226,True
C(discharge_group)[T.Other]:C(primary_diagnosis)[T.Circulatory],-0.02120437992065783,0.11124136917403447,-0.1906159558993209,0.8488264884049976,False
C(discharge_group)[T.Other]:C(primary_diagnosis)[T.Respiratory],0.10863082453112911,0.12956386336116013,0.8384345890359873,0.4017866700334697,False
C(discharge_group)[T.Other]:C(primary_diagnosis)[T.Digestive],0.027502903688463202,0.14127293530363527,0.1946792117637517,0.8456440871340812,False
C(discharge_group)[T.Other]:C(primary_diagnosis)[T.Injury],0.28483325189862396,0.14886759149897394,1.9133328418266722,0.0557054559060797,False
C(discharge_group)[T.Other]:C(primary_diagnosis)[T.Musculoskeletal],0.42256985089916,0.17527212888193508,2.4109358036257262,0.015911648869249628,False
C(discharge_group)[T.Other]:C(primary_diagnosis)[T.Genitourinary],-0.18430322570488283,0.15951408123354222,-1.1554041140421152,0.24792497798248492,False
C(discharge_group)[T.Other]:C(primary_diagnosis)[T.Neoplasms],-0.15861532637789877,0.1787970359902045,-0.8871250325793354,0.37501158817999836,False
C(discharge_group)[T.Other]:C(primary_diagnosis)[T.Other],0.20615763376621263,0.11906564038226666,1.7314620162822156,0.08336939388117218,False
C(medical_specialty_group)[T.Family/General Practice]:C(age_group)[T.>60],0.07532425147864415,0.18002181673613776,0.41841734987625795,0.6756420035861284,False
C(medical_specialty_group)[T.Internal Medicine]:C(age_group)[T.>60],-0.002581940759945049,0.16154228410398502,-0.015983064584397296,0.9872479024744121,False
C(medical_specialty_group)[T.Missing]:C(age_group)[T.>60],-0.08179261861844773,0.14723689479799593,-0.5555171394416084,0.5785409901349136,False
C(medical_specialty_group)[T.Other]:C(age_group)[T.>60],-0.10738614346116052,0.15893446053418528,-0.675663056962167,0.49925459635432723,False
