Attribute name,Value,Interaction attribute,Interaction value,Estimate,P value,Significant at 0.01
Medical specialty,General practice,Age,<30,-2.478,0.013,No
Medical specialty,General practice,Age,"[60, 100)",0.075,0.676,No
Medical specialty,Internal medicine,Age,<30,-2.002,0.026,No
Medical specialty,Internal medicine,Age,"[60, 100)",-0.003,0.987,No
Medical specialty,Missing,Age,<30,-1.450,0.091,No
Medical specialty,Missing,Age,"[60, 100)",-0.082,0.579,No
Medical specialty,Other,Age,<30,-2.395,0.006,Yes
Medical specialty,Other,Age,"[60, 100)",-0.107,0.499,No
Medical specialty,Surgery,Age,<30,-2.964,0.026,No
Medical specialty,Surgery,Age,"[60, 100)",-0.144,0.466,No
Discharge,Other,Diagnosis,Circulatory,-0.021,0.849,No
Discharge,Other,Diagnosis,Digestive,0.028,0.846,No
Discharge,Other,Diagnosis,Genitourinary,-0.184,0.248,No
Discharge,Other,Diagnosis,Injury,0.285,0.056,No
Discharge,Other,Diagnosis,Musculoskeletal,0.423,0.016,No
Discharge,Other,Diagnosis,Neoplasms,-0.159,0.375,No
Discharge,Other,Diagnosis,Other,0.206,0.083,No
Discharge,Other,Diagnosis,Respiratory,0.109,0.402,No
Discharge,Other,Race,Caucasian,0.019,0.793,No
Discharge,Other,Race,Missing,0.286,0.129,No
Discharge,Other,Race,Other,0.497,<0.001,Yes
Discharge,Other,Time in hospital,,-0.028,0.002,Yes
Discharge,Other,Medical specialty,General practice,0.325,0.071,No
Discharge,Other,Medical specialty,Internal medicine,0.197,0.231,No
Discharge,Other,Medical specialty,Missing,0.246,0.111,No
Discharge,Other,Medical specialty,Other,0.396,0.017,No
Discharge,Other,Medical specialty,Surgery,0.684,<0.001,Yes
Medical specialty,General practice,Time in hospital,,-0.062,0.017,No
Medical specialty,Internal medicine,Time in hospital,,-0.037,0.108,No
Medical specialty,Missing,Time in hospital,,-0.058,0.007,Yes
Medical specialty,Other,Time in hospital,,-0.054,0.022,No
Medical specialty,Surgery,Time in hospital,,-0.107,<0.001,Yes
Diagnosis,Circulatory,Time in hospital,,-0.034,0.042,No
Diagnosis,Digestive,Time in hospital,,-0.034,0.122,No
Diagnosis,Genitourinary,Time in hospital,,0.042,0.094,No
Diagnosis,Injury,Time in hospital,,-0.043,0.055,No
Diagnosis,Musculoskeletal,Time in hospital,,0.023,0.406,No
Diagnosis,Neoplasms,Time in hospital,,-0.047,0.074,No
Diagnosis,Other,Time in hospital,,-0.057,0.001,Yes
Diagnosis,Respiratory,Time in hospital,,-0.008,0.681,No
Diagnosis,Circulatory,HbA1c,"High, changed",0.546,0.001,Yes
Diagnosis,Circulatory,HbA1c,"High, not changed",0.521,0.041,No
Diagnosis,Circulatory,HbA1c,Normal,-0.057,0.735,No
Diagnosis,Digestive,HbA1c,"High, changed",0.512,0.077,No
Diagnosis,Digestive,HbA1c,"High, not changed",0.195,0.649,No
Diagnosis,Digestive,HbA1c,Normal,-0.078,0.740,No
Diagnosis,Genitourinary,HbA1c,"High, changed",0.443,0.150,No
Diagnosis,Genitourinary,HbA1c,"High, not changed",-0.346,0.584,No
Diagnosis,Genitourinary,HbA1c,Normal,0.215,0.383,No
Diagnosis,Injury,HbA1c,"High, changed",-0.152,0.673,No
Diagnosis,Injury,HbA1c,"High, not changed",0.281,0.562,No
Diagnosis,Injury,HbA1c,Normal,-0.603,0.020,No
Diagnosis,Musculoskeletal,HbA1c,"High, changed",0.795,0.028,No
Diagnosis,Musculoskeletal,HbA1c,"High, not changed",0.802,0.131,No
Diagnosis,Musculoskeletal,HbA1c,Normal,-0.099,0.725,No
Diagnosis,Neoplasms,HbA1c,"High, changed",-0.107,0.844,No
Diagnosis,Neoplasms,HbA1c,"High, not changed",0.722,0.269,No
Diagnosis,Neoplasms,HbA1c,Normal,0.240,0.434,No
Diagnosis,Other,HbA1c,"High, changed",0.267,0.193,No
Diagnosis,Other,HbA1c,"High, not changed",0.642,0.029,No
Diagnosis,Other,HbA1c,Normal,-0.077,0.676,No
Diagnosis,Respiratory,HbA1c,"High, changed",0.326,0.159,No
Diagnosis,Respiratory,HbA1c,"High, not changed",0.358,0.286,No
Diagnosis,Respiratory,HbA1c,Normal,-0.493,0.020,No
