rank_test_score,mean_test_score,std_test_score,mean_train_score,std_train_score,param_model__criterion,param_model__max_depth,param_model__min_samples_split,param_model__min_samples_leaf,param_model__max_features,param_model__max_leaf_nodes,param_model__class_weight,param_model__ccp_alpha,train_validation_auprc_gap
1,0.13045126598973986,0.0042456035785123246,0.14566233996831843,0.002367437825482245,log_loss,,20,400,0.75,127,"{0: 1, 1: 4}",5e-05,0.015211073978578571
2,0.1302860930800229,0.0056636155129902825,0.14051049327784387,0.002075717271309641,gini,10,200,400,,31,"{0: 1, 1: 6}",1e-05,0.010224400197820976
3,0.12997147347745588,0.004723175262835225,0.13799704525452333,0.001513862673656935,gini,6,500,400,0.75,63,"{0: 1, 1: 2}",5e-05,0.008025571777067447
4,0.12974349082866835,0.0054821366037719945,0.14300074796977108,0.001355410339479257,gini,,50,200,0.75,31,"{0: 1, 1: 4}",5e-05,0.013257257141102735
5,0.129647387527247,0.006140706607146477,0.1447662754886923,0.0023754240540415283,gini,,20,400,,63,"{0: 1, 1: 4}",0.0001,0.01511888796144531
6,0.12954006162831083,0.005708885233379432,0.14021600524570704,0.0021983022307518153,entropy,,100,400,,31,"{0: 1, 1: 2}",1e-05,0.01067594361739621
7,0.12949164784617437,0.0047558963111798925,0.15608467155338993,0.0025049440459272367,gini,12,20,200,0.5,127,"{0: 1, 1: 2}",0.0,0.026593023707215557
8,0.12934442472742036,0.0056866766077960165,0.1470450078424041,0.0017535610390869575,gini,12,100,400,0.75,127,balanced,0.0,0.017700583114983737
9,0.1293077700468208,0.007031869245593116,0.1410501867805305,0.0016589630534887656,log_loss,12,100,400,0.5,127,"{0: 1, 1: 4}",0.0001,0.011742416733709682
10,0.12930729817650405,0.006722633562033338,0.1393929073219951,0.0010229240738469508,log_loss,6,200,400,,31,"{0: 1, 1: 4}",1e-05,0.010085609145491059
11,0.12926321796900228,0.005675434978650035,0.1404410480341059,0.0020631863391184124,entropy,,20,400,,31,,5e-05,0.011177830065103617
12,0.1289350980383833,0.005258860780234789,0.13997981799698192,0.0030845334023774083,entropy,10,500,100,,31,"{0: 1, 1: 6}",1e-05,0.011044719958598626
13,0.12885969684231918,0.0056356104024768905,0.1390581640916268,0.0008619140074532944,log_loss,6,200,25,0.75,31,balanced,0.0001,0.010198467249307619
