candidate,residual_dropout,n_blocks,ffn_dropout,ffn_d_hidden_multiplier,d_block,attention_n_heads,attention_dropout,mean_validation_auprc,std_validation_auprc,mean_validation_auroc,mean_validation_brier_score,median_best_epoch,mean_best_epoch,elapsed_seconds
2,0.0,2,0.0,1.3333333333333333,64,8,0.3,0.14743234814044556,0.003158013578432949,0.6304308358445849,0.08022611591151926,6,11.4,120.50967574119568
3,0.1,4,0.0,2.0,96,4,0.3,0.14712724896094204,0.002443605078437985,0.6304403293854023,0.0802858781876072,6,6.8,208.66053891181946
4,0.1,3,0.0,2.0,64,4,0.2,0.14703198965698422,0.0025468731184538594,0.6284756002180683,0.08032816143146566,5,6.8,106.01966214179993
7,0.1,4,0.2,1.3333333333333333,64,4,0.3,0.14693830590474016,0.0028284007095971033,0.6293739670853288,0.08028719976421665,17,16.0,220.60972595214844
6,0.1,4,0.1,1.3333333333333333,64,4,0.2,0.14691391493505507,0.003018277623803959,0.6303640819779345,0.08017305754979354,8,11.8,173.94078278541565
1,0.0,2,0.0,2.0,96,8,0.1,0.14679126738958184,0.0026392598794795557,0.6292295779427937,0.08030234129033213,9,8.2,164.88492798805237
10,0.1,2,0.2,1.3333333333333333,96,4,0.3,0.146594142335168,0.0030109477785716264,0.6297390026559337,0.08023746766038325,12,14.2,170.3942198753357
9,0.1,4,0.2,1.3333333333333333,96,8,0.2,0.14647484115359208,0.0028407497403326516,0.6305786102904907,0.08020024550957787,5,8.2,284.9492681026459
8,0.0,4,0.1,1.3333333333333333,64,4,0.2,0.1464337683301474,0.003198050639344249,0.6279114508340002,0.08030636786153662,4,8.8,146.49890899658203
5,0.1,4,0.0,2.0,64,4,0.1,0.14606214842953835,0.0029263432212107286,0.6277917315352594,0.0804580248600898,7,7.6,138.31541514396667
