rank_test_score,mean_test_score,std_test_score,mean_train_score,param_model__C,param_model__l1_ratio,param_model__class_weight
1,0.14415059343017464,0.0056878693518280145,0.14361288335574332,0.01,0.75,"{0: 1, 1: 2}"
2,0.14412385953045403,0.00575019283014971,0.14350910666486977,0.01,0.5,
3,0.14410417427109942,0.005749241513646266,0.14369555181373075,0.01,1.0,"{0: 1, 1: 4}"
4,0.14404528161272673,0.005696330575061164,0.14342215087580532,0.01,1.0,"{0: 1, 1: 2}"
5,0.1440114334282387,0.0056868868367300675,0.14401077661139938,0.01,0.5,"{0: 1, 1: 2}"
6,0.1439835590318085,0.005662459199255875,0.1441633275022823,0.01,0.25,
7,0.14396526532631085,0.005744609858776077,0.1434921659276902,0.01,1.0,balanced
8,0.1438890072793392,0.005822244986679029,0.1432518507662871,0.001,0.25,"{0: 1, 1: 8}"
9,0.14385921426342219,0.005795221888060245,0.14325081927074543,0.001,0.25,"{0: 1, 1: 10}"
10,0.14384276313998814,0.005632178361293565,0.1440231924500331,0.01,0.75,"{0: 1, 1: 4}"
11,0.14383696592731784,0.005724679861965942,0.14389156311187112,0.01,1.0,"{0: 1, 1: 6}"
12,0.14383470841344698,0.005831846279376037,0.14315506041176973,0.001,0.25,"{0: 1, 1: 6}"
13,0.14379846296689167,0.005754154532699298,0.1436517658095934,0.01,0.75,balanced
14,0.1436684666015017,0.005867141031878253,0.14317672038959095,0.01,0.75,
15,0.14366790284011174,0.005540760705352714,0.14395037423921542,0.01,1.0,"{0: 1, 1: 8}"
16,0.14363221177742064,0.006118836779278019,0.1423768437218397,0.001,0.75,"{0: 1, 1: 6}"
17,0.14361882564874556,0.005395020425240836,0.14436873155583668,0.001,0.0,"{0: 1, 1: 2}"
18,0.1436133443725766,0.006087323469322716,0.14242972754494465,0.001,0.5,"{0: 1, 1: 4}"
19,0.14360943179114533,0.005245285851015792,0.14455629986952917,0.001,0.0,"{0: 1, 1: 4}"
20,0.1436025586165807,0.005158433297448461,0.14451155433075216,0.001,0.0,"{0: 1, 1: 6}"
21,0.14357428748960296,0.005429249367144934,0.14422252001201027,0.01,0.75,"{0: 1, 1: 6}"
22,0.14356469344149742,0.005731607190767902,0.14297735216888954,0.01,1.0,
23,0.14356179722148354,0.004746108084879831,0.14558144723652272,0.01,0.0,
24,0.14356075699690654,0.006018587956201288,0.14228752894029312,0.001,1.0,"{0: 1, 1: 8}"
25,0.14355632757518988,0.005824952565252416,0.14272794876889247,0.001,0.25,"{0: 1, 1: 2}"
26,0.14354423769865754,0.005178672206575556,0.1447925296196096,0.01,0.25,"{0: 1, 1: 2}"
27,0.14353661823840044,0.00514491327481127,0.1444353332781867,0.001,0.0,"{0: 1, 1: 8}"
28,0.14353236631047536,0.005424579973446654,0.14403770015940448,0.01,1.0,"{0: 1, 1: 10}"
29,0.14352301414818977,0.005272811674895384,0.14449951295238822,0.01,0.5,"{0: 1, 1: 4}"
30,0.14351548734952163,0.006070720955652485,0.14229116120605,0.001,1.0,"{0: 1, 1: 6}"
31,0.14351070756646336,0.006105382486918012,0.1422661537388171,0.001,1.0,"{0: 1, 1: 10}"
32,0.14350901147640927,0.005371506976546092,0.14405099793220041,0.01,0.5,balanced
33,0.14347380093675763,0.006049336836848014,0.1422341573827857,0.001,0.75,"{0: 1, 1: 4}"
34,0.14345980393600216,0.00519005367846093,0.14439791217244363,0.001,0.0,"{0: 1, 1: 10}"
35,0.14345403772106718,0.005989617585267137,0.14295291123608123,0.001,0.25,"{0: 1, 1: 4}"
36,0.14344568222296966,0.005835340253034603,0.14270409560053968,0.001,0.5,"{0: 1, 1: 6}"
37,0.1434422050609891,0.006040880019789058,0.14233528685173055,0.001,0.75,"{0: 1, 1: 8}"
38,0.14344023289287677,0.0059134927155014986,0.14255114907212713,0.001,0.75,"{0: 1, 1: 10}"
39,0.1434366788264774,0.006090114336412635,0.1422791833606294,0.001,0.5,balanced
40,0.14343663465928197,0.0052948081787303715,0.14427288245780026,0.01,0.75,"{0: 1, 1: 8}"
41,0.14342348013354483,0.00470005544850865,0.14559864907527378,0.01,0.0,"{0: 1, 1: 2}"
42,0.14341851628146976,0.005332586024743577,0.14406269806730407,0.001,0.0,balanced
43,0.14341406267304668,0.004854218419410825,0.14544116832755166,0.1,1.0,
44,0.14341303927557444,0.0048980261527905465,0.14500994277386398,0.01,0.25,"{0: 1, 1: 4}"
45,0.14340839969117072,0.004667452325893546,0.1457578647898205,0.1,0.5,
46,0.14340524359341694,0.005707754406287595,0.14394355564504688,0.001,0.0,
47,0.1434011075832404,0.004788333275119961,0.14563028107588183,0.1,0.75,
48,0.14339513299941545,0.005150218464406827,0.14457508250670534,0.01,0.5,"{0: 1, 1: 6}"
49,0.14336658229501062,0.005265094643760735,0.14427713874690168,0.01,0.75,"{0: 1, 1: 10}"
50,0.14335394154576564,0.006068530549626948,0.14217873836786377,0.001,0.75,balanced
51,0.1433394292996763,0.005109767159782129,0.1445587444674723,0.01,0.5,"{0: 1, 1: 8}"
52,0.14332917289503763,0.005993278504323899,0.14276830228015175,0.001,0.25,balanced
53,0.14330964342862135,0.004926010060070072,0.1449575357197351,0.01,0.25,"{0: 1, 1: 6}"
54,0.14330194692100467,0.005069080019097334,0.14449871768431105,0.01,0.25,balanced
55,0.1432996710581688,0.004592802904735227,0.14567496346202163,0.1,0.75,"{0: 1, 1: 2}"
56,0.14327897593138936,0.004599729473359839,0.1456817614039426,0.1,0.25,"{0: 1, 1: 2}"
57,0.1432731219224736,0.004528065910887219,0.14573011744584435,0.1,0.5,"{0: 1, 1: 2}"
58,0.14327309929334692,0.005783653426468779,0.14273954724975213,0.001,0.5,"{0: 1, 1: 8}"
59,0.1432547424563699,0.005730555825397684,0.14273755623422782,0.001,0.5,"{0: 1, 1: 10}"
60,0.1432430065933703,0.0050440551432640104,0.14451631643864216,0.01,0.5,"{0: 1, 1: 10}"
61,0.1432360141941169,0.004729629440301148,0.1455830241622728,0.1,1.0,"{0: 1, 1: 2}"
62,0.14321856760589122,0.004710444389207537,0.14582512955202448,0.1,0.25,
63,0.1432110875802876,0.004914920789748082,0.14480647017771192,0.01,0.25,"{0: 1, 1: 8}"
64,0.1431757380686435,0.004515996265879266,0.14583778024416838,0.1,0.0,
65,0.14316370652559185,0.004715250630231219,0.14531998714132915,0.01,0.0,"{0: 1, 1: 4}"
66,0.1431547749446212,0.004520367163662098,0.14586046957855883,1.0,1.0,
67,0.14314949392022383,0.004741395782614122,0.14537193294525702,0.1,1.0,"{0: 1, 1: 4}"
68,0.14314566019761918,0.0049613254792648925,0.14474498642024008,0.01,0.25,"{0: 1, 1: 10}"
