model,target_recall,selected_validation_threshold,validation_recall,test_recall,test_precision,test_specificity,test_false_positive_rate,test_f2,true_positive,false_negative,false_positive,true_negative,flagged_count,flagged_rate
Regularised Logistic Regression,0.7,0.451233064331503,0.700079554494829,0.7024661893396977,0.12192764429715548,0.5009025979122518,0.4990974020877482,0.35982070089649554,883,374,6359,6382,7242,0.5173596228032576
Regularised Logistic Regression,0.75,0.4357118951062054,0.7501988862370724,0.7605409705648369,0.11671346599926749,0.43214818303115926,0.5678518169688408,0.36160072622739997,956,301,7235,5506,8191,0.5851550221460209
Regularised Logistic Regression,0.8,0.4225832283689996,0.8003182179793158,0.8114558472553699,0.11164623467600701,0.3630013342751746,0.6369986657248253,0.3600677774639932,1020,237,8116,4625,9136,0.6526646663809116
Regularised Logistic Regression,0.85,0.4098007658148899,0.8512330946698489,0.8615751789976134,0.10773975328292877,0.29605211521858565,0.7039478847814143,0.35908488063660476,1083,174,8969,3772,10052,0.7181025860837262
Regularised Logistic Regression,0.9,0.3969592957435075,0.9005568814638027,0.9029435163086714,0.10349229506701924,0.22831802841221255,0.7716819715877875,0.3547983744920288,1135,122,9832,2909,10967,0.7834690670095728
Decision Tree,0.7,0.2546652030735455,0.7008750994431185,0.7008750994431185,0.1162882787750792,0.474531041519504,0.525468958480496,0.3494922246905744,881,376,6695,6046,7576,0.5412201743106158
Decision Tree,0.75,0.2475822050290135,0.7533810660302307,0.750994431185362,0.1074436603687685,0.38450671061926067,0.6154932893807393,0.3416823512378746,944,313,7842,4899,8786,0.6276610944420632
Decision Tree,0.8,0.2153846153846154,0.8011137629276054,0.8138424821002387,0.10435580944608794,0.3108861156895063,0.6891138843104937,0.34488571235924753,1023,234,8780,3961,9803,0.7003143306186598
Decision Tree,0.85,0.1941747572815534,0.8615751789976134,0.8743038981702467,0.10042949830942155,0.22737618711247154,0.7726238128875285,0.3440611107632584,1099,158,9844,2897,10943,0.7817545363623375
Decision Tree,0.9,0.163855421686747,0.9005568814638027,0.9124900556881463,0.09732711073398388,0.16505768777960914,0.8349423122203908,0.34110509724617855,1147,110,10638,2103,11785,0.8419059865695099
Random Forest,0.7,0.0800846610947004,0.700079554494829,0.7072394590294352,0.12236751548520303,0.4995683227376187,0.5004316772623812,0.3615878955503132,889,368,6376,6365,7265,0.5190027146735248
Random Forest,0.75,0.0759582403527728,0.7501988862370724,0.7573587907716786,0.11714039621016366,0.4368573895298642,0.5631426104701358,0.3618396047130369,952,305,7175,5566,8127,0.58058294042006
Random Forest,0.8,0.0726201976053179,0.8003182179793158,0.807478122513922,0.11266511266511267,0.3725767208225414,0.6274232791774585,0.361544489563297,1015,242,7994,4747,9009,0.643591941705958
Random Forest,0.85,0.0686005565516861,0.8504375497215593,0.8599840891010342,0.10705090116854822,0.2922847500196217,0.7077152499803783,0.35733174666137774,1081,176,9017,3724,10098,0.7213887698242606
Random Forest,0.9,0.0643400535409294,0.9005568814638027,0.9108989657915673,0.10230521801286634,0.21144337179185307,0.788556628208147,0.3529593094944513,1145,112,10047,2694,11192,0.799542791827404
XGBoost,0.7,0.3303875029087066,0.700079554494829,0.7159904534606205,0.12337217272104181,0.4980770740130288,0.5019229259869712,0.36517081879412483,900,357,6395,6346,7295,0.521145877982569
XGBoost,0.75,0.3155482411384582,0.7501988862370724,0.7653142402545744,0.11835629921259842,0.43756377050466994,0.56243622949533,0.36561264822134387,962,295,7166,5575,8128,0.5806543791970281
XGBoost,0.8,0.3020971715450287,0.8003182179793158,0.7979315831344471,0.11263335204941044,0.3797975041205557,0.6202024958794443,0.3599368405942726,1003,254,7902,4839,8905,0.6361623089012716
XGBoost,0.85,0.2835889458656311,0.8504375497215593,0.8528241845664281,0.1065500447271643,0.29448237971901736,0.7055176202809826,0.3552256610776062,1072,185,8989,3752,10061,0.7187455350764395
XGBoost,0.9,0.2664665877819061,0.9005568814638027,0.8973747016706444,0.10245231607629428,0.22439368966329173,0.7756063103367082,0.35166479610924056,1128,129,9882,2859,11010,0.7865409344192027
CatBoost,0.7,0.079774000389977,0.700079554494829,0.6945107398568019,0.11991758241758242,0.4971352327132878,0.5028647672867121,0.3546473838154046,873,384,6407,6334,7280,0.5200742963280469
