model_a,model_b,metric,difference_definition,mean_difference,bootstrap_sd,ci_2_5,ci_97_5,ci_includes_zero
Regularised Logistic Regression,Decision Tree,auprc,model_a - model_b,0.017452043210937646,0.004270515557714245,0.009268386254117746,0.02625722338169445,False
Regularised Logistic Regression,Decision Tree,auroc,model_a - model_b,0.030825858966366974,0.005094690000102114,0.020535357747349787,0.040713482558081035,False
Regularised Logistic Regression,Decision Tree,brier_score,model_a - model_b,0.11684100631715762,0.0011143189787137734,0.11470786409945491,0.11909357486095279,False
Regularised Logistic Regression,Decision Tree,recall_80,model_a - model_b,-0.0023912153533892397,0.009924576007898114,-0.02178153845397889,0.01717505854800938,True
Regularised Logistic Regression,Decision Tree,precision_80,model_a - model_b,0.007295691940660005,0.001325243430206492,0.00474856745858597,0.009947448344216701,False
Regularised Logistic Regression,Decision Tree,fpr_80,model_a - model_b,-0.05215923120823765,0.004008180441118979,-0.05974249658586725,-0.044050679746897754,False
Regularised Logistic Regression,Decision Tree,f2_80,model_a - model_b,0.015183841650789504,0.004198493603258587,0.007096985257815406,0.02360321486149237,False
Regularised Logistic Regression,Random Forest,auprc,model_a - model_b,-0.00447482427437896,0.002779231947049644,-0.0100372464982264,0.0007584838640034796,True
Regularised Logistic Regression,Random Forest,auroc,model_a - model_b,-0.0014593898326316554,0.0025263590884441315,-0.006535849284219677,0.003500336656699894,True
Regularised Logistic Regression,Random Forest,brier_score,model_a - model_b,0.15539835973733024,0.002038103760803017,0.15137020903891285,0.15937927287637052,False
Regularised Logistic Regression,Random Forest,recall_80,model_a - model_b,0.0040893561055201,0.006295859052154356,-0.008013142054574613,0.016693495756039605,True
Regularised Logistic Regression,Random Forest,precision_80,model_a - model_b,-0.0010088862394319715,0.0008726167502775217,-0.002710278896511475,0.0007322683962053498,True
Regularised Logistic Regression,Random Forest,fpr_80,model_a - model_b,0.009598355657646284,0.002483537876478285,0.004703558343176856,0.014424279580054095,False
Regularised Logistic Regression,Random Forest,f2_80,model_a - model_b,-0.0014366710432553616,0.0027357732633306892,-0.006769683878046535,0.004029978204912334,True
Regularised Logistic Regression,XGBoost,auprc,model_a - model_b,-0.0016173545935119478,0.0024643382564838103,-0.006534083612831839,0.0030344270964051297,True
Regularised Logistic Regression,XGBoost,auroc,model_a - model_b,-6.207373014910894e-05,0.0028811104003796453,-0.0057495510790229,0.005498859168946358,True
Regularised Logistic Regression,XGBoost,brier_score,model_a - model_b,0.0818773840573602,0.0006425975089290473,0.0806187050868526,0.08314326182536984,False
Regularised Logistic Regression,XGBoost,recall_80,model_a - model_b,0.013530358151906756,0.007361446510521724,-0.0008170154137604496,0.02797873790639223,True
Regularised Logistic Regression,XGBoost,precision_80,model_a - model_b,-0.0009897746638761662,0.0010329806906730252,-0.0029977815814093236,0.0010461338779817868,True
Regularised Logistic Regression,XGBoost,fpr_80,model_a - model_b,0.01682128270336533,0.002826867058510685,0.011141474864403453,0.022513143290444716,False
Regularised Logistic Regression,XGBoost,f2_80,model_a - model_b,0.0001289944887720134,0.0032329857402950573,-0.006037636487631537,0.00642753767782338,True
Regularised Logistic Regression,CatBoost,auprc,model_a - model_b,-0.000550603895902434,0.0014143647860684846,-0.0032826451481947536,0.0022304863212568235,True
Regularised Logistic Regression,CatBoost,auroc,model_a - model_b,0.004426741252550537,0.0017654505335581985,0.0010255364097938647,0.007982107754126829,False
Regularised Logistic Regression,CatBoost,brier_score,model_a - model_b,0.15532048625968625,0.002025178991812992,0.15129254525140878,0.15924944718891293,False
Regularised Logistic Regression,CatBoost,recall_80,model_a - model_b,0.010933862619738456,0.006565676953262973,-0.0016130992837351198,0.02390816008641256,True
Regularised Logistic Regression,CatBoost,precision_80,model_a - model_b,0.0004070733741744774,0.0009131535406073686,-0.0013175687991587837,0.00219947940824174,True
Regularised Logistic Regression,CatBoost,fpr_80,model_a - model_b,0.00599643909559696,0.0025740878952923794,0.0011725084113485052,0.011212829618406755,False
Regularised Logistic Regression,CatBoost,f2_80,model_a - model_b,0.002577971509720035,0.0028642313957050604,-0.002720294311080798,0.008329163430950599,True
Regularised Logistic Regression,FT-Transformer,auprc,model_a - model_b,-0.005042614836942605,0.002502934228822385,-0.010186302273538853,-0.00018066217967358262,False
Regularised Logistic Regression,FT-Transformer,auroc,model_a - model_b,-0.0009336425651128198,0.0023408670110637883,-0.005509594499552181,0.003656392164548751,True
Regularised Logistic Regression,FT-Transformer,brier_score,model_a - model_b,0.15031621945311985,0.0016518839664581757,0.14703535046943148,0.1535872698119113,False
Regularised Logistic Regression,FT-Transformer,recall_80,model_a - model_b,-0.004817120569784126,0.0067941782234754505,-0.018139876684829366,0.008232505156860886,True
Regularised Logistic Regression,FT-Transformer,precision_80,model_a - model_b,-0.0008469938072099288,0.0009187390591058462,-0.0025967445980815385,0.0009238963658866826,True
Regularised Logistic Regression,FT-Transformer,fpr_80,model_a - model_b,0.00164798938462093,0.002398868106647858,-0.0031325928671627813,0.006359562719133815,True
Regularised Logistic Regression,FT-Transformer,f2_80,model_a - model_b,-0.002520417744782841,0.0029202634896979647,-0.008080986601926025,0.0030508466421494394,True
Decision Tree,Random Forest,auprc,model_a - model_b,-0.021926867485316606,0.00426538611228676,-0.030676675200727074,-0.013822172034352294,False
Decision Tree,Random Forest,auroc,model_a - model_b,-0.03228524879899862,0.004735927262871854,-0.04129351139031347,-0.022805993034956843,False
Decision Tree,Random Forest,brier_score,model_a - model_b,0.038557353420172615,0.0010614639171997453,0.03647623068971596,0.0407012879769393,False
Decision Tree,Random Forest,recall_80,model_a - model_b,0.0064805714589093386,0.009825356919469569,-0.012292254475620346,0.026381802680236315,True
Decision Tree,Random Forest,precision_80,model_a - model_b,-0.008304578180091976,0.0013238865949781135,-0.010906234332993345,-0.005770226820639715,False
Decision Tree,Random Forest,fpr_80,model_a - model_b,0.06175758686588394,0.0037546005415624952,0.05439080164431329,0.06900610243359505,False
Decision Tree,Random Forest,f2_80,model_a - model_b,-0.016620512694044864,0.004182381327200199,-0.024432523384266262,-0.008475466211019923,False
Decision Tree,XGBoost,auprc,model_a - model_b,-0.019069397804449592,0.004169673137441453,-0.027619298109777573,-0.01103712600637535,False
Decision Tree,XGBoost,auroc,model_a - model_b,-0.03088793269651608,0.005033589742063884,-0.040762567550951076,-0.02106312576416257,False
Decision Tree,XGBoost,brier_score,model_a - model_b,-0.03496362225979742,0.0006019363733856396,-0.03616042986103761,-0.0338343794693503,False
Decision Tree,XGBoost,recall_80,model_a - model_b,0.015921573505295997,0.009620495827407663,-0.002544515892679835,0.03491241777989376,True
Decision Tree,XGBoost,precision_80,model_a - model_b,-0.008285466604536171,0.001331913142848915,-0.010846528952869904,-0.005719345644974591,False
Decision Tree,XGBoost,fpr_80,model_a - model_b,0.06898051391160298,0.0037984413818233165,0.06154313541658414,0.07655570904820368,False
Decision Tree,XGBoost,f2_80,model_a - model_b,-0.01505484716201749,0.00417228054100702,-0.02308846585993888,-0.006963148844128891,False
Decision Tree,CatBoost,auprc,model_a - model_b,-0.01800264710684008,0.004133362227358344,-0.026537634537183555,-0.010261852698051924,False
Decision Tree,CatBoost,auroc,model_a - model_b,-0.026399117713816436,0.0047981677782136245,-0.03546546258501215,-0.017030249314554168,False
Decision Tree,CatBoost,brier_score,model_a - model_b,0.03847947994252864,0.0010502238081618151,0.03641669803757511,0.04061231849466293,False
Decision Tree,CatBoost,recall_80,model_a - model_b,0.013325077973127698,0.009714647272753675,-0.005351886845469803,0.03248066740800429,True
Decision Tree,CatBoost,precision_80,model_a - model_b,-0.006888618566485527,0.0013102995583428507,-0.009439642986617354,-0.004340536266621859,False
Decision Tree,CatBoost,fpr_80,model_a - model_b,0.05815567030383461,0.003849817464571512,0.050526402528953136,0.0654563539946293,False
Decision Tree,CatBoost,f2_80,model_a - model_b,-0.012605870141069469,0.004141516070539546,-0.02059961928133472,-0.004582735984025391,False
Decision Tree,FT-Transformer,auprc,model_a - model_b,-0.02249465804788025,0.0046709288220209266,-0.03203536178283887,-0.01362499953755557,False
Decision Tree,FT-Transformer,auroc,model_a - model_b,-0.03175950153147979,0.005086024832733893,-0.04188833097839327,-0.02147694146687391,False
Decision Tree,FT-Transformer,brier_score,model_a - model_b,0.033475213135962266,0.0007103747383597602,0.032101609732292494,0.03490399679656887,False
Decision Tree,FT-Transformer,recall_80,model_a - model_b,-0.0024259052163948876,0.010324986005141305,-0.023027137525789866,0.0177623073409135,True
Decision Tree,FT-Transformer,precision_80,model_a - model_b,-0.008142685747869933,0.0013859559865527515,-0.010853049588084186,-0.005400842195677424,False
Decision Tree,FT-Transformer,fpr_80,model_a - model_b,0.053807220592858584,0.003924228404823673,0.045872100129310395,0.06134041323397118,False
Decision Tree,FT-Transformer,f2_80,model_a - model_b,-0.017704259395572342,0.004394242123796263,-0.026447664170209495,-0.00895216070340742,False
Random Forest,XGBoost,auprc,model_a - model_b,0.002857469680867012,0.0025859525564403416,-0.0023466443711968243,0.007919178944264483,True
Random Forest,XGBoost,auroc,model_a - model_b,0.0013973161024825465,0.002648642496280327,-0.003943745257374842,0.006727223782601878,True
Random Forest,XGBoost,brier_score,model_a - model_b,-0.07352097567997004,0.001473380064387465,-0.07632779812497804,-0.07056614455791575,False
Random Forest,XGBoost,recall_80,model_a - model_b,0.009441002046386655,0.006939627201713683,-0.004720878368701253,0.02322043980565985,True
Random Forest,XGBoost,precision_80,model_a - model_b,1.911157555580517e-05,0.000962466832997017,-0.001898750537752903,0.0018567100129805326,True
Random Forest,XGBoost,fpr_80,model_a - model_b,0.0072229270457190445,0.00260398876059164,0.002199753572295121,0.012330626370945535,False
Random Forest,XGBoost,f2_80,model_a - model_b,0.0015656655320273748,0.003024520170379637,-0.004645890319266514,0.0074687008017116155,True
Random Forest,CatBoost,auprc,model_a - model_b,0.003924220378476526,0.0024857449517340195,-0.0008204485133646827,0.008824150326529704,True
Random Forest,CatBoost,auroc,model_a - model_b,0.005886131085182192,0.0022331440517197798,0.0014964909896042545,0.010297153439455753,False
Random Forest,CatBoost,brier_score,model_a - model_b,-7.787347764397509e-05,5.4974134064687404e-05,-0.00018423838406530813,2.8194879049983945e-05,True
Random Forest,CatBoost,recall_80,model_a - model_b,0.0068445065142183565,0.006813037655848196,-0.00718290479845172,0.020424566477941383,True
Random Forest,CatBoost,precision_80,model_a - model_b,0.001415959613606449,0.0009231077906001725,-0.00040325995857168757,0.0033006249162724076,True
